gameId,season,date,seasonType,periods,pbpSource,boxSource,advancedBoxSource,rawEventCount,normalizedEventCount,reconstructedHome,reconstructedAway,officialHome,officialAway,deltaHome,deltaAway,absDeltaHome,absDeltaAway,calibrationGrade,scoreConservationOk,lineupValid,unknownEventCount,droppedEventCount,unresolvedFreeThrowCount,duplicateActionWarnings,duplicateOrderWarnings,technicalFtCount,flagrantFtCount,editedEventCount,failureReason,elapsedMs,comparable
0049600013,1996-97,1997-04-27,playoffs,4,stats_nba,stats_nba,stats_nba,432,469,84,83,87,86,-3,-3,3,3,outside_tolerance,true,false,26,0,8,63,26,2,0,0,,6654,true
0049600014,1996-97,1997-04-27,playoffs,4,stats_nba,stats_nba,stats_nba,493,539,90,90,93,92,-3,-2,3,2,outside_tolerance,true,false,24,0,8,70,27,2,0,0,,6857,true
0049600064,1996-97,1997-05-16,playoffs,4,stats_nba,stats_nba,stats_nba,436,469,89,88,91,89,-2,-1,2,1,outside_tolerance,true,false,16,0,9,49,18,1,0,0,,6536,true
0029600714,1996-97,1997-02-14,regular,4,stats_nba,stats_nba,stats_nba,449,484,87,88,90,91,-3,-3,3,3,outside_tolerance,true,false,31,0,7,66,33,4,0,0,,6358,true
0029600062,1996-97,1996-11-08,regular,5,stats_nba,stats_nba,stats_nba,575,610,98,98,101,101,-3,-3,3,3,outside_tolerance,true,false,44,0,16,79,48,5,1,0,,6452,true
0029600988,1996-97,1997-03-23,regular,4,stats_nba,stats_nba,stats_nba,449,480,94,95,95,95,-1,0,1,0,within_one,true,false,22,0,7,53,24,0,1,0,,6791,true
0029600865,1996-97,1997-03-07,regular,4,stats_nba,stats_nba,stats_nba,491,540,91,92,94,93,-3,-1,3,1,outside_tolerance,true,false,23,0,6,72,23,1,0,0,,6867,true
0029600836,1996-97,1997-03-03,regular,4,stats_nba,stats_nba,stats_nba,414,438,85,85,86,87,-1,-2,1,2,outside_tolerance,true,false,22,0,5,46,22,3,0,0,,6764,true
0029600127,1996-97,1996-11-17,regular,4,stats_nba,stats_nba,stats_nba,470,494,92,94,94,95,-2,-1,2,1,outside_tolerance,true,false,37,0,6,61,39,2,0,0,,6453,true
0029600660,1996-97,1997-02-04,regular,4,stats_nba,stats_nba,stats_nba,519,555,89,90,92,91,-3,-1,3,1,outside_tolerance,true,false,24,0,9,60,24,2,0,0,,6695,true
0029600596,1996-97,1997-01-25,regular,4,stats_nba,stats_nba,stats_nba,424,446,96,97,98,98,-2,-1,2,1,outside_tolerance,true,false,24,0,4,46,24,0,0,0,,6330,true
0029601099,1996-97,1997-04-08,regular,4,stats_nba,stats_nba,stats_nba,463,492,90,88,91,93,-1,-5,1,5,outside_tolerance,true,false,34,0,5,63,34,0,0,0,,6579,true
0029600991,1996-97,1997-03-24,regular,4,stats_nba,stats_nba,stats_nba,549,596,94,90,95,97,-1,-7,1,7,outside_tolerance,true,false,32,0,9,79,36,1,2,0,,6298,true
0029600155,1996-97,1996-11-22,regular,4,stats_nba,stats_nba,stats_nba,510,545,97,97,99,98,-2,-1,2,1,outside_tolerance,true,false,26,0,11,61,26,3,0,0,,6434,true
0029600245,1996-97,1996-12-05,regular,4,stats_nba,stats_nba,stats_nba,528,554,95,94,95,95,0,-1,0,1,within_one,true,false,38,0,7,64,38,3,0,0,,6393,true
0029600393,1996-97,1996-12-26,regular,4,stats_nba,stats_nba,stats_nba,420,454,83,85,87,86,-4,-1,4,1,outside_tolerance,true,false,17,0,5,51,17,2,0,0,,6711,true
0029600358,1996-97,1996-12-21,regular,4,stats_nba,stats_nba,stats_nba,509,555,91,89,94,95,-3,-6,3,6,outside_tolerance,true,false,43,0,3,89,45,1,0,0,,6751,true
0029600184,1996-97,1996-11-26,regular,5,stats_nba,stats_nba,stats_nba,494,527,95,96,95,96,0,0,0,0,exact,true,false,36,0,8,69,36,3,0,0,,6386,true
0029600281,1996-97,1996-12-10,regular,4,stats_nba,stats_nba,stats_nba,534,575,96,97,97,98,-1,-1,1,1,within_one,true,false,37,0,9,78,37,2,0,0,,6447,true
0029600666,1996-97,1997-02-04,regular,4,stats_nba,stats_nba,stats_nba,418,443,85,83,86,85,-1,-2,1,2,outside_tolerance,true,false,19,0,6,44,19,2,0,0,,7196,true
