player,playerId,teamId,position,positionSource,primaryArchetype,archetypeConfidence,secondaryArchetype,rawDRBL,posteriorDRBL,posteriorReliability,calibrationIntercept,calibrationSlope,finalAbilityDRBL100,actualOnCourtPossessions,replacementLevelDRBL100,aboveReplacementRate,pointsPerWin,DRBL_WAA,DRBL_WAR,oldDisplayedWAR,newDisplayedWAR,warChange,oldRank,newAbilityRank,newWaaRank,newWarRank,modelVersion,calibrationVersion,replacementVersion,warFormulaVersion
Shai Gilgeous-Alexander,1628983,1610612760,UNKNOWN,unavailable,finisher,0.7935,creator,2.7644,1.2962,0.9819,0,5.835417,7.563867,10880,-1.488615,9.052482,38.714286,21.256978,25.44048,10.03,25.44048,15.41048,1,9,2,2,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Nikola Jokić,203999,1610612743,UNKNOWN,unavailable,finisher,0.846,creator,2.6742,1.5315,0.9817,0,5.835417,8.936941,10737,-1.488615,10.425555,38.714286,24.785665,28.914181,9.57,28.914181,19.344181,2,3,1,1,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Norman Powell,1626181,1610612746,UNKNOWN,unavailable,finisher,0.8127,creator,2.1189,1.1709,0.9758,0,5.835417,6.832689,8057,-1.488615,8.321304,38.714286,14.21981,17.317831,5.69,17.317831,11.627831,3,13,5,5,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Christian Braun,1631128,1610612743,UNKNOWN,unavailable,finisher,0.89,creator,1.4143,0.5697,0.9822,0,5.835417,3.324437,11046,-1.488615,4.813052,38.714286,9.485318,13.732649,5.21,13.732649,8.522649,4,68,16,14,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Payton Pritchard,1630202,1610612738,UNKNOWN,unavailable,finisher,0.9188,creator,1.6565,0.9881,0.9783,0,5.835417,5.765975,9025,-1.488615,7.25459,38.714286,13.441531,16.911761,4.98,16.911761,11.931761,5,20,7,6,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Giannis Antetokounmpo,203507,1610612749,UNKNOWN,unavailable,finisher,0.7507,creator,1.5068,0.3916,0.979,0,5.835417,2.285149,9335,-1.488615,3.773764,38.714286,5.510076,9.099506,4.69,9.099506,4.409506,6,110,45,38,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Ivica Zubac,1627826,1610612746,UNKNOWN,unavailable,finisher,0.8666,creator,1.2934,0.6676,0.9817,0,5.835417,3.895724,10739,-1.488615,5.384339,38.714286,10.806394,14.935679,4.63,14.935679,10.305679,7,47,12,11,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jaren Jackson Jr.,1628991,1610612763,UNKNOWN,unavailable,finisher,0.8025,creator,1.3944,0.872,0.9798,0,5.835417,5.088483,9713,-1.488615,6.577098,38.714286,12.76646,16.501235,4.51,16.501235,11.991235,8,28,9,9,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jarrett Allen,1628386,1610612739,UNKNOWN,unavailable,finisher,0.8603,creator,1.4014,0.6368,0.9797,0,5.835417,3.715993,9655,-1.488615,5.204608,38.714286,9.267358,12.979832,4.51,12.979832,8.469832,9,54,17,16,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jimmy Butler,202710,1610612748,UNKNOWN,unavailable,finisher,0.666,creator,1.8862,1.3221,0.9721,0,5.835417,7.715004,6970,-1.488615,9.203619,38.714286,13.889855,16.569911,4.38,16.569911,12.189911,10,5,6,8,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Rudy Gobert,203497,1610612750,UNKNOWN,unavailable,finisher,0.8487,creator,1.3637,0.5583,0.9796,0,5.835417,3.257913,9585,-1.488615,4.746528,38.714286,8.06604,11.751597,4.36,11.751597,7.391597,11,70,24,22,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Pascal Siakam,1627783,1610612754,UNKNOWN,unavailable,finisher,0.8407,creator,1.2412,0.5396,0.981,0,5.835417,3.148791,10334,-1.488615,4.637406,38.714286,8.405064,12.378622,4.28,12.378622,8.098622,12,72,22,20,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Keon Ellis,1631165,1610612758,UNKNOWN,unavailable,finisher,0.776,creator,1.5258,0.9171,0.9757,0,5.835417,5.351661,8023,-1.488615,6.840275,38.714286,11.090576,14.175524,4.08,14.175524,10.095524,13,24,10,13,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Malik Beasley,1627736,1610612765,UNKNOWN,unavailable,finisher,0.8982,creator,1.2254,0.6076,0.98,0,5.835417,3.545599,9795,-1.488615,5.034214,38.714286,8.970627,12.736933,4,12.736933,8.736933,14,60,18,17,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
OG Anunoby,1628384,1610612752,UNKNOWN,unavailable,finisher,0.8579,creator,1.0764,0.3044,0.982,0,5.835417,1.776301,10928,-1.488615,3.264916,38.714286,5.014019,9.215977,3.92,9.215977,5.295977,15,133,51,35,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
De'Andre Hunter,1629631,1610612737,UNKNOWN,unavailable,finisher,0.7997,creator,1.5348,0.8664,0.9734,0,5.835417,5.055805,7330,-1.488615,6.54442,38.714286,9.572448,12.390929,3.75,12.390929,8.640929,16,29,15,18,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Stephen Curry,201939,1610612744,UNKNOWN,unavailable,finisher,0.8597,creator,1.1632,0.2546,0.9792,0,5.835417,1.485697,9434,-1.488615,2.974312,38.714286,3.620386,7.247882,3.66,7.247882,3.587882,17,141,80,62,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Franz Wagner,1630532,1610612753,UNKNOWN,unavailable,finisher,0.7574,creator,1.3266,1.3178,0.9762,0,5.835417,7.689912,8188,-1.488615,9.178527,38.714286,16.264022,19.412415,3.62,19.412415,15.792415,18,7,3,3,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Dyson Daniels,1630700,1610612737,UNKNOWN,unavailable,finisher,0.6555,defender,0.9726,0.5008,0.9819,0,5.835417,2.922377,10870,-1.488615,4.410991,38.714286,8.2053,12.384957,3.52,12.384957,8.864957,19,83,23,19,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Ty Jerome,1629660,1610612739,UNKNOWN,unavailable,finisher,0.851,creator,1.8019,0.8313,0.9666,0,5.835417,4.850982,5795,-1.488615,6.339597,38.714286,7.261257,9.489511,3.48,9.489511,6.009511,20,31,26,33,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Harrison Barnes,203084,1610612759,UNKNOWN,unavailable,finisher,0.8216,creator,1.1506,0.3522,0.9784,0,5.835417,2.055234,9064,-1.488615,3.543849,38.714286,4.811825,8.297052,3.48,8.297052,4.817052,21,125,56,44,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Tari Eason,1631106,1610612745,UNKNOWN,unavailable,finisher,0.7252,defender,1.7842,1.2376,0.9669,0,5.835417,7.221912,5836,-1.488615,8.710526,38.714286,10.886699,13.130717,3.47,13.130717,9.660717,22,10,11,15,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Evan Mobley,1630596,1610612739,UNKNOWN,unavailable,finisher,0.835,creator,1.0481,0.6262,0.9784,0,5.835417,3.654138,9051,-1.488615,5.142753,38.714286,8.542997,12.023224,3.16,12.023224,8.863224,23,57,21,21,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Anthony Edwards,1630162,1610612750,UNKNOWN,unavailable,finisher,0.788,creator,0.8152,0.2064,0.9831,0,5.835417,1.20443,11610,-1.488615,2.693045,38.714286,3.611957,8.076153,3.16,8.076153,4.916153,24,157,81,48,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Donovan Mitchell,1628378,1610612739,UNKNOWN,unavailable,finisher,0.7611,creator,1.0025,0.4699,0.979,0,5.835417,2.742062,9308,-1.488615,4.230677,38.714286,6.592687,10.171734,3.11,10.171734,7.061734,25,89,28,26,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
DeMar DeRozan,201942,1610612758,UNKNOWN,unavailable,finisher,0.7939,creator,0.7831,0.6094,0.9828,0,5.835417,3.556103,11459,-1.488615,5.044718,38.714286,10.525671,14.931806,2.99,14.931806,11.941806,26,59,14,12,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Naz Reid,1629675,1610612750,UNKNOWN,unavailable,finisher,0.8769,creator,0.9765,0.9686,0.9784,0,5.835417,5.652185,9046,-1.488615,7.140799,38.714286,13.206924,16.685229,2.94,16.685229,13.745229,27,21,8,7,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Aaron Nesmith,1630174,1610612754,UNKNOWN,unavailable,finisher,0.8909,creator,1.9777,0.7848,0.9571,0,5.835417,4.579635,4464,-1.488615,6.06825,38.714286,5.280606,6.997073,2.94,6.997073,4.057073,28,35,49,65,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Isaiah Joe,1630198,1610612760,UNKNOWN,unavailable,finisher,0.9136,creator,1.2799,0.466,0.9709,0,5.835417,2.719304,6664,-1.488615,4.207919,38.714286,4.680815,7.24321,2.84,7.24321,4.40321,29,91,59,63,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Karl-Anthony Towns,1626157,1610612752,UNKNOWN,unavailable,finisher,0.8504,creator,0.8352,0.4707,0.9805,0,5.835417,2.746731,10077,-1.488615,4.235345,38.714286,7.149507,11.024245,2.81,11.024245,8.214245,30,88,27,23,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
