rank,playerId,playerName,team,posteriorDRBL100,rawDRBL100,calibratedDRBL100,replacementLevelDRBL100,aboveReplacementDRBL100,actualOnCourtPossessions,modelObservationCount,seasonImpactAboveReplacement,pointsPerWin,DRBL_WAR,warFormulaVersion,dataVersion,modelVersion
1,203999,Nikola Jokić,1610612743,1.0173,2.81,7.0784,0,7.0784,3365,3365,238.1895,38.7143,6.1525,3.0.0,drbl-ranking-v2-seq,2.2.0
2,202696,Nikola Vučević,1610612741,0.7261,1.9797,4.9869,0,4.9869,3806,3806,189.8014,38.7143,4.9026,3.0.0,drbl-ranking-v2-seq,2.2.0
3,1630532,Franz Wagner,1610612753,0.7672,2.1204,5.3413,0,5.3413,3348,3348,178.8275,38.7143,4.6192,3.0.0,drbl-ranking-v2-seq,2.2.0
4,1626181,Norman Powell,1610612746,0.878,2.4752,6.2351,0,6.2351,2845,2845,177.3878,38.7143,4.582,3.0.0,drbl-ranking-v2-seq,2.2.0
5,1628369,Jayson Tatum,1610612738,0.6144,1.6766,4.2234,0,4.2234,3770,3770,159.2216,38.7143,4.1127,3.0.0,drbl-ranking-v2-seq,2.2.0
6,1629631,De'Andre Hunter,1610612737,1.0065,2.9743,7.4923,0,7.4923,2087,2087,156.3646,38.7143,4.0389,3.0.0,drbl-ranking-v2-seq,2.2.0
7,1628983,Shai Gilgeous-Alexander,1610612760,0.6002,1.6374,4.1246,0,4.1246,3782,3782,155.9939,38.7143,4.0294,3.0.0,drbl-ranking-v2-seq,2.2.0
8,1629639,Tyler Herro,1610612748,0.647,1.7809,4.4861,0,4.4861,3470,3470,155.6683,38.7143,4.021,3.0.0,drbl-ranking-v2-seq,2.2.0
9,1627734,Domantas Sabonis,1610612758,0.549,1.4912,3.7564,0,3.7564,3952,3952,148.4513,38.7143,3.8345,3.0.0,drbl-ranking-v2-seq,2.2.0
10,1627783,Pascal Siakam,1610612754,0.5528,1.5061,3.7939,0,3.7939,3836,3836,145.5337,38.7143,3.7592,3.0.0,drbl-ranking-v2-seq,2.2.0
11,202681,Kyrie Irving,1610612742,0.5745,1.5797,3.9793,0,3.9793,3508,3508,139.5936,38.7143,3.6057,3.0.0,drbl-ranking-v2-seq,2.2.0
12,1628415,Dillon Brooks,1610612745,0.5994,1.658,4.1765,0,4.1765,3320,3320,138.6608,38.7143,3.5816,3.0.0,drbl-ranking-v2-seq,2.2.0
13,1627741,Buddy Hield,1610612744,0.7956,2.3114,5.8225,0,5.8225,2311,2311,134.557,38.7143,3.4756,3.0.0,drbl-ranking-v2-seq,2.2.0
14,1630202,Payton Pritchard,1610612738,0.6079,1.695,4.2697,0,4.2697,3106,3106,132.618,38.7143,3.4256,3.0.0,drbl-ranking-v2-seq,2.2.0
15,1626157,Karl-Anthony Towns,1610612752,0.5495,1.5154,3.8173,0,3.8173,3413,3413,130.2851,38.7143,3.3653,3.0.0,drbl-ranking-v2-seq,2.2.0
16,1631128,Christian Braun,1610612743,0.5251,1.4426,3.6339,0,3.6339,3532,3532,128.3506,38.7143,3.3153,3.0.0,drbl-ranking-v2-seq,2.2.0
17,1629661,Cameron Johnson,1610612751,0.5417,1.4943,3.7642,0,3.7642,3406,3406,128.2076,38.7143,3.3116,3.0.0,drbl-ranking-v2-seq,2.2.0
18,202710,Jimmy Butler,1610612748,0.8046,2.3785,5.9915,0,5.9915,2084,2084,124.8625,38.7143,3.2252,3.0.0,drbl-ranking-v2-seq,2.2.0
19,1627736,Malik Beasley,1610612765,0.5284,1.4644,3.6888,0,3.6888,3270,3270,120.6254,38.7143,3.1158,3.0.0,drbl-ranking-v2-seq,2.2.0
20,1630596,Evan Mobley,1610612739,0.5018,1.3817,3.4805,0,3.4805,3461,3461,120.461,38.7143,3.1115,3.0.0,drbl-ranking-v2-seq,2.2.0
21,1629655,Daniel Gafford,1610612742,0.706,2.0511,5.1668,0,5.1668,2312,2312,119.4554,38.7143,3.0856,3.0.0,drbl-ranking-v2-seq,2.2.0
22,1627826,Ivica Zubac,1610612746,0.4548,1.2401,3.1238,0,3.1238,3798,3798,118.6432,38.7143,3.0646,3.0.0,drbl-ranking-v2-seq,2.2.0
23,203507,Giannis Antetokounmpo,1610612749,0.5065,1.4081,3.547,0,3.547,3180,3180,112.7955,38.7143,2.9135,3.0.0,drbl-ranking-v2-seq,2.2.0
24,1628991,Jaren Jackson Jr.,1610612763,0.4704,1.3017,3.279,0,3.279,3307,3307,108.4367,38.7143,2.8009,3.0.0,drbl-ranking-v2-seq,2.2.0
25,1629048,Goga Bitadze,1610612753,0.6247,1.8273,4.603,0,4.603,2216,2216,102.0025,38.7143,2.6348,3.0.0,drbl-ranking-v2-seq,2.2.0
26,1630583,Santi Aldama,1610612763,0.4557,1.268,3.1941,0,3.1941,3157,3157,100.8382,38.7143,2.6047,3.0.0,drbl-ranking-v2-seq,2.2.0
27,1630534,Ochai Agbaji,1610612761,0.4009,1.0991,2.7687,0,2.7687,3607,3607,99.8653,38.7143,2.5795,3.0.0,drbl-ranking-v2-seq,2.2.0
28,1641726,Dereck Lively II,1610612742,0.6257,1.8442,4.6456,0,4.6456,2118,2118,98.3932,38.7143,2.5415,3.0.0,drbl-ranking-v2-seq,2.2.0
29,1629636,Darius Garland,1610612739,0.4148,1.1443,2.8825,0,2.8825,3405,3405,98.1495,38.7143,2.5352,3.0.0,drbl-ranking-v2-seq,2.2.0
30,1628384,OG Anunoby,1610612752,0.3557,0.9659,2.4331,0,2.4331,3967,3967,96.5218,38.7143,2.4932,3.0.0,drbl-ranking-v2-seq,2.2.0
31,1629599,Amir Coffey,1610612746,0.4856,1.3785,3.4725,0,3.4725,2701,2701,93.7913,38.7143,2.4227,3.0.0,drbl-ranking-v2-seq,2.2.0
32,201939,Stephen Curry,1610612744,0.4923,1.4032,3.5347,0,3.5347,2623,2623,92.7148,38.7143,2.3948,3.0.0,drbl-ranking-v2-seq,2.2.0
33,1630530,Trey Murphy III,1610612740,0.5774,1.7,4.2823,0,4.2823,2132,2132,91.2993,38.7143,2.3583,3.0.0,drbl-ranking-v2-seq,2.2.0
34,1629675,Naz Reid,1610612750,0.4659,1.3253,3.3385,0,3.3385,2662,2662,88.8696,38.7143,2.2955,3.0.0,drbl-ranking-v2-seq,2.2.0
35,1630163,LaMelo Ball,1610612766,0.4371,1.2341,3.1087,0,3.1087,2812,2812,87.4172,38.7143,2.258,3.0.0,drbl-ranking-v2-seq,2.2.0
36,1641705,Victor Wembanyama,1610612759,0.4174,1.1718,2.9518,0,2.9518,2937,2937,86.6939,38.7143,2.2393,3.0.0,drbl-ranking-v2-seq,2.2.0
37,1629060,Rui Hachimura,1610612747,0.45,1.2791,3.2221,0,3.2221,2675,2675,86.1905,38.7143,2.2263,3.0.0,drbl-ranking-v2-seq,2.2.0
38,1628374,Lauri Markkanen,1610612762,0.4268,1.2038,3.0324,0,3.0324,2832,2832,85.8774,38.7143,2.2182,3.0.0,drbl-ranking-v2-seq,2.2.0
39,203952,Andrew Wiggins,1610612744,0.4504,1.2817,3.2286,0,3.2286,2656,2656,85.7523,38.7143,2.215,3.0.0,drbl-ranking-v2-seq,2.2.0
40,1630231,KJ Martin,1610612755,0.6204,1.8954,4.7745,0,4.7745,1751,1751,83.6023,38.7143,2.1595,3.0.0,drbl-ranking-v2-seq,2.2.0
41,1628973,Jalen Brunson,1610612752,0.3195,0.8727,2.1983,0,2.1983,3730,3730,81.9983,38.7143,2.118,3.0.0,drbl-ranking-v2-seq,2.2.0
42,1628386,Jarrett Allen,1610612739,0.3376,0.9295,2.3414,0,2.3414,3468,3468,81.2007,38.7143,2.0974,3.0.0,drbl-ranking-v2-seq,2.2.0
43,1630577,Julian Champagnie,1610612759,0.3578,0.9929,2.5011,0,2.5011,3234,3234,80.8866,38.7143,2.0893,3.0.0,drbl-ranking-v2-seq,2.2.0
44,1628368,De'Aaron Fox,1610612758,0.2771,0.7473,1.8825,0,1.8825,4268,4268,80.3435,38.7143,2.0753,3.0.0,drbl-ranking-v2-seq,2.2.0
45,203497,Rudy Gobert,1610612750,0.3234,0.888,2.2369,0,2.2369,3554,3554,79.499,38.7143,2.0535,3.0.0,drbl-ranking-v2-seq,2.2.0
46,1631095,Jabari Smith Jr.,1610612745,0.3365,0.9299,2.3424,0,2.3424,3355,3355,78.5887,38.7143,2.03,3.0.0,drbl-ranking-v2-seq,2.2.0
47,1626220,Royce O'Neale,1610612756,0.4077,1.1593,2.9203,0,2.9203,2669,2669,77.9427,38.7143,2.0133,3.0.0,drbl-ranking-v2-seq,2.2.0
48,1642272,Jared McCain,1610612755,0.4644,1.353,3.4082,0,3.4082,2272,2272,77.435,38.7143,2.0002,3.0.0,drbl-ranking-v2-seq,2.2.0
49,203076,Anthony Davis,1610612747,0.3082,0.8442,2.1266,0,2.1266,3634,3634,77.279,38.7143,1.9961,3.0.0,drbl-ranking-v2-seq,2.2.0
50,1629660,Ty Jerome,1610612739,0.5045,1.4967,3.7702,0,3.7702,2043,2043,77.0255,38.7143,1.9896,3.0.0,drbl-ranking-v2-seq,2.2.0
51,201942,DeMar DeRozan,1610612758,0.3214,0.8858,2.2313,0,2.2313,3429,3429,76.5128,38.7143,1.9763,3.0.0,drbl-ranking-v2-seq,2.2.0
52,203084,Harrison Barnes,1610612759,0.3455,0.9619,2.423,0,2.423,3143,3143,76.1562,38.7143,1.9671,3.0.0,drbl-ranking-v2-seq,2.2.0
53,1627884,Derrick Jones Jr.,1610612746,0.3766,1.0617,2.6744,0,2.6744,2843,2843,76.0344,38.7143,1.964,3.0.0,drbl-ranking-v2-seq,2.2.0
54,1628378,Donovan Mitchell,1610612739,0.2942,0.8074,2.0339,0,2.0339,3572,3572,72.6493,38.7143,1.8765,3.0.0,drbl-ranking-v2-seq,2.2.0
55,1630643,Jay Huff,1610612763,0.5645,1.7474,4.4017,0,4.4017,1646,1646,72.4525,38.7143,1.8715,3.0.0,drbl-ranking-v2-seq,2.2.0
56,201142,Kevin Durant,1610612756,0.433,1.2657,3.1883,0,3.1883,2227,2227,71.0039,38.7143,1.834,3.0.0,drbl-ranking-v2-seq,2.2.0
57,1629659,Talen Horton-Tucker,1610612741,0.7235,2.4633,6.2051,0,6.2051,1135,1135,70.4278,38.7143,1.8192,3.0.0,drbl-ranking-v2-seq,2.2.0
58,1629638,Nickeil Alexander-Walker,1610612750,0.3799,1.0883,2.7414,0,2.7414,2536,2536,69.5231,38.7143,1.7958,3.0.0,drbl-ranking-v2-seq,2.2.0
59,1642419,Jamison Battle,1610612761,0.5835,1.8555,4.674,0,4.674,1463,1463,68.3812,38.7143,1.7663,3.0.0,drbl-ranking-v2-seq,2.2.0
60,1629130,Duncan Robinson,1610612748,0.4007,1.1694,2.9457,0,2.9457,2248,2248,66.2202,38.7143,1.7105,3.0.0,drbl-ranking-v2-seq,2.2.0
61,203991,Clint Capela,1610612737,0.3332,0.9463,2.3837,0,2.3837,2692,2692,64.1704,38.7143,1.6575,3.0.0,drbl-ranking-v2-seq,2.2.0
62,1631106,Tari Eason,1610612745,0.4019,1.1817,2.9767,0,2.9767,2147,2147,63.9102,38.7143,1.6508,3.0.0,drbl-ranking-v2-seq,2.2.0
63,1628449,Chris Boucher,1610612761,0.4474,1.3545,3.412,0,3.412,1833,1833,62.5421,38.7143,1.6155,3.0.0,drbl-ranking-v2-seq,2.2.0
64,1628381,John Collins,1610612762,0.2959,0.8294,2.0893,0,2.0893,2973,2973,62.1141,38.7143,1.6044,3.0.0,drbl-ranking-v2-seq,2.2.0
65,1628404,Josh Hart,1610612752,0.2315,0.63,1.587,0,1.587,3879,3879,61.559,38.7143,1.5901,3.0.0,drbl-ranking-v2-seq,2.2.0
66,1631222,Jake LaRavia,1610612763,0.3137,0.8886,2.2384,0,2.2384,2747,2747,61.4888,38.7143,1.5883,3.0.0,drbl-ranking-v2-seq,2.2.0
67,1630170,Devin Vassell,1610612759,0.555,1.8024,4.5403,0,4.5403,1344,1344,61.0213,38.7143,1.5762,3.0.0,drbl-ranking-v2-seq,2.2.0
68,1626204,Larry Nance Jr.,1610612737,0.6564,2.2832,5.7514,0,5.7514,1059,1059,60.9075,38.7143,1.5733,3.0.0,drbl-ranking-v2-seq,2.2.0
69,1629029,Luka Dončić,1610612742,0.2866,0.8038,2.0248,0,2.0248,2961,2961,59.9539,38.7143,1.5486,3.0.0,drbl-ranking-v2-seq,2.2.0
70,1642377,Jaylen Wells,1610612763,0.2922,0.8219,2.0704,0,2.0704,2894,2894,59.9168,38.7143,1.5477,3.0.0,drbl-ranking-v2-seq,2.2.0
71,1628401,Derrick White,1610612738,0.2333,0.6376,1.6061,0,1.6061,3713,3713,59.6354,38.7143,1.5404,3.0.0,drbl-ranking-v2-seq,2.2.0
72,1629021,Moritz Wagner,1610612753,0.3766,1.1114,2.7996,0,2.7996,2104,2104,58.9043,38.7143,1.5215,3.0.0,drbl-ranking-v2-seq,2.2.0
73,1631114,Jalen Williams,1610612760,0.2378,0.6527,1.6442,0,1.6442,3571,3571,58.7131,38.7143,1.5166,3.0.0,drbl-ranking-v2-seq,2.2.0
74,1631117,Walker Kessler,1610612762,0.3229,0.9286,2.3392,0,2.3392,2469,2469,57.7539,38.7143,1.4918,3.0.0,drbl-ranking-v2-seq,2.2.0
75,1629008,Michael Porter Jr.,1610612743,0.2317,0.636,1.6021,0,1.6021,3566,3566,57.1307,38.7143,1.4757,3.0.0,drbl-ranking-v2-seq,2.2.0
76,1629634,Brandon Clarke,1610612763,0.3355,0.9797,2.4679,0,2.4679,2240,2240,55.2805,38.7143,1.4279,3.0.0,drbl-ranking-v2-seq,2.2.0
77,1631260,AJ Green,1610612749,0.3441,1.0109,2.5465,0,2.5465,2161,2161,55.0293,38.7143,1.4214,3.0.0,drbl-ranking-v2-seq,2.2.0
