path,side,classification,high_risk
.env.example,BOTH,CONFIG,NO
.gitignore,BOTH,OTHER,NO
docs/data-architecture.md,BOTH,OTHER,NO
next.config.ts,BOTH,CONFIG,NO
package.json,BOTH,CONFIG,NO
README.md,BOTH,OTHER,NO
scripts/smoke-nba.ts,BOTH,OTHER,NO
src/app/explore/games/page.tsx,BOTH,UI_COMPONENT,NO
src/app/explore/players/page.tsx,BOTH,UI_COMPONENT,NO
src/app/explore/teams/page.tsx,BOTH,UI_COMPONENT,NO
src/app/games/[gameId]/page.tsx,BOTH,UI_COMPONENT,NO
src/app/layout.tsx,BOTH,UI_COMPONENT,NO
src/app/page.tsx,BOTH,UI_COMPONENT,NO
src/app/players/[playerId]/page.tsx,BOTH,PLAYER_PAGE_DATA,YES
src/app/teams/[teamId]/page.tsx,BOTH,TEAM_PAGE_DATA,YES
src/components/charts/game-scoring-scatter.tsx,BOTH,UI_COMPONENT,NO
src/components/charts/player-usage-ts-scatter.tsx,BOTH,UI_COMPONENT,NO
src/components/explore/game-filter-toolbar.tsx,BOTH,UI_COMPONENT,NO
src/components/explore/game-season-table.tsx,BOTH,UI_COMPONENT,NO
src/components/explore/player-filter-toolbar.tsx,BOTH,UI_COMPONENT,NO
src/components/explore/player-season-table.tsx,BOTH,METRIC_DEFINITION,YES
src/components/explore/team-season-table.tsx,BOTH,UI_COMPONENT,NO
src/data/providers/index.ts,BOTH,DATA_PIPELINE,YES
src/data/providers/local-data-provider.ts,BOTH,DATA_PIPELINE,YES
src/data/providers/nba/compute-advanced.ts,BOTH,DATA_PIPELINE,YES
src/data/providers/nba-data-provider.ts,BOTH,DATA_PIPELINE,YES
src/data/providers/sample/local-sample-data.ts,BOTH,DATA_PIPELINE,YES
src/data/providers/types.ts,BOTH,DATA_PIPELINE,YES
src/data/queries/games.ts,BOTH,DATA_PIPELINE,YES
src/data/queries/home.ts,BOTH,DATA_PIPELINE,YES
src/data/queries/index.ts,BOTH,DATA_PIPELINE,YES
src/data/queries/players.ts,BOTH,DATA_PIPELINE,YES
src/data/queries/teams.ts,BOTH,DATA_PIPELINE,YES
src/data/transformers/espn.ts,BOTH,DATA_PIPELINE,YES
src/data/transformers/index.ts,BOTH,DATA_PIPELINE,YES
src/data/transformers/local.ts,BOTH,DATA_PIPELINE,YES
src/data/transformers/nba.ts,BOTH,DATA_PIPELINE,YES
src/data/types/index.ts,BOTH,API_CONTRACT,YES
src/data/types/player-game.ts,BOTH,API_CONTRACT,YES
src/data/types/player-season.ts,BOTH,API_CONTRACT,YES
src/data/types/team-season.ts,BOTH,API_CONTRACT,YES
docs/drbl-full-pipeline-audit.md,ANALYTICS_ONLY,OTHER,NO
docs/drbl-war-audit.md,ANALYTICS_ONLY,OTHER,NO
docs/player-ranking-audit.md,ANALYTICS_ONLY,LEADERBOARD_LOGIC,NO
docs/public-tracking-data.md,ANALYTICS_ONLY,OTHER,NO
docs/sequential-attribution-audit.md,ANALYTICS_ONLY,OTHER,NO
drbl/constants.ts,ANALYTICS_ONLY,MODEL_LOGIC,NO
