season,component,rank,player,teamId,value,possessions,drbl100,drblWar
2024-25,DRBL-P,1,De'Andre Hunter,1610612737,2.71,2087,1.0065,3.819539860266946
2024-25,DRBL-P,2,Nikola Jokić,1610612743,2.65,3365,1.0173,6.219223045130841
2024-25,DRBL-P,3,Aaron Holiday,1610612745,2.5,658,0.7791,0.9541571638567441
2024-25,DRBL-P,4,JT Thor,1610612739,2.49,61,0.2604,0.035571754213220515
2024-25,DRBL-P,5,Norman Powell,1610612746,2.31,2845,0.878,4.595773403621491
2024-25,DRBL-P,6,Chris Duarte,1610612741,2.23,236,0.5182,0.23930979586212256
2024-25,DRBL-P,7,Jimmy Butler,1610612748,2.17,2084,0.8046,3.1108013760075917
2024-25,DRBL-P,8,Buddy Hield,1610612744,2.13,2311,0.7956,3.4148828889243474
2024-25,DRBL-P,9,Talen Horton-Tucker,1610612741,2.09,1135,0.7235,1.5403746725299792
2024-25,DRBL-P,10,Alec Burks,1610612748,2.08,710,0.6579,0.8857363289199748
2024-25,DRBL-P,11,Tyler Smith,1610612749,2.06,164,0.4062,0.13560017087530132
2024-25,DRBL-P,12,Kenrich Williams,1610612760,2.02,804,0.6569,1.0016590415211177
2024-25,DRBL-P,13,Franz Wagner,1610612753,2,3348,0.7672,4.788301183987444
2024-25,DRBL-P,14,Larry Nance Jr.,1610612737,1.92,1059,0.6564,1.3184644149303062
2024-25,DRBL-P,15,Sandro Mamukelashvili,1610612759,1.9,651,0.5916,0.7399940739423546
2024-25,DRBL-P,16,Daniel Gafford,1610612742,1.89,2312,0.706,3.070126071456303
2024-25,DRBL-P,17,Nikola Vučević,1610612741,1.88,3806,0.7261,5.181883777014992
2024-25,DRBL-P,18,Torrey Craig,1610612741,1.85,280,0.4607,0.2570177032214688
2024-25,DRBL-P,19,Patrick Baldwin Jr.,1610612764,1.83,230,0.4216,0.19609098945903378
2024-25,DRBL-P,20,Marcus Sasser,1610612765,1.75,984,0.5895,1.115062654377857
2024-25,DRBL-P,21,Trevelin Queen,1610612753,1.75,243,0.411,0.20286925977049114
2024-25,DRBL-P,22,KJ Martin,1610612755,1.7,1751,0.6204,2.074653632711134
2024-25,DRBL-P,23,Dereck Lively II,1610612742,1.69,2118,0.6257,2.5282515375036234
2024-25,DRBL-P,24,Robert Williams III,1610612757,1.69,663,0.5291,0.6843768241913624
2024-25,DRBL-P,25,Tyler Herro,1610612748,1.68,3470,0.647,4.265663867549451
2024-25,DRBL-LN,1,Nikola Jokić,1610612743,0,3365,1.0173,6.219223045130841
2024-25,DRBL-LN,2,Nikola Vučević,1610612741,0,3806,0.7261,5.181883777014992
2024-25,DRBL-LN,3,Franz Wagner,1610612753,0,3348,0.7672,4.788301183987444
2024-25,DRBL-LN,4,Norman Powell,1610612746,0,2845,0.878,4.595773403621491
2024-25,DRBL-LN,5,Jayson Tatum,1610612738,0,3770,0.6144,4.42903764794751
2024-25,DRBL-LN,6,Shai Gilgeous-Alexander,1610612760,0,3782,0.6002,4.353375069796469
2024-25,DRBL-LN,7,Tyler Herro,1610612748,0,3470,0.647,4.265663867549451
2024-25,DRBL-LN,8,Domantas Sabonis,1610612758,0,3952,0.549,4.210867765426129
2024-25,DRBL-LN,9,Pascal Siakam,1610612754,0,3836,0.5528,4.111632751529885
2024-25,DRBL-LN,10,Kyrie Irving,1610612742,0,3508,0.5745,3.8872958213460165
2024-25,DRBL-LN,11,De'Andre Hunter,1610612737,0,2087,1.0065,3.819539860266946
2024-25,DRBL-LN,12,Dillon Brooks,1610612745,0,3320,0.5994,3.817138091203312
2024-25,DRBL-LN,13,Karl-Anthony Towns,1610612752,0,3413,0.5495,3.639413866003335
2024-25,DRBL-LN,14,Christian Braun,1610612743,0,3532,0.5251,3.6222675413895566
2024-25,DRBL-LN,15,Payton Pritchard,1610612738,0,3106,0.6079,3.615219677932683
2024-25,DRBL-LN,16,Cameron Johnson,1610612751,0,3406,0.5417,3.5875463510430605
2024-25,DRBL-LN,17,Ivica Zubac,1610612746,0,3798,0.4548,3.4488090051277873
2024-25,DRBL-LN,18,Buddy Hield,1610612744,0,2311,0.7956,3.4148828889243474
2024-25,DRBL-LN,19,Evan Mobley,1610612739,0,3461,0.5018,3.4146709582929833
2024-25,DRBL-LN,20,Malik Beasley,1610612765,0,3270,0.5284,3.3716074228335353
2024-25,DRBL-LN,21,Giannis Antetokounmpo,1610612749,0,3180,0.5065,3.1624128359779227
2024-25,DRBL-LN,22,Jimmy Butler,1610612748,0,2084,0.8046,3.1108013760075917
2024-25,DRBL-LN,23,Jaren Jackson Jr.,1610612763,0,3307,0.4704,3.089176930411076
2024-25,DRBL-LN,24,Daniel Gafford,1610612742,0,2312,0.706,3.070126071456303
2024-25,DRBL-LN,25,Ochai Agbaji,1610612761,0,3607,0.4009,2.9504250435139983
2024-25,DRBL-B,1,Nikola Jokić,1610612743,0,3365,1.0173,6.219223045130841
2024-25,DRBL-B,2,Nikola Vučević,1610612741,0,3806,0.7261,5.181883777014992
2024-25,DRBL-B,3,Franz Wagner,1610612753,0,3348,0.7672,4.788301183987444
2024-25,DRBL-B,4,Norman Powell,1610612746,0,2845,0.878,4.595773403621491
2024-25,DRBL-B,5,Jayson Tatum,1610612738,0,3770,0.6144,4.42903764794751
2024-25,DRBL-B,6,Shai Gilgeous-Alexander,1610612760,0,3782,0.6002,4.353375069796469
2024-25,DRBL-B,7,Tyler Herro,1610612748,0,3470,0.647,4.265663867549451
2024-25,DRBL-B,8,Domantas Sabonis,1610612758,0,3952,0.549,4.210867765426129
2024-25,DRBL-B,9,Pascal Siakam,1610612754,0,3836,0.5528,4.111632751529885
2024-25,DRBL-B,10,Kyrie Irving,1610612742,0,3508,0.5745,3.8872958213460165
2024-25,DRBL-B,11,De'Andre Hunter,1610612737,0,2087,1.0065,3.819539860266946
2024-25,DRBL-B,12,Dillon Brooks,1610612745,0,3320,0.5994,3.817138091203312
2024-25,DRBL-B,13,Karl-Anthony Towns,1610612752,0,3413,0.5495,3.639413866003335
2024-25,DRBL-B,14,Christian Braun,1610612743,0,3532,0.5251,3.6222675413895566
2024-25,DRBL-B,15,Payton Pritchard,1610612738,0,3106,0.6079,3.615219677932683
2024-25,DRBL-B,16,Cameron Johnson,1610612751,0,3406,0.5417,3.5875463510430605
2024-25,DRBL-B,17,Ivica Zubac,1610612746,0,3798,0.4548,3.4488090051277873
2024-25,DRBL-B,18,Buddy Hield,1610612744,0,2311,0.7956,3.4148828889243474
2024-25,DRBL-B,19,Evan Mobley,1610612739,0,3461,0.5018,3.4146709582929833
