season,teamId,n_players,mean_drbl100,mean_drblWar,sum_seasonal_impact,top_war_player,top_war
2024-25,1610612739,16,0.0759,1.0196,190.57,Evan Mobley,3.4146709582929833
2024-25,1610612752,14,-0.0549,0.8526,104.81,Karl-Anthony Towns,3.639413866003335
2024-25,1610612738,16,0.0154,0.8086,126.8,Jayson Tatum,4.42903764794751
2024-25,1610612753,16,0.1747,0.8029,157.68,Franz Wagner,4.788301183987444
2024-25,1610612760,16,0.111,0.8012,148.63,Shai Gilgeous-Alexander,4.353375069796469
2024-25,1610612745,16,0.0648,0.7467,127.19,Dillon Brooks,3.817138091203312
2024-25,1610612742,17,-0.0321,0.7106,99.45,Kyrie Irving,3.8872958213460165
2024-25,1610612758,15,0.0055,0.7001,92.28,Domantas Sabonis,4.210867765426129
2024-25,1610612743,15,-0.01,0.6373,83.01,Nikola Jokić,6.219223045130841
2024-25,1610612763,17,-0.0038,0.6352,89.22,Jaren Jackson Jr.,3.089176930411076
2024-25,1610612744,15,0.0954,0.6159,95.01,Buddy Hield,3.4148828889243474
2024-25,1610612750,15,-0.0113,0.4947,46.04,Naz Reid,2.466639893356862
2024-25,1610612759,15,0.0561,0.4896,58.41,Victor Wembanyama,2.4833795718932694
2024-25,1610612746,16,0.035,0.4878,63.01,Norman Powell,4.595773403621491
2025-26,1610612760,16,0.1281,0.445,212.95,Shai Gilgeous-Alexander,4.52
2024-25,1610612748,16,0.0828,0.4211,63.14,Tyler Herro,4.265663867549451
2024-25,1610612756,15,0.055,0.4003,44.36,Royce O'Neale,2.2135014566605795
2024-25,1610612766,18,0.0024,0.3564,36.65,LaMelo Ball,2.4702741359817497
2024-25,1610612754,16,0.0322,0.3288,23.31,Pascal Siakam,4.111632751529885
2024-25,1610612741,17,0.0607,0.3163,29.4,Nikola Vučević,5.181883777014992
2024-25,1610612737,15,0.0186,0.2908,4.28,De'Andre Hunter,3.819539860266946
2025-26,1610612750,15,0.0073,0.2653,119.65,Anthony Edwards,1.67
2024-25,1610612765,14,0.0374,0.2557,-0.8,Malik Beasley,3.3716074228335353
2025-26,1610612738,15,0.1213,0.2533,114,Neemias Queta,1.63
2024-25,1610612749,17,0.0373,0.2444,15.69,Giannis Antetokounmpo,3.1624128359779227
2025-26,1610612745,14,0.0471,0.2236,94.12,Kevin Durant,2.12
2025-26,1610612743,14,0.0271,0.2129,89.39,Nikola Jokić,2.83
2025-26,1610612753,15,0.0753,0.2093,94.16,Franz Wagner,1.73
2025-26,1610612752,15,0.002,0.2073,93.46,Jalen Brunson,1.99
2024-25,1610612761,16,-0.0519,0.2053,-23.02,Ochai Agbaji,2.9504250435139983
2025-26,1610612765,17,0.0594,0.1871,95.67,Jalen Duren,1.44
2025-26,1610612748,15,0.0673,0.1867,83.81,Norman Powell,2.93
2025-26,1610612759,16,0.0269,0.1694,80.9,Keldon Johnson,1.8
2025-26,1610612761,15,0.0733,0.1293,58.26,Sandro Mamukelashvili,1.33
2025-26,1610612747,15,-0.018,0.1287,58.05,Austin Reaves,1.36
2024-25,1610612747,15,-0.0964,0.1201,-49.79,Anthony Davis,2.4094704355826297
2025-26,1610612744,16,0.0125,0.1081,51.95,Jimmy Butler III,2.18
2024-25,1610612751,15,-0.0591,0.1053,-42.65,Cameron Johnson,3.5875463510430605
2024-25,1610612755,16,-0.0558,0.0995,-41.13,Jared McCain,2.099565343021882
2025-26,1610612756,16,0.0344,0.0863,41.29,Mark Williams,1.4
2025-26,1610612737,17,0.0665,0.0818,42.15,Vít Krejčí,1.29
2025-26,1610612739,16,-0.0487,0.0581,27.93,Donovan Mitchell,2.29
2025-26,1610612749,17,0.0618,0.0471,23.76,Giannis Antetokounmpo,1.42
2025-26,1610612763,18,-0.0061,0.0378,20.41,Cam Spencer,0.78
2025-26,1610612755,17,-0.0788,0.0353,18.55,Tyrese Maxey,2.29
2025-26,1610612757,16,-0.0319,0.0281,13.1,Deni Avdija,1.35
2024-25,1610612762,17,-0.1464,0.01,-80.94,Lauri Markkanen,2.4390902483814427
2025-26,1610612741,16,-0.0019,0.0062,3.25,Ayo Dosunmu,1.29
2025-26,1610612742,17,-0.0318,0,0.36,Max Christie,1.5
2025-26,1610612766,17,-0.0053,-0.0071,-3.56,Kon Knueppel,1.16
2025-26,1610612754,21,0.0157,-0.0186,-11.6,Pascal Siakam,0.82
2024-25,1610612740,19,-0.1409,-0.0574,-106.12,Trey Murphy III,2.372852232092624
2025-26,1610612762,15,-0.072,-0.062,-27.58,Lauri Markkanen,2.95
2025-26,1610612751,16,-0.0688,-0.0681,-32.81,Michael Porter Jr.,2.28
2025-26,1610612740,16,-0.04,-0.07,-33.01,Trey Murphy III,1.61
2025-26,1610612758,17,-0.1171,-0.1547,-79.36,DeMar DeRozan,1.28
2025-26,1610612746,17,-0.1535,-0.1735,-88.16,Kawhi Leonard,1.02
2024-25,1610612757,15,-0.0313,-0.1792,-101.8,Robert Williams III,0.6843768241913624
2024-25,1610612764,16,-0.0234,-0.2101,-104.14,Jordan Poole,1.1933377622598416
2025-26,1610612764,15,-0.1707,-0.3513,-158.42,Marvin Bagley III,0.42
