season,player,teamId,rank_war,rank_drbl100,possessions,raw_ability_rate,posterior_drbl100,drbl100,drblP,drblLn,drblB,drblO,drblD,sdv100,shotMaking100,seasonalImpact,drblWar,disagreement,dominant_component,sample_note,math_explanation
2024-25,Nikola Jokić,1610612743,1,1,3365,2.81,1.0173,1.0173,2.65,0,0,5.59,-0.57,0,0,94.5565,6.22,1.21,P,partial_400,Highest seq creation/connection; WAR from calibrated posterior×poss; LN/B display wiped (A1)
2024-25,Shai Gilgeous-Alexander,1610612760,6,20,3782,1.6374,0.6002,0.6002,1.56,0,0,2.44,0.51,0,0,61.93,4.35,0.72,P,partial_400,Strong P + volume; ability rank below WAR rank due to remaster path
2024-25,Luka Dončić,1610612742,63,99,2961,0.8038,0.2866,0.2866,0.75,0,0,1.3,0.11,0,0,23.80,1.86,0.35,P,partial_400,Muted seq P in this 400g slice vs reputation; not M6-driven
2024-25,Giannis Antetokounmpo,1610612749,21,38,3180,1.4081,0.5065,0.5065,1.32,0,0,3.09,-0.59,0,0,44.78,3.16,0.61,P,partial_400,Positive O; negative D credit in seq categories
2024-25,Jayson Tatum,1610612738,5,18,3770,1.6766,0.6144,0.6144,1.59,0,0,2.85,0.18,0,0,63.21,4.43,0.73,P,partial_400,High volume + solid P rate
2024-25,Stephen Curry,1610612744,32,41,2623,1.4032,0.4923,0.4923,1.3,0,0,2.7,-0.28,0,0,36.81,2.55,0.60,P,partial_400,Positive O; GSW teammates also high in team means — association risk unresolved until A1 fixed
2024-25,Anthony Edwards,1610612750,71,147,3775,0.5158,0.189,0.189,0.49,0,0,0.72,0.21,0,0,19.47,1.75,0.24,P,partial_400,Volume without elite rate in this sample
2024-25,Victor Wembanyama,1610612759,35,58,2937,1.1718,0.4174,0.4174,1.1,0,0,1.25,0.81,0,0,34.42,2.48,0.51,P,partial_400,Notable positive D among stars
2024-25,LaMelo Ball,1610612766,36,53,2812,1.2341,0.4371,0.4371,1.15,0,0,2.47,-0.32,0,0,34.70,2.47,0.53,P,partial_400,Creation-heavy O
2024-25,Matisse Thybulle,,,NOT_IN_400G_ARTIFACT,,,,,,,,,,,0,,,,"Absent from 2024-25 400g player set"
2024-25,Marcus Smart,1610612763,429,423,1602,-1.2452,-0.3999,-0.3999,-1.11,0,0,-2.08,0.1,0,0,-19.95,-0.83,0.48,P,partial_400,Large negative P/O; defense event credit small
2024-25,Aaron Wiggins,1610612760,173,236,2215,0.0738,0.0252,0.0252,0.07,0,0,-0.36,0.49,0,0,1.63,0.42,0.05,P,partial_400,Near-zero rate; OKC context — not inflated here on WAR board
2024-25,Cason Wallace,1610612760,125,195,2788,0.2499,0.0884,0.0884,0.23,0,0,0.21,0.23,0,0,6.97,0.82,0.12,P,partial_400,Modest positive; not top-100 WAR
2024-25,Dru Smith,1610612748,196,167,822,0.5563,0.1462,0.1462,0.45,0,0,-0.17,0.92,0,0,4.57,0.32,0.22,P,partial_400,Low possessions; EB shrinks; D-heavy tiny sample
2024-25,Chaz Lanier,,,NOT_IN_400G_ARTIFACT,,,,,,,,,,,0,,,,"Absent from 2024-25 400g player set"
2025-26,Nikola Jokić,1610612743,4,8,3866,2.1961,0.8068,0.81,2.09,0,0,5.17,-1.21,0,0,84.9,2.83,0.92,P,partial_400,Still elite P; WAR scale differs (no v4 pipeline on 2025-26)
2025-26,Shai Gilgeous-Alexander,1610612760,1,1,3733,3.6291,1.3285,1.33,3.44,0,0,6.37,0.17,0,0,135.47,4.52,1.5,P,partial_400,Dominant seq P in this slice
2025-26,Luka Dončić,1610612747,63,100,3019,0.8377,0.2994,0.3,0.79,0,0,2.66,-1.18,0,0,25.29,0.84,0.35,P,partial_400,Muted vs reputation again
2025-26,Giannis Antetokounmpo,1610612749,22,19,2179,1.9504,0.6649,0.66,1.79,0,0,4.26,-0.96,0,0,42.5,1.42,0.78,P,partial_400,Strong rate; fewer poss
2025-26,Jayson Tatum,,,NOT_IN_400G_ARTIFACT,,,,,,,,,,,0,,,,"Absent (injury/sample) in 2025-26 400g set"
2025-26,Stephen Curry,1610612744,46,64,2681,1.1211,0.3945,0.39,1.04,0,0,2.79,-0.84,0,0,30.06,1,0.46,P,partial_400,Solid O
2025-26,Anthony Edwards,1610612750,14,31,3352,1.4979,0.5421,0.54,1.41,0,0,3.57,-0.89,0,0,50.21,1.67,0.62,P,partial_400,Higher than 2024-25 slice
2025-26,Victor Wembanyama,1610612759,39,36,2129,1.5676,0.5323,0.53,1.43,0,0,1.26,1.38,0,0,33.37,1.11,0.63,P,partial_400,Strong D credit
2025-26,LaMelo Ball,1610612766,469,459,2219,-1.8549,-0.6343,-0.63,-1.7,0,0,-1.75,-1.39,0,0,-41.16,-1.37,0.73,P,partial_400,Large negative — sample/team stretch; verify after A1
