season,sample,field,count,nonzeroCount,nonzeroShare,mean,sd,median,min,max,p5,p25,p75,p95,health_ok,health_reasons
2024-25,400,drblP,476,476,1,-0.035609,1.136022,0.04,-4.23,3.18,-2.01,-0.73,0.77,1.67,true,
2024-25,400,drblLn,476,462,0.9706,0.010966,1.584752,-0.01,-5.58,4.9,-2.52,-0.94,0.86,2.58,true,
2024-25,400,drblB,476,461,0.9685,-0.061828,0.197125,-0.06,-0.64,0.51,-0.39,-0.2,0.07,0.25,true,
2024-25,400,sdv100,476,469,0.9853,-0.430462,2.380456,-0.41,-6.9,8.51,-4.38,-1.79,0.42,3.68,true,
2024-25,full,drblP,555,552,0.9946,-0.068505,1.058209,0.03,-3.98,3.19,-2.02,-0.67,0.63,1.49,true,
2024-25,full,drblLn,555,542,0.9766,0.000162,1.764338,-0.03,-6.11,6.17,-2.93,-1.04,1.02,2.91,true,
2024-25,full,drblB,555,544,0.9802,-0.068883,0.194343,-0.07,-0.72,0.7,-0.39,-0.19,0.05,0.23,true,
2024-25,full,sdv100,555,552,0.9946,-1.075982,4.00703,-1.15,-10.23,17.32,-6.85,-3.53,0.38,6.71,true,
2025-26,400,drblP,484,481,0.9938,-0.022665,1.164671,0,-3.49,4.7,-1.92,-0.77,0.69,1.74,true,
2025-26,400,drblLn,484,472,0.9752,0.021446,1.644977,0,-5.61,4.71,-2.75,-0.92,1.13,2.59,true,
2025-26,400,drblB,484,468,0.9669,-0.040372,0.208418,-0.04,-0.68,0.79,-0.38,-0.17,0.08,0.31,true,
2025-26,400,sdv100,484,481,0.9938,-0.785744,2.537831,-0.65,-9.76,9.89,-4.74,-2.3,0.17,3.84,true,
2025-26,full,drblP,575,571,0.993,-0.087791,1.094585,0.01,-4.19,3.27,-2.04,-0.69,0.61,1.51,true,
2025-26,full,drblLn,575,547,0.9513,0.038887,1.764412,0,-5.94,5.54,-2.87,-1.03,0.98,3.13,true,
2025-26,full,drblB,575,563,0.9791,-0.108922,0.17242,-0.12,-0.58,0.63,-0.38,-0.22,0,0.19,true,
2025-26,full,sdv100,575,573,0.9965,-0.962661,4.379205,-0.96,-13.07,18.53,-7.18,-3.84,0.56,8.27,true,
