season,sample,pair,pearson,spearman
2024-25,400,P_LN,0.3185,0.3154
2024-25,400,P_B,0.1981,0.1628
2024-25,400,LN_B,0.0781,0.0714
2024-25,400,P_SDV,0.2619,0.2581
2024-25,400,LN_SDV,0.0483,0.0733
2024-25,400,B_SDV,-0.1987,-0.1979
2024-25,400,rawAbilityRate__rawAbilityRate,1,1
2024-25,400,rawAbilityRate__drblLn,0.2183,0.296
2024-25,400,rawAbilityRate__drblB,0.1815,0.1524
2024-25,400,rawAbilityRate__fusedRateRaw,0.6934,0.8061
2024-25,400,rawAbilityRate__posteriorAbilityRate,0.5321,0.7511
2024-25,400,rawAbilityRate__drbl100,0.5321,0.7511
2024-25,400,drblLn__drblLn,1,1
2024-25,400,drblLn__drblB,0.0781,0.0714
2024-25,400,drblLn__fusedRateRaw,0.2973,0.3028
2024-25,400,drblLn__posteriorAbilityRate,0.2972,0.3026
2024-25,400,drblLn__drbl100,0.2972,0.3026
2024-25,400,drblB__drblB,1,1
2024-25,400,drblB__fusedRateRaw,0.2639,0.2265
2024-25,400,drblB__posteriorAbilityRate,0.2453,0.2212
2024-25,400,drblB__drbl100,0.2453,0.2212
2024-25,400,fusedRateRaw__fusedRateRaw,1,1
2024-25,400,fusedRateRaw__posteriorAbilityRate,0.9605,0.9768
2024-25,400,fusedRateRaw__drbl100,0.9605,0.9768
2024-25,400,posteriorAbilityRate__posteriorAbilityRate,1,1
2024-25,400,posteriorAbilityRate__drbl100,1,1
2024-25,400,drbl100__drbl100,1,1
2024-25,full,P_LN,0.3962,0.4039
2024-25,full,P_B,-0.0037,0.0099
2024-25,full,LN_B,0.0645,0.0625
2024-25,full,P_SDV,0.2634,0.25
2024-25,full,LN_SDV,0.0983,0.1007
2024-25,full,B_SDV,-0.27,-0.2782
2024-25,full,rawAbilityRate__rawAbilityRate,1,1
2024-25,full,rawAbilityRate__drblLn,0.3061,0.3948
2024-25,full,rawAbilityRate__drblB,0.0389,0.0083
2024-25,full,rawAbilityRate__fusedRateRaw,0.7084,0.7941
2024-25,full,rawAbilityRate__posteriorAbilityRate,0.6135,0.771
2024-25,full,rawAbilityRate__drbl100,0.6135,0.771
2024-25,full,drblLn__drblLn,1,1
2024-25,full,drblLn__drblB,0.0645,0.0625
2024-25,full,drblLn__fusedRateRaw,0.4775,0.4584
2024-25,full,drblLn__posteriorAbilityRate,0.4978,0.4653
2024-25,full,drblLn__drbl100,0.4978,0.4653
2024-25,full,drblB__drblB,1,1
2024-25,full,drblB__fusedRateRaw,-0.0304,-0.0437
2024-25,full,drblB__posteriorAbilityRate,-0.0575,-0.0582
2024-25,full,drblB__drbl100,-0.0575,-0.0582
2024-25,full,fusedRateRaw__fusedRateRaw,1,1
2024-25,full,fusedRateRaw__posteriorAbilityRate,0.9775,0.9893
2024-25,full,fusedRateRaw__drbl100,0.9775,0.9893
2024-25,full,posteriorAbilityRate__posteriorAbilityRate,1,1
2024-25,full,posteriorAbilityRate__drbl100,1,1
2024-25,full,drbl100__drbl100,1,1
2025-26,400,P_LN,0.3985,0.3976
2025-26,400,P_B,0.2595,0.2175
2025-26,400,LN_B,0.1076,0.0736
2025-26,400,P_SDV,0.2428,0.2331
2025-26,400,LN_SDV,0.0798,0.0179
2025-26,400,B_SDV,-0.1725,-0.1588
2025-26,400,rawAbilityRate__rawAbilityRate,1,1
2025-26,400,rawAbilityRate__drblLn,0.3125,0.3871
2025-26,400,rawAbilityRate__drblB,0.2307,0.2123
2025-26,400,rawAbilityRate__fusedRateRaw,0.7789,0.8135
2025-26,400,rawAbilityRate__posteriorAbilityRate,0.6423,0.7717
2025-26,400,rawAbilityRate__drbl100,0.6422,0.7698
2025-26,400,drblLn__drblLn,1,1
2025-26,400,drblLn__drblB,0.1076,0.0736
2025-26,400,drblLn__fusedRateRaw,0.5003,0.4993
2025-26,400,drblLn__posteriorAbilityRate,0.5298,0.5063
2025-26,400,drblLn__drbl100,0.53,0.5067
2025-26,400,drblB__drblB,1,1
2025-26,400,drblB__fusedRateRaw,0.3331,0.2918
2025-26,400,drblB__posteriorAbilityRate,0.336,0.2939
2025-26,400,drblB__drbl100,0.3364,0.2943
2025-26,400,fusedRateRaw__fusedRateRaw,1,1
2025-26,400,fusedRateRaw__posteriorAbilityRate,0.9655,0.9811
2025-26,400,fusedRateRaw__drbl100,0.9654,0.9812
2025-26,400,posteriorAbilityRate__posteriorAbilityRate,1,1
2025-26,400,posteriorAbilityRate__drbl100,1,0.9999
2025-26,400,drbl100__drbl100,1,1
2025-26,full,P_LN,0.3827,0.3872
2025-26,full,P_B,0.2548,0.2265
2025-26,full,LN_B,0.1544,0.1318
2025-26,full,P_SDV,0.2597,0.2694
2025-26,full,LN_SDV,0.0603,0.0412
2025-26,full,B_SDV,0.2914,0.2559
2025-26,full,rawAbilityRate__rawAbilityRate,1,1
2025-26,full,rawAbilityRate__drblLn,0.3147,0.376
2025-26,full,rawAbilityRate__drblB,0.2133,0.224
2025-26,full,rawAbilityRate__fusedRateRaw,0.7853,0.8448
2025-26,full,rawAbilityRate__posteriorAbilityRate,0.6881,0.8184
