season,playerId,player,teamId,drblP,drblLn,drblB,rawAbilityRate,fusedRateRaw,fusionDelta,posteriorAbilityRate,drbl100,possessions
2024-25,203999,Nikola Jokić,1610612743,2.63,6.17,0.45,2.6742,1.56,-1.1141999999999999,1.5315,1.5315,10737
2024-25,1628983,Shai Gilgeous-Alexander,1610612760,2.71,5.66,-0.09,2.7644,1.32,-1.4444000000000001,1.2962,1.2962,10880
2024-25,1630532,Franz Wagner,1610612753,1.29,4.24,0.07,1.3266,1.35,0.023400000000000087,1.3178,1.3178,8188
2024-25,1641705,Victor Wembanyama,1610612759,0.65,3.86,0.2,0.6765,1.7584,1.0819,1.7019,1.7019,6024
2024-25,1626181,Norman Powell,1610612746,2.07,1.33,-0.1,2.1189,1.2,-0.9189,1.1709,1.1709,8057
2024-25,1630202,Payton Pritchard,1610612738,1.62,-0.46,-0.03,1.6565,1.01,-0.6465000000000001,0.9881,0.9881,9025
2024-25,1629675,Naz Reid,1610612750,0.96,2.36,0.01,0.9765,0.99,0.013499999999999956,0.9686,0.9686,9046
2024-25,202710,Jimmy Butler,1610612748,1.83,0.16,-0.57,1.8862,1.36,-0.5262,1.3221,1.3221,6970
2024-25,1628991,Jaren Jackson Jr.,1610612763,1.37,2.31,-0.05,1.3944,0.89,-0.5044000000000001,0.872,0.872,9713
2024-25,203897,Zach LaVine,1610612741,0.7,3.19,-0.15,0.7166,0.67,-0.046599999999999975,0.6579,0.6579,10890
2024-25,1627826,Ivica Zubac,1610612746,1.27,3.74,0.03,1.2934,0.68,-0.6134000000000001,0.6676,0.6676,10739
2024-25,201942,DeMar DeRozan,1610612758,0.77,-0.23,-0.27,0.7831,0.62,-0.16310000000000002,0.6094,0.6094,11459
2024-25,1631165,Keon Ellis,1610612758,1.49,1.99,0.04,1.5258,0.94,-0.5858000000000001,0.9171,0.9171,8023
2024-25,1631128,Christian Braun,1610612743,1.39,1.66,-0.13,1.4143,0.58,-0.8342999999999999,0.5697,0.5697,11046
2024-25,1631106,Tari Eason,1610612745,1.73,2.47,0.11,1.7842,1.28,-0.5042,1.2376,1.2376,5836
2024-25,1628386,Jarrett Allen,1610612739,1.37,0.19,-0.43,1.4014,0.65,-0.7514,0.6368,0.6368,9655
2024-25,1627736,Malik Beasley,1610612765,1.2,-0.03,0.1,1.2254,0.62,-0.6054,0.6076,0.6076,9795
2024-25,1629631,De'Andre Hunter,1610612737,1.49,1.88,-0.39,1.5348,0.89,-0.6447999999999999,0.8664,0.8664,7330
2024-25,1630700,Dyson Daniels,1610612737,0.96,-0.3,0.28,0.9726,0.51,-0.4626,0.5008,0.5008,10870
2024-25,1627783,Pascal Siakam,1610612754,1.22,3.19,-0.15,1.2412,0.55,-0.6912,0.5396,0.5396,10334
2024-25,1630596,Evan Mobley,1610612739,1.03,2.39,-0.2,1.0481,0.64,-0.4081,0.6262,0.6262,9051
2024-25,203497,Rudy Gobert,1610612750,1.34,0.45,-0.63,1.3637,0.57,-0.7937,0.5583,0.5583,9585
2024-25,1626157,Karl-Anthony Towns,1610612752,0.82,0.52,-0.13,0.8352,0.48,-0.35520000000000007,0.4707,0.4707,10077
2024-25,1630552,Jalen Johnson,1610612737,0.32,2.58,0.08,0.3305,1.1136,0.7830999999999999,1.0738,1.0738,5396
2024-25,1628369,Jayson Tatum,1610612738,0.51,2.7,-0.31,0.5173,0.41,-0.1073,0.4024,0.4024,10587
2024-25,1628378,Donovan Mitchell,1610612739,0.98,0.75,-0.01,1.0025,0.48,-0.5225,0.4699,0.4699,9308
2024-25,202696,Nikola Vučević,1610612741,0.84,-1.34,0.07,0.8572,0.44,-0.41719999999999996,0.4312,0.4312,9771
2024-25,1629636,Darius Garland,1610612739,0.69,0.16,0.18,0.7003,0.44,-0.26030000000000003,0.4311,0.4311,9684
2024-25,1627734,Domantas Sabonis,1610612758,0.58,2.15,-0.1,0.5931,0.39,-0.20309999999999995,0.3824,0.3824,10119
2024-25,1630529,Herbert Jones,1610612740,0.42,5.71,-0.05,0.4559,2.2956,1.8397,2.1365,2.1365,2686
2024-25,1630551,Justin Champagnie,1610612764,1.07,0.71,-0.13,1.1111,0.93,-0.18109999999999993,0.8972,0.8972,5479
2024-25,1630183,Jaden McDaniels,1610612750,0.75,-0.86,-0.07,0.7592,0.35,-0.4092,0.3435,0.3435,10534
2024-25,1629660,Ty Jerome,1610612739,1.74,2.04,0.02,1.8019,0.86,-0.9419000000000001,0.8313,0.8313,5795
2024-25,1630168,Onyeka Okongwu,1610612737,0.73,0.81,-0.15,0.7473,0.46,-0.28729999999999994,0.4499,0.4499,8921
2024-25,1628384,OG Anunoby,1610612752,1.06,1.19,0.02,1.0764,0.31,-0.7664,0.3044,0.3044,10928
2024-25,1629008,Michael Porter Jr.,1610612743,0.42,-0.44,0.08,0.4308,0.31,-0.12080000000000002,0.3044,0.3044,10812
2024-25,1628970,Miles Bridges,1610612766,0.67,2.11,0.05,0.6839,0.48,-0.20389999999999997,0.4688,0.4688,8345
