season,band,rank_drbl100,player,playerId,teamId,P,LN,B,SDV,fusedRateRaw,posteriorAbilityRate,drbl100,fusionDelta,posteriorDelta,possessions
2024-25,top50,1,Herbert Jones,1630529,1610612740,0.42,5.71,-0.05,-0.38,2.2956,2.1365,2.1365,1.8397,-0.15910000000000002,2686
2024-25,top50,2,Victor Wembanyama,1641705,1610612759,0.65,3.86,0.2,-0.99,1.7584,1.7019,1.7019,1.0819,-0.056499999999999995,6024
2024-25,top50,3,Nikola Jokić,203999,1610612743,2.63,6.17,0.45,4.16,1.56,1.5315,1.5315,-1.1141999999999999,-0.02849999999999997,10737
2024-25,top50,4,Alex Reese,1642024,1610612760,0.78,4.09,-0.14,0.4,1.8276,1.5228,1.5228,0.8958999999999999,-0.30479999999999996,999
2024-25,top50,5,Jimmy Butler,202710,1610612748,1.83,0.16,-0.57,0,1.36,1.3221,1.3221,-0.5262,-0.037900000000000045,6970
2024-25,top50,6,Daeqwon Plowden,1631342,1610612737,2.6,0.49,-0.07,1.54,2.23,1.3216,1.3216,-2.1548000000000003,-0.9083999999999999,291
2024-25,top50,7,Franz Wagner,1630532,1610612753,1.29,4.24,0.07,-1.67,1.35,1.3178,1.3178,0.023400000000000087,-0.032200000000000006,8188
2024-25,top50,8,Josh Okogie,1629006,1610612756,1.93,3.01,-0.21,0.63,1.41,1.3065,1.3065,-0.671,-0.10349999999999993,2524
2024-25,top50,9,Shai Gilgeous-Alexander,1628983,1610612760,2.71,5.66,-0.09,0.42,1.32,1.2962,1.2962,-1.4444000000000001,-0.023800000000000043,10880
2024-25,top50,10,Tari Eason,1631106,1610612745,1.73,2.47,0.11,3.56,1.28,1.2376,1.2376,-0.5042,-0.04239999999999999,5836
2024-25,top50,11,Patrick Baldwin Jr.,1631116,1610612764,3.19,2.46,0,-0.08,1.79,1.2208,1.2208,-2.8918,-0.5691999999999999,429
2024-25,top50,12,Chris Boucher,1628449,1610612761,1.93,2.97,0.06,2.89,1.27,1.2006,1.2006,-0.7690999999999999,-0.06940000000000013,3459
2024-25,top50,13,Norman Powell,1626181,1610612746,2.07,1.33,-0.1,0.05,1.2,1.1709,1.1709,-0.9189,-0.029099999999999904,8057
2024-25,top50,14,Paul Reed,1630194,1610612765,0.95,1.91,-0.06,3.03,1.29,1.1627,1.1627,0.23750000000000004,-0.12729999999999997,1827
