season,playerId,player,teamId,drbl100_400,drbl100_full,deltaDRBL,absoluteDeltaDRBL,rank400,rankFull,rankChange,P400,PFull,LN400,LNFull,B400,BFull,fused400,fusedFull,posterior400,posteriorFull,war400,warFull,poss400,possFull
2024-25,203999,Nikola Jokić,1610612743,1.0022,1.5315,0.5293000000000001,0.5293000000000001,7,3,4,2.96,2.63,4.61,6.17,0.41,0.45,1.06,1.56,1.0022,1.5315,7.11568368363109,28.914181240578213,3365,10737
2024-25,1628983,Shai Gilgeous-Alexander,1610612760,0.266,1.2962,1.0302,1.0302,94,9,85,1.65,2.71,4.09,5.66,0.16,-0.09,0.28,1.32,0.266,1.2962,5.497509827880551,25.440480170203234,3782,10880
2024-25,1630532,Franz Wagner,1610612753,0.6134,1.3178,0.7044000000000001,0.7044000000000001,29,7,22,2.28,1.29,4.9,4.24,0.12,0.07,0.65,1.35,0.6134,1.3178,6.326338724987382,19.412414798364516,3348,8188
2024-25,1641705,Victor Wembanyama,1610612759,0.0187,1.7019,1.6832,1.6832,169,2,167,1.2,0.65,1.01,3.86,0,0.2,0.02,1.7584,0.0187,1.7019,2.5261937051490255,17.769548987801056,2937,6024
2024-25,1626181,Norman Powell,1610612746,0.2985,1.1709,0.8724000000000001,0.8724000000000001,83,13,70,2.34,2.07,0.21,1.33,0.06,-0.1,0.32,1.2,0.2985,1.1709,5.684697275190205,17.317831326173835,2845,8057
2024-25,1630202,Payton Pritchard,1610612738,0.837,0.9881,0.1511,0.1511,18,20,-2,1.66,1.62,-0.71,-0.46,-0.24,-0.03,0.89,1.01,0.837,0.9881,4.95335578996208,16.911760834133176,3106,9025
2024-25,1629675,Naz Reid,1610612750,0.4651,0.9686,0.5035000000000001,0.5035000000000001,51,21,30,1.17,0.96,-0.6,2.36,-0.21,0.01,0.5,0.99,0.4651,0.9686,2.2591628635991783,16.68522854025751,2662,9046
2024-25,202710,Jimmy Butler,1610612748,0.8493,1.3221,0.4728,0.4728,16,5,11,2.31,1.83,0.3,0.16,-0.14,-0.57,0.92,1.36,0.8493,1.3221,4.9261654706924265,16.569910501496995,2084,6970
2024-25,1628991,Jaren Jackson Jr.,1610612763,0.5942,0.872,0.27780000000000005,0.27780000000000005,33,28,5,1.5,1.37,1.09,2.31,0.07,-0.05,0.63,0.89,0.5942,0.872,6.024228680404571,16.501235206075247,3307,9713
2024-25,203897,Zach LaVine,1610612741,-0.1608,0.6579,0.8187,0.8187,235,50,185,0.5,0.7,3.01,3.19,-0.26,-0.15,-0.17,0.67,-0.1608,0.6579,2.122570193051812,14.986467405767932,3611,10890
2024-25,1627826,Ivica Zubac,1610612746,-0.1519,0.6676,0.8195,0.8195,229,47,182,0.65,1.27,2.47,3.74,-0.25,0.03,-0.16,0.68,-0.1519,0.6676,2.1011352315835947,14.935679277215945,3798,10739
2024-25,201942,DeMar DeRozan,1610612758,0.5011,0.6094,0.10830000000000006,0.10830000000000006,45,59,-14,0.96,0.77,0.24,-0.23,0.25,-0.27,0.53,0.62,0.5011,0.6094,3.7728645610025837,14.931805809496899,3429,11459
2024-25,1631165,Keon Ellis,1610612758,0.0829,0.9171,0.8342,0.8342,148,24,124,0.82,1.49,-0.07,1.99,0.07,0.04,0.09,0.94,0.0829,0.9171,2.102309520100378,14.175524124795631,2156,8023
2024-25,1631128,Christian Braun,1610612743,0.4256,0.5697,0.1441,0.1441,54,68,-14,1.36,1.39,3.39,1.66,0.09,-0.13,0.45,0.58,0.4256,0.5697,4.4410452923722765,13.732648605099087,3532,11046
2024-25,1631106,Tari Eason,1610612745,0.909,1.2376,0.3286,0.3286,11,10,1,2.24,1.73,1.78,2.47,0.37,0.11,0.99,1.28,0.909,1.2376,4.3425548437785935,13.130716725806106,2147,5836
2024-25,1628386,Jarrett Allen,1610612739,0.3872,0.6368,0.24960000000000004,0.24960000000000004,66,54,12,0.67,1.37,-1.71,0.19,-0.3,-0.43,0.41,0.65,0.3872,0.6368,3.1879879011471046,12.979831607493702,3468,9655
2024-25,1627736,Malik Beasley,1610612765,0.2739,0.6076,0.33370000000000005,0.33370000000000005,91,60,31,1.35,1.2,1.61,-0.03,0.11,0.1,0.29,0.62,0.2739,0.6076,4.092001488167736,12.736932714199042,3270,9795
2024-25,1629631,De'Andre Hunter,1610612737,0.3272,0.8664,0.5391999999999999,0.5391999999999999,75,29,46,2.46,1.49,0.25,1.88,-0.06,-0.39,0.36,0.89,0.3272,0.8664,4.164068806840496,12.390929007642773,2087,7330
2024-25,1630700,Dyson Daniels,1610612737,0.1991,0.5008,0.3017,0.3017,111,83,28,0.89,0.96,-1,-0.3,0.21,0.28,0.21,0.51,0.1991,0.5008,3.0900978034618922,12.3849570724327,3747,10870
2024-25,1627783,Pascal Siakam,1610612754,0.7428,0.5396,-0.20320000000000005,0.20320000000000005,24,72,-48,1.22,1.22,2.38,3.19,0.07,-0.15,0.78,0.55,0.7428,0.5396,4.519222040806862,12.378621575694941,3836,10334
2024-25,1630596,Evan Mobley,1610612739,0.0752,0.6262,0.5509999999999999,0.5509999999999999,151,57,94,1.28,1.03,2.98,2.39,-0.24,-0.2,0.08,0.64,0.0752,0.6262,3.802692198141488,12.023224355703741,3461,9051
2024-25,203497,Rudy Gobert,1610612750,-0.3031,0.5583,0.8613999999999999,0.8613999999999999,295,70,225,0.48,1.34,1.64,0.45,-0.47,-0.63,-0.32,0.57,-0.3031,0.5583,2.14949831852417,11.751597318857993,3554,9585
2024-25,1626157,Karl-Anthony Towns,1610612752,0.5479,0.4707,-0.07720000000000005,0.07720000000000005,38,88,-50,1.33,0.82,-0.6,0.52,-0.07,-0.13,0.58,0.48,0.5479,0.4707,3.389033905532938,11.024244550491758,3413,10077
2024-25,1630552,Jalen Johnson,1610612737,-0.3617,1.0738,1.4355000000000002,1.4355000000000002,318,17,301,0.19,0.32,3.15,2.58,0.09,0.08,-0.38,1.1136,-0.3617,1.0738,1.5299991716866144,10.808485856845154,4147,5396
2024-25,1628369,Jayson Tatum,1610612738,0.1329,0.4024,0.26949999999999996,0.26949999999999996,128,106,22,1.7,0.51,4.28,2.7,-0.4,-0.31,0.14,0.41,0.1329,0.4024,4.589916335955044,10.49226585825886,3770,10587
2024-25,1628378,Donovan Mitchell,1610612739,0.1512,0.4699,0.3187,0.3187,125,89,36,0.96,0.98,-0.66,0.75,0.13,-0.01,0.16,0.48,0.1512,0.4699,3.0032498694954293,10.171734068187975,3572,9308
2024-25,202696,Nikola Vučević,1610612741,0.5596,0.4312,-0.12839999999999996,0.12839999999999996,36,96,-60,1.84,0.84,0.83,-1.34,-0.27,0.07,0.59,0.44,0.5596,0.4312,6.002708527684694,10.10772990532959,3806,9771
2024-25,1629636,Darius Garland,1610612739,0.2169,0.4311,0.21419999999999997,0.21419999999999997,107,97,10,0.98,0.69,1.14,0.16,0.16,0.18,0.23,0.44,0.2169,0.4311,1.826804890644159,10.016272023761136,3405,9684
2024-25,1627734,Domantas Sabonis,1610612758,-0.1143,0.3824,0.49670000000000003,0.49670000000000003,214,114,100,1.05,0.58,2.55,2.15,-0.01,-0.1,-0.12,0.39,-0.1143,0.3824,5.048636855413402,9.723405577767181,3952,10119
2024-25,1630529,Herbert Jones,1610612740,-0.4794,2.1365,2.6159,2.6159,358,1,357,0.25,0.42,-0.25,5.71,0.03,-0.05,-0.55,2.2956,-0.4794,2.1365,0.8520538778965994,9.682670859983533,1358,2686
2024-25,1630551,Justin Champagnie,1610612764,0.7304,0.8972,0.16679999999999995,0.16679999999999995,25,25,0,0.15,1.07,0.73,0.71,-0.03,-0.13,0.9184,0.93,0.7304,0.8972,1.2032271959161551,9.516285841582219,661,5479
2024-25,1630183,Jaden McDaniels,1610612750,-0.2067,0.3435,0.5502,0.5502,253,129,124,-0.41,0.75,-3.02,-0.86,-0.1,-0.07,-0.22,0.35,-0.2067,0.3435,1.495630319255199,9.504529931868959,3061,10534
2024-25,1629660,Ty Jerome,1610612739,0.6345,0.8313,0.19680000000000009,0.19680000000000009,28,31,-3,1.96,1.74,0.34,2.04,0.23,0.02,0.7,0.86,0.6345,0.8313,3.3317231292727207,9.48951056003471,2043,5795
2024-25,1630168,Onyeka Okongwu,1610612737,-0.2972,0.4499,0.7471000000000001,0.7471000000000001,292,95,197,0.05,0.73,-0.15,0.81,-0.17,-0.15,-0.32,0.46,-0.2972,0.4499,1.0560813086140377,9.479889443819182,2481,8921
2024-25,1628384,OG Anunoby,1610612752,0.1238,0.3044,0.1806,0.1806,129,133,-4,1.22,1.06,2.78,1.19,0.08,0.02,0.13,0.31,0.1238,0.3044,3.3856626322647787,9.215977236853728,3967,10928
