season,field,pearson,spearman,mae,rmse,sd_400,sd_full
2024-25,drblP,0.667,0.6642,0.6457,0.8887,1.136,1.0283
2024-25,drblLn,0.6186,0.5988,1.18,1.5064,1.5848,1.8279
2024-25,drblB,0.6208,0.593,0.1333,0.1707,0.1971,0.1945
2024-25,fusedRateRaw,0.6449,0.6363,0.4413,0.5918,0.6792,0.7104
2024-25,posteriorAbilityRate,0.6148,0.6199,0.3927,0.518,0.5315,0.6265
2024-25,drbl100,0.6148,0.62,0.3927,0.518,0.5315,0.6265
2024-25,drblWar,0.8014,0.7574,2.8529,4.3405,1.6023,5.4142
2025-26,drblP,0.7124,0.708,0.6052,0.841,1.1647,1.0254
2025-26,drblLn,0.5977,0.5788,1.2162,1.5947,1.645,1.8797
2025-26,drblB,0.5243,0.5078,0.1579,0.2017,0.2084,0.1714
2025-26,fusedRateRaw,0.6797,0.6528,0.4196,0.5488,0.6896,0.6539
2025-26,posteriorAbilityRate,0.6688,0.6353,0.361,0.4648,0.5416,0.5723
2025-26,drbl100,0.6687,0.6314,0.3611,0.4649,0.5416,0.5724
2025-26,drblWar,0.7623,0.7058,0.8511,1.2511,0.7393,1.7081
