season,sample,top_k,teamId,count,share
2024-25,400,10,1610612764,1,0.1
2024-25,400,10,1610612744,1,0.1
2024-25,400,10,1610612741,1,0.1
2024-25,400,10,1610612742,1,0.1
2024-25,400,10,1610612749,1,0.1
2024-25,400,10,1610612761,3,0.3
2024-25,400,10,1610612743,1,0.1
2024-25,400,10,1610612737,1,0.1
2024-25,400,25,1610612764,3,0.12
2024-25,400,25,1610612744,2,0.08
2024-25,400,25,1610612741,1,0.04
2024-25,400,25,1610612742,2,0.08
2024-25,400,25,1610612749,1,0.04
2024-25,400,25,1610612761,3,0.12
2024-25,400,25,1610612743,2,0.08
2024-25,400,25,1610612737,1,0.04
2024-25,400,25,1610612745,1,0.04
2024-25,400,25,1610612748,2,0.08
2024-25,400,25,1610612757,1,0.04
2024-25,400,25,1610612766,1,0.04
2024-25,400,25,1610612738,1,0.04
2024-25,400,25,1610612751,2,0.08
2024-25,400,25,1610612763,1,0.04
2024-25,400,25,1610612754,1,0.04
2024-25,400,50,1610612764,4,0.08
2024-25,400,50,1610612744,4,0.08
2024-25,400,50,1610612741,3,0.06
2024-25,400,50,1610612742,2,0.04
2024-25,400,50,1610612749,2,0.04
2024-25,400,50,1610612761,3,0.06
2024-25,400,50,1610612743,2,0.04
2024-25,400,50,1610612737,1,0.02
2024-25,400,50,1610612745,4,0.08
2024-25,400,50,1610612748,2,0.04
2024-25,400,50,1610612757,1,0.02
2024-25,400,50,1610612766,1,0.02
2024-25,400,50,1610612738,1,0.02
2024-25,400,50,1610612751,2,0.04
2024-25,400,50,1610612763,3,0.06
2024-25,400,50,1610612754,1,0.02
2024-25,400,50,1610612753,2,0.04
2024-25,400,50,1610612739,1,0.02
2024-25,400,50,1610612747,2,0.04
2024-25,400,50,1610612759,2,0.04
2024-25,400,50,1610612752,1,0.02
2024-25,400,50,1610612760,3,0.06
2024-25,400,50,1610612762,1,0.02
2024-25,400,50,1610612758,1,0.02
2024-25,400,50,1610612755,1,0.02
2024-25,400,100,1610612764,5,0.05
2024-25,400,100,1610612744,4,0.04
2024-25,400,100,1610612741,4,0.04
2024-25,400,100,1610612742,3,0.03
2024-25,400,100,1610612749,2,0.02
2024-25,400,100,1610612761,3,0.03
2024-25,400,100,1610612743,3,0.03
2024-25,400,100,1610612737,3,0.03
2024-25,400,100,1610612745,4,0.04
2024-25,400,100,1610612748,5,0.05
