season,sample,archetype,n,mean_drbl100,median_drbl100,top100_share
2024-25,400,finisher,404,-0.1359,-0.1519,0.96
2024-25,400,defender,29,-0.1527,-0.1321,0.03
2024-25,400,creator,35,-0.6036,-0.512,0
2024-25,400,unknown,5,0.042,0.04,0.01
2024-25,400,uncertain,3,-0.0867,-0.0562,0
2024-25,full,finisher,495,-0.0775,-0.0679,0.94
2024-25,full,defender,29,-0.0721,-0.0901,0.05
2024-25,full,creator,29,-0.728,-0.5492,0.01
2024-25,full,uncertain,1,-0.281,-0.281,0
2024-25,full,connector,1,-1.0102,-1.0102,0
2025-26,400,unknown,484,-0.0434,-0.05,1
2025-26,full,unknown,575,-0.1389,-0.13,1
