season,band,player,P400,PFull,LN400,LNFull,B400,BFull,fused400,fusedFull,posterior400,posteriorFull,rank400,rankFull,fusionDelta,posteriorDelta
2024-25,top25_full,Herbert Jones,0.25,0.42,-0.25,5.71,0.03,-0.05,-0.55,2.2956,-0.4794,2.1365,358,1,1.8397,-0.15910000000000002
2024-25,top25_full,Victor Wembanyama,1.2,0.65,1.01,3.86,0,0.2,0.02,1.7584,0.0187,1.7019,169,2,1.0819,-0.056499999999999995
2024-25,top25_full,Nikola Jokić,2.96,2.63,4.61,6.17,0.41,0.45,1.06,1.56,1.0022,1.5315,7,3,-1.1141999999999999,-0.02849999999999997
2024-25,top25_full,Jimmy Butler,2.31,1.83,0.3,0.16,-0.14,-0.57,0.92,1.36,0.8493,1.3221,16,5,-0.5262,-0.037900000000000045
2024-25,top25_full,Franz Wagner,2.28,1.29,4.9,4.24,0.12,0.07,0.65,1.35,0.6134,1.3178,29,7,0.023400000000000087,-0.032200000000000006
2024-25,top25_full,Josh Okogie,1.56,1.93,-0.08,3.01,-0.06,-0.21,0.51,1.41,0.4112,1.3065,58,8,-0.671,-0.10349999999999993
2024-25,top25_full,Shai Gilgeous-Alexander,1.65,2.71,4.09,5.66,0.16,-0.09,0.28,1.32,0.266,1.2962,94,9,-1.4444000000000001,-0.023800000000000043
2024-25,top25_full,Tari Eason,2.24,1.73,1.78,2.47,0.37,0.11,0.99,1.28,0.909,1.2376,11,10,-0.5042,-0.04239999999999999
2024-25,top25_full,Patrick Baldwin Jr.,1.58,3.19,1.26,2.46,0.15,0,1.1486,1.79,0.6068,1.2208,30,11,-2.8918,-0.5691999999999999
2024-25,top25_full,Chris Boucher,1.22,1.93,1.02,2.97,0.14,0.06,1.06,1.27,0.9518,1.2006,9,12,-0.7690999999999999,-0.06940000000000013
2024-25,top25_full,Norman Powell,2.34,2.07,0.21,1.33,0.06,-0.1,0.32,1.2,0.2985,1.1709,83,13,-0.9189,-0.029099999999999904
2024-25,top25_full,Paul Reed,1.97,0.95,0.57,1.91,0.01,-0.06,-0.38,1.29,-0.2901,1.1627,288,14,0.23750000000000004,-0.12729999999999997
2024-25,top25_full,Dru Smith,0.92,1.58,2.24,1.88,-0.06,-0.05,0.49,1.3691,0.4043,1.1571,62,15,-0.49629999999999996,-0.21199999999999997
2024-25,top25_full,Grant Williams,0.2,0.21,2.53,3.25,-0.43,-0.39,0.9446,1.2207,0.8571,1.1076,15,16,0.9908999999999999,-0.11309999999999998
2024-25,top25_full,Jalen Johnson,0.19,0.32,3.15,2.58,0.09,0.08,-0.38,1.1136,-0.3617,1.0738,318,17,0.7830999999999999,-0.039799999999999836
2024-25,top25_full,Sandro Mamukelashvili,1.46,1.79,1.91,1.93,-0.31,-0.07,0.73,1.12,0.5723,1.0422,34,18,-0.8019999999999998,-0.07780000000000009
2024-25,top25_full,Payton Pritchard,1.66,1.62,-0.71,-0.46,-0.24,-0.03,0.89,1.01,0.837,0.9881,18,20,-0.6465000000000001,-0.02190000000000003
2024-25,top25_full,Naz Reid,1.17,0.96,-0.6,2.36,-0.21,0.01,0.5,0.99,0.4651,0.9686,51,21,0.013499999999999956,-0.021399999999999975
2024-25,top25_full,Oscar Tshiebwe,0.68,1.86,-0.15,2.43,-0.26,-0.57,0.2754,1.1,0.0699,0.9299,153,22,-1.1035999999999997,-0.17010000000000014
2024-25,top25_full,Seth Curry,0.89,1.25,-1.34,-1.6,-0.11,-0.11,-0.18,0.96,-0.1565,0.9175,230,23,-0.3526,-0.04249999999999998
2024-25,top25_full,Keon Ellis,0.82,1.49,-0.07,1.99,0.07,0.04,0.09,0.94,0.0829,0.9171,148,24,-0.5858000000000001,-0.02289999999999992
2024-25,top25_full,Justin Champagnie,0.15,1.07,0.73,0.71,-0.03,-0.13,0.9184,0.93,0.7304,0.8972,25,25,-0.18109999999999993,-0.03280000000000005
2024-25,largest_rise,Herbert Jones,0.25,0.42,-0.25,5.71,0.03,-0.05,-0.55,2.2956,-0.4794,2.1365,358,1,1.8397,-0.15910000000000002
2024-25,largest_rise,Ausar Thompson,-1.44,0.94,0.65,1.57,-0.1,0.09,-0.81,0.7,-0.5954,0.6755,388,44,-0.27460000000000007,-0.024499999999999966
2024-25,largest_rise,Moussa Diabaté,0.62,0.8,3.55,2.12,-0.36,-0.5,-0.77,0.5,-0.696,0.4804,407,87,-0.3369,-0.019600000000000006
2024-25,largest_rise,Trendon Watford,-0.69,-0.29,-0.89,-0.27,-0.27,-0.27,-1.37,0.26,-1.1053,0.2463,456,147,0.5630999999999999,-0.013700000000000018
2024-25,largest_rise,Jalen Johnson,0.19,0.32,3.15,2.58,0.09,0.08,-0.38,1.1136,-0.3617,1.0738,318,17,0.7830999999999999,-0.039799999999999836
2024-25,largest_rise,Paul Reed,1.97,0.95,0.57,1.91,0.01,-0.06,-0.38,1.29,-0.2901,1.1627,288,14,0.23750000000000004,-0.12729999999999997
2024-25,largest_rise,Brandon Boston Jr.,0.09,0.24,1.04,1.09,0.19,-0.13,-0.51,0.4823,-0.4757,0.4595,356,93,0.2269,-0.022799999999999987
2024-25,largest_rise,Jalen Duren,-0.19,0.68,-2.31,-2.94,-0.31,-0.21,-0.53,0.4,-0.4895,0.3907,362,111,-0.2982,-0.00930000000000003
2024-25,largest_rise,Dwight Powell,0.42,0.07,-0.23,-0.07,-0.23,-0.51,-0.44,0.69,-0.3304,0.6326,307,56,0.6113,-0.057399999999999896
2024-25,largest_rise,Grayson Allen,-0.1,0.16,-0.73,-0.16,-0.11,-0.12,-0.77,0.15,-0.7054,0.1454,409,176,-0.0189,-0.004599999999999993
2024-25,largest_rise,Rudy Gobert,0.48,1.34,1.64,0.45,-0.47,-0.63,-0.32,0.57,-0.3031,0.5583,295,70,-0.7937,-0.011699999999999933
2024-25,largest_rise,Jabari Walker,0.88,1.7,-0.64,2.41,-0.15,-0.33,-0.21,0.93,-0.1737,0.8743,242,27,-0.8748999999999999,-0.05570000000000008
2024-25,largest_rise,Desmond Bane,-0.13,0.64,-1.15,2.45,0.22,0.15,-0.99,0.02,-0.9148,0.0196,440,225,-0.6335,-0.00040000000000000105
2024-25,largest_rise,Neemias Queta,0.03,0.13,0.8,-0.06,-0.51,-0.5,-0.53,0.28,-0.4683,0.2641,354,139,0.14430000000000004,-0.015900000000000025
2024-25,largest_rise,John Collins,0.89,1.28,0.84,3.39,-0.32,-0.28,-0.27,0.63,-0.2537,0.6063,274,61,-0.6988,-0.023700000000000054
2024-25,largest_fall,Nick Smith Jr.,-0.02,-1.44,-0.97,-2.26,-0.01,0.14,0.57,-1.05,0.4009,-1.0141,63,512,0.43710000000000004,0.03590000000000004
2024-25,largest_fall,Larry Nance Jr.,1.93,0.77,-1.67,-2.8,0.15,0.12,1.18,-0.6872,0.9557,-0.6247,8,452,-1.5337,0.0625
2024-25,largest_fall,Adam Flagler,0.83,-3.16,-0.12,-2.09,-0.06,-0.02,0.63,-1.55,0.27,-1.2425,93,530,2.3911999999999995,0.3075000000000001
2024-25,largest_fall,Paolo Banchero,1.29,0,-0.46,-3,-0.2,-0.27,0.3438,-1,0.2705,-0.9689,92,502,-0.9979,0.031100000000000017
2024-25,largest_fall,Malik Monk,0.13,-0.72,0.49,-1.04,0.41,0.27,0.42,-0.64,0.3898,-0.6254,65,453,0.09939999999999993,0.014600000000000057
2024-25,largest_fall,Tyrese Martin,1.3,-0.33,-0.82,-1.72,-0.18,-0.06,1.06,-0.37,0.8283,-0.3565,19,388,-0.027100000000000013,0.013500000000000012
2024-25,largest_fall,Jalen Williams,0.78,0.43,-1.13,-2.06,0.26,0.12,0.51,-0.47,0.4829,-0.4601,49,412,-0.9114,0.009899999999999964
2024-25,largest_fall,Tyus Jones,0.35,0.04,-1.26,-2,0.23,0.28,0.25,-0.68,0.2361,-0.6649,102,462,-0.7213,0.015100000000000002
2024-25,largest_fall,Chris Paul,0.02,-0.64,-0.5,2,0.18,0.23,0.31,-0.6,0.2917,-0.5874,86,445,0.04870000000000008,0.012599999999999945
2024-25,largest_fall,Patty Mills,-0.17,-0.33,2.11,0.81,-0.08,-0.08,0.697,-0.41,0.5221,-0.3585,43,391,-0.03159999999999996,0.05149999999999999
2024-25,largest_fall,Trevelin Queen,1.75,-0.18,0,-0.96,0,0.04,0.7493,-0.37,0.411,-0.3317,59,377,-0.1684,0.0383
2024-25,largest_fall,Liam Robbins,1.16,-1.38,0.03,-0.68,-0.27,-0.72,0.3322,-1.0347,0.0991,-0.5568,138,439,1.5381,0.4779
2024-25,largest_fall,TyTy Washington Jr.,0.99,-1.83,0.13,0.18,-0.09,0.08,0.5458,-0.67,0.1879,-0.4657,115,416,1.9689,0.20430000000000004
2024-25,largest_fall,Garrett Temple,0.18,-0.88,0.07,1.05,0.2,0.09,0.28,-0.64,0.1223,-0.5281,130,431,0.4316000000000001,0.1119
2024-25,largest_fall,Jalen Pickett,-0.47,-0.96,0.04,0.53,0.17,0.24,-0.1377,-0.89,-0.0631,-0.8285,194,489,0.13790000000000002,0.0615
2025-26,top25_full,Jimmy Butler III,2.25,2.1,2.59,3.78,0.46,0.48,1.8,2.4051,1.6892,2.3099,4,1,0.22009999999999996,-0.09520000000000017
2025-26,top25_full,Lauri Markkanen,2.35,2.22,2.16,2.72,0.24,0.03,1.24,1.9747,1.1751,1.9137,9,2,-0.3195000000000001,-0.06099999999999994
2025-26,top25_full,E.J. Liddell,3.07,0.82,0.97,0.44,0.16,-0.01,1.926,2.07,0.7552,1.8133,30,3,1.1389999999999998,-0.25669999999999993
2025-26,top25_full,Zach Edey,1.19,1.19,4.71,4.16,-0.16,-0.1,0.68,2.0374,0.5816,1.7426,50,4,0.6466999999999998,-0.29479999999999995
2025-26,top25_full,Matisse Thybulle,4.7,2.38,1.16,1.12,0.47,0.12,2.7864,1.76,1.4843,1.6035,6,5,-0.8554999999999999,-0.15650000000000008
2025-26,top25_full,Shai Gilgeous-Alexander,3.49,3.18,4.22,5.01,0.79,0.29,2.43,1.55,2.2945,1.5171,1,6,-1.7032999999999998,-0.03290000000000015
