playerId,foldId,asOfDate,mode
p0,0,2024-01-15,ridge_oof
p1,0,2024-02-15,ridge_oof
p11,0,2024-03-15,ridge_oof
p12,0,2024-04-15,ridge_oof
p13,0,2024-05-15,ridge_oof
p23,0,2024-06-15,ridge_oof
p33,0,2024-07-15,ridge_oof
p7,0,2024-08-15,ridge_oof
p18,1,2024-01-15,ridge_oof
p10,1,2024-02-15,ridge_oof
p2,1,2024-03-15,ridge_oof
p21,1,2024-04-15,ridge_oof
p22,1,2024-05-15,ridge_oof
p32,1,2024-06-15,ridge_oof
p6,1,2024-07-15,ridge_oof
p17,1,2024-09-15,ridge_oof
p27,2,2024-01-15,ridge_oof
p19,2,2024-02-15,ridge_oof
p20,2,2024-03-15,ridge_oof
p3,2,2024-04-15,ridge_oof
p31,2,2024-05-15,ridge_oof
p5,2,2024-06-15,ridge_oof
p16,2,2024-08-15,ridge_oof
p26,2,2024-09-15,ridge_oof
p36,3,2024-01-15,ridge_oof
p28,3,2024-02-15,ridge_oof
p29,3,2024-03-15,ridge_oof
p30,3,2024-04-15,ridge_oof
p4,3,2024-05-15,ridge_oof
p15,3,2024-07-15,ridge_oof
p25,3,2024-08-15,ridge_oof
p35,3,2024-09-15,ridge_oof
p9,4,2024-01-15,ridge_oof
p37,4,2024-02-15,ridge_oof
p38,4,2024-03-15,ridge_oof
p39,4,2024-04-15,ridge_oof
p14,4,2024-06-15,ridge_oof
p24,4,2024-07-15,ridge_oof
p34,4,2024-08-15,ridge_oof
p8,4,2024-09-15,ridge_oof
