playerId,storedFusedRateRaw,reconstructedFusedRateRaw,residual,trace_fold
p0,0.1,0.1,0,0
p1,1.22,1.22,0,0
p2,1.31,1.31,0,1
p3,0.28,0.28,0,2
p4,-0.88,-0.88,0,3
p5,-1.18,-1.18,0,2
p6,-0.26,-0.26,0,1
p7,0.97,0.97,0,0
p8,1.4,1.4,0,4
p9,0.63,0.63,0,4
p10,-0.62,-0.62,0,1
p11,-1.23,-1.23,0,0
p12,-0.62,-0.62,0,0
p13,0.66,0.66,0,0
p14,1.4,1.4,0,4
p15,0.99,0.99,0,3
p16,-0.28,-0.28,0,2
p17,-1.18,-1.18,0,1
p18,-0.89,-0.89,0,1
p19,0.3,0.3,0,2
p20,1.32,1.32,0,2
p21,1.22,1.22,0,1
p22,0.09,0.09,0,1
p23,-1.02,-1.02,0,0
p24,-1.1,-1.1,0,4
p25,-0.06,-0.06,0,3
p26,1.12,1.12,0,2
p27,1.37,1.37,0,2
p28,0.49,0.49,0,3
p29,-0.76,-0.76,0,3
p30,-1.19,-1.19,0,3
p31,-0.44,-0.44,0,2
p32,0.85,0.85,0,1
p33,1.43,1.43,0,0
p34,0.78,0.78,0,4
p35,-0.45,-0.45,0,3
p36,-1.19,-1.19,0,3
p37,-0.75,-0.75,0,4
p38,0.49,0.49,0,4
p39,1.37,1.37,0,4
