playerId,player,inSiteArtifact,inM16a,drblSite,drblM16a,warSite,warM16a,positionShown,positionSource
1628983,Shai Gilgeous-Alexander,true,true,1.52,1.52,10.01,10.01,,artifact_or_null
202695,Kawhi Leonard,true,true,1.22,1.22,8.16,8.16,,artifact_or_null
1631105,Jalen Duren,true,true,1.2,1.2,6.64,6.64,,artifact_or_null
1630178,Tyrese Maxey,true,true,0.77,0.77,5.55,5.55,,artifact_or_null
1641705,Victor Wembanyama,true,true,0.55,0.55,5.45,5.45,,artifact_or_null
201142,Kevin Durant,true,true,0.56,0.56,5.32,5.32,,artifact_or_null
1628378,Donovan Mitchell,true,true,0.79,0.79,5.29,5.29,,artifact_or_null
203999,Nikola Jokić,true,true,0.75,0.75,5.18,5.18,,artifact_or_null
1630162,Anthony Edwards,true,true,0.94,0.94,4.91,4.91,,artifact_or_null
1628374,Lauri Markkanen,true,true,1.91,1.91,4.79,4.79,,artifact_or_null
1642851,Kon Knueppel,true,true,0.67,0.67,4.68,4.68,,artifact_or_null
1630217,Desmond Bane,true,true,0.34,0.34,4.29,4.29,,artifact_or_null
1626181,Norman Powell,true,true,0.73,0.73,4.16,4.16,,artifact_or_null
1629029,Luka Dončić,true,true,0.41,0.41,4.04,4.04,,artifact_or_null
1629627,Zion Williamson,true,true,0.68,0.68,4.02,4.02,,artifact_or_null
1630530,Trey Murphy III,true,true,0.58,0.58,3.95,3.95,,artifact_or_null
1631096,Chet Holmgren,true,true,0.36,0.36,3.8,3.8,,artifact_or_null
1630245,Ayo Dosunmu,true,true,0.41,0.41,3.79,3.79,,artifact_or_null
1629638,Nickeil Alexander-Walker,true,true,-0.06,-0.06,3.63,3.63,,artifact_or_null
1630198,Isaiah Joe,true,true,0.42,0.42,3.62,3.62,,artifact_or_null
203507,Giannis Antetokounmpo,true,true,1.17,1.17,3.61,3.61,,artifact_or_null
1629674,Neemias Queta,true,true,0.5,0.5,3.58,3.58,,artifact_or_null
202710,Jimmy Butler III,true,true,2.31,2.31,3.53,3.53,,artifact_or_null
1629750,Javonte Green,true,true,0.28,0.28,3.36,3.36,,artifact_or_null
1628384,OG Anunoby,true,true,0.16,0.16,3.35,3.35,,artifact_or_null
1629640,Keldon Johnson,true,true,0.94,0.94,3.32,3.32,,artifact_or_null
1630572,Sandro Mamukelashvili,true,true,0.5,0.5,3.17,3.17,,artifact_or_null
201939,Stephen Curry,true,true,0.72,0.72,3,3,,artifact_or_null
1629008,Michael Porter Jr.,true,true,0.68,0.68,2.98,2.98,,artifact_or_null
1630541,Moses Moody,true,true,0.33,0.33,2.96,2.96,,artifact_or_null
1627750,Jamal Murray,true,true,0.23,0.23,2.92,2.92,,artifact_or_null
203501,Tim Hardaway Jr.,true,true,0.36,0.36,2.88,2.88,,artifact_or_null
1630200,Tre Jones,true,true,0.31,0.31,2.79,2.79,,artifact_or_null
1631109,Mark Williams,true,true,0.71,0.71,2.72,2.72,,artifact_or_null
1630241,Sam Merrill,true,true,1.05,1.05,2.62,2.62,,artifact_or_null
1630577,Julian Champagnie,true,true,0.06,0.06,2.59,2.59,,artifact_or_null
1628379,Luke Kennard,true,true,0.77,0.77,2.58,2.58,,artifact_or_null
1630202,Payton Pritchard,true,true,0.36,0.36,2.52,2.52,,artifact_or_null
1630180,Saddiq Bey,true,true,0.24,0.24,2.52,2.52,,artifact_or_null
1628386,Jarrett Allen,true,true,0.32,0.32,2.51,2.51,,artifact_or_null
1629057,Robert Williams III,true,true,0.77,0.77,2.48,2.48,,artifact_or_null
1628969,Mikal Bridges,true,true,0.27,0.27,2.48,2.48,,artifact_or_null
1642266,Ja'Kobe Walter,true,true,0.15,0.15,2.42,2.42,,artifact_or_null
1628973,Jalen Brunson,true,true,0.43,0.43,2.42,2.42,,artifact_or_null
1642276,Kel'el Ware,true,true,0.25,0.25,2.4,2.4,,artifact_or_null
1642263,Reed Sheppard,true,true,0.39,0.39,2.38,2.38,,artifact_or_null
1629130,Duncan Robinson,true,true,0.4,0.4,2.37,2.37,,artifact_or_null
1629655,Daniel Gafford,true,true,0.49,0.49,2.33,2.33,,artifact_or_null
1629637,Jaxson Hayes,true,true,0.56,0.56,2.33,2.33,,artifact_or_null
1641717,Cason Wallace,true,true,0.2,0.2,2.26,2.26,,artifact_or_null
1630573,Sam Hauser,true,true,0.18,0.18,2.24,2.24,,artifact_or_null
1641750,Ryan Kalkbrenner,true,true,0.52,0.52,2.22,2.22,,artifact_or_null
1630230,Naji Marshall,true,true,0.52,0.52,2.2,2.2,,artifact_or_null
1641783,Tristan da Silva,true,true,0.3,0.3,2.19,2.19,,artifact_or_null
202699,Tobias Harris,true,true,0.15,0.15,2.19,2.19,,artifact_or_null
203924,Jerami Grant,true,true,0.41,0.41,2.14,2.14,,artifact_or_null
1630540,Miles McBride,true,true,0.61,0.61,2.13,2.13,,artifact_or_null
1630533,Ziaire Williams,true,true,0.13,0.13,2.12,2.12,,artifact_or_null
1630249,Vít Krejčí,true,true,0.49,0.49,2.07,2.07,,artifact_or_null
1629012,Collin Sexton,true,true,-0.02,-0.02,2.06,2.06,,artifact_or_null
1630551,Justin Champagnie,true,true,0.12,0.12,2.02,2.02,,artifact_or_null
203497,Rudy Gobert,true,true,0.32,0.32,1.98,1.98,,artifact_or_null
1629011,Mitchell Robinson,true,true,0.14,0.14,1.98,1.98,,artifact_or_null
1630194,Paul Reed,true,true,0.65,0.65,1.91,1.91,,artifact_or_null
1628963,Marvin Bagley III,true,true,0.46,0.46,1.91,1.91,,artifact_or_null
1641706,Brandon Miller,true,true,0.03,0.03,1.89,1.89,,artifact_or_null
1630568,Luka Garza,true,true,0.78,0.78,1.85,1.85,,artifact_or_null
1628381,John Collins,true,true,0.39,0.39,1.84,1.84,,artifact_or_null
1629680,Matisse Thybulle,true,true,1.6,1.6,1.79,1.79,,artifact_or_null
1628991,Jaren Jackson Jr.,true,true,0.18,0.18,1.78,1.78,,artifact_or_null
1627780,Gary Payton II,true,true,0.04,0.04,1.78,1.78,,artifact_or_null
1641708,Amen Thompson,true,true,-0.26,-0.26,1.75,1.75,,artifact_or_null
