candidate,fold,wP,wLN,wB,intercept,wHasB,simplex_wP,simplex_wLN,simplex_wB,boundaryHit,nTrain,nTest
M16C_P,0,0.5745246596154637,0,0,-0.32223494222791743,0,1,0,0,true,347,87
M16C_P,1,0.5889734934510943,0,0,-0.09562897917676866,0,1,0,0,true,347,87
M16C_P,2,0.46400535016416183,0,0,-0.2027463150171804,0,1,0,0,true,347,87
M16C_P,3,0.5593644962862173,0,0,-0.2949048766142489,0,1,0,0,true,347,87
M16C_P,4,0.5040786234711415,0,0,-0.2648990386066526,0,1,0,0,true,348,86
M16C_P,FINAL_TRAIN_FIT,0.5406537931213,0,0,-0.23644198315849208,0,1,0,0,true,434,0
M16C_LN,0,0,0.11774112400526385,0,-0.3674617300554507,0,0,1,0,true,347,87
M16C_LN,1,0,0.13104786544250388,0,-0.15193598430754096,0,0,1,0,true,347,87
M16C_LN,2,0,0.08117598555415796,0,-0.2297538575519031,0,0,1,0,true,347,87
M16C_LN,3,0,0.15752763008316426,0,-0.31915367291729146,0,0,1,0,true,347,87
M16C_LN,4,0,0.12745357536196852,0,-0.31601650815320537,0,0,1,0,true,348,86
M16C_LN,FINAL_TRAIN_FIT,0,0.1236801019761003,0,-0.2772410844595903,0,0,1,0,true,434,0
M16C_B,0,0,0,0.3864561589379217,-0.3131438676179757,0,0,0,1,true,347,87
M16C_B,1,0,0,0.5873698902160495,-0.05621354774700764,8.881784197001252e-16,0,0,1,true,347,87
M16C_B,2,0,0,0.21128557873048268,-0.19385186859083714,0,0,0,1,true,347,87
M16C_B,3,0,0,0.24377537976775154,-0.2856708067439577,0,0,0,1,true,347,87
M16C_B,4,0,0,0.39240315691797983,-0.24574052731818175,0,0,0,1,true,348,86
M16C_B,FINAL_TRAIN_FIT,0,0,0.40650017833925883,-0.21303661020267367,1.7763568394002505e-15,0,0,1,true,434,0
M16C_P_LN,0,0.5860929989574151,-0.021469506966752462,0,-0.32259569247293884,0,1,0,0,true,347,87
M16C_P_LN,1,0.6167402442800487,-0.04520146829028342,0,-0.09186557739572197,0,1,0,0,true,347,87
M16C_P_LN,2,0.48151281881668,-0.032180108603397324,0,-0.20011702955260519,0,1,0,0,true,347,87
M16C_P_LN,3,0.5517649710534457,0.01222844469659262,0,-0.2951241346721736,0,0.9783181073482387,0.021681892651761497,0,true,347,87
M16C_P_LN,4,0.4935822687540876,0.01992227672710886,0,-0.26753149386053826,0,0.9612033098783185,0.03879669012168145,0,true,348,86
M16C_P_LN,FINAL_TRAIN_FIT,0.5474375865893384,-0.011883371623836814,0,-0.23572914405436737,0,1,0,0,true,434,0
M16C_P_B,0,0.5743875130413223,0,0.006844951133432468,-0.321146696766662,0,0.988223384694881,0,0.011776615305119037,true,347,87
M16C_P_B,1,0.5846225661892125,0,0.19106505108323465,-0.06609124488339602,1.1478029931796085e-15,0.753682994508695,0,0.246317005491305,true,347,87
M16C_P_B,2,0.46525907667457206,0,-0.062382587100224644,-0.21196016203177775,0,1,0,0,true,347,87
M16C_P_B,3,0.5592654138261047,0,0.0067877501756542415,-0.2939292629460368,0,0.9880086348644928,0,0.011991365135507217,true,347,87
M16C_P_B,4,0.5016344655965741,0,0.14737684291478848,-0.24304354167513478,0,0.7729209938532091,0,0.22707900614679086,true,348,86
M16C_P_B,FINAL_TRAIN_FIT,0.5394225769704747,0,0.06472910058956241,-0.22668880349229364,1.7763568394002505e-15,0.892859520226806,0,0.10714047977319406,true,434,0
M16C_LN_B,0,0,0.1146342867006273,0.29660695946573606,-0.3199635558017168,-5.0907849802607117e-17,0,0.27875191938858485,0.7212480806114151,true,347,87
M16C_LN_B,1,0,0.12523799574659397,0.4929132306205932,-0.07456676413627121,8.881784197001252e-16,0,0.2026009015344111,0.7973990984655889,true,347,87
M16C_LN_B,2,0,0.07971654490454455,0.16301284247887118,-0.20543731804311047,0,0,0.3284173612592865,0.6715826387407134,true,347,87
M16C_LN_B,3,0,0.1564953487417368,0.18344488812116655,-0.29267381413496396,0,0,0.46036135700185093,0.5396386429981491,true,347,87
M16C_LN_B,4,0,0.12490576295023659,0.32201006901852364,-0.26761318900000114,0,0,0.27948386254297564,0.7205161374570244,true,348,86
M16C_LN_B,FINAL_TRAIN_FIT,0,0.12077425016118683,0.32308959432681766,-0.2280660226554416,1.7763568394002505e-15,0,0.272097517427894,0.727902482572106,true,434,0
M16C_P_LN_B,0,0.5858256877479765,-0.021575663818403527,0.016196279351199137,-0.320022508602464,9.581519497105407e-18,0.9730968631772019,0,0.02690313682279803,true,347,87
M16C_P_LN_B,1,0.6128401276937752,-0.046527112826716635,0.20702843948682062,-0.05974960929948343,1.1603341077720652e-15,0.7474858193444833,0,0.25251418065551673,true,347,87
M16C_P_LN_B,2,0.48244113258413734,-0.03192272790007226,-0.053158213891498454,-0.2079894750468854,0,1,0,0,true,347,87
M16C_P_LN_B,3,0.5516948151405784,0.012217174196199334,0.005285936157116916,-0.2943641769376481,0,0.9692495183672203,0.02146384174819059,0.009286639884588992,false,347,87
M16C_P_LN_B,4,0.491598504197944,0.019235365914225814,0.1414385004472384,-0.2464658675887348,0,0.7536705928174368,0.02948977571705052,0.2168396314655127,false,348,86
M16C_P_LN_B,FINAL_TRAIN_FIT,0.5463248823581951,-0.012226613258115962,0.06879998292602353,-0.2253419867077136,1.7763568394002505e-15,0.8881528177303734,0,0.11184718226962664,true,434,0
