candidate,coefficient,mean,sd,min,max,zeroFrequency,cv,boundaryHitFrequency
M16C_P,wP,0.5381893245976157,0.04693501521704796,0.46400535016416183,0.5889734934510943,0,0.08720911595959199,1
M16C_P,wLN,0,0,0,0,1,NaN,1
M16C_P,wB,0,0,0,0,1,NaN,1
M16C_P,intercept,-0.2360828303285536,0.08068605942783047,-0.32223494222791743,-0.09562897917676866,0,0.34177012921922645,1
M16C_LN,wP,0,0,0,0,1,NaN,1
M16C_LN,wLN,0.1229892360894117,0.024713005048477493,0.08117598555415796,0.15752763008316426,0,0.2009363244642924,1
M16C_LN,wB,0,0,0,0,1,NaN,1
M16C_LN,intercept,-0.2768643505970783,0.07662331061375421,-0.3674617300554507,-0.15193598430754096,0,0.2767539787932625,1
M16C_B,wP,0,0,0,0,1,NaN,1
M16C_B,wLN,0,0,0,0,1,NaN,1
M16C_B,wB,0.364258032914037,0.13340198433384035,0.21128557873048268,0.5873698902160495,0,0.3662293546874847,1
M16C_B,intercept,-0.21892412360359198,0.09072480239445675,-0.3131438676179757,-0.05621354774700764,0,0.41441208442945754,1
M16C_P_LN,wP,0.5459386603723354,0.052059700134819725,0.48151281881668,0.6167402442800487,0,0.09535814902596293,1
M16C_P_LN,wLN,-0.013340072487346344,0.025283655410443435,-0.04520146829028342,0.01992227672710886,0,1.8953161937033036,1
M16C_P_LN,wB,0,0,0,0,1,NaN,1
M16C_P_LN,intercept,-0.23544678559079557,0.08252212003743328,-0.32259569247293884,-0.09186557739572197,0,0.35049159762518906,1
M16C_P_B,wP,0.5370338070655573,0.04595423589473573,0.46525907667457206,0.5846225661892125,0,0.08557047115122488,1
M16C_P_B,wLN,0,0,0,0,1,NaN,1
M16C_P_B,wB,0.05793840164137705,0.09531632570652834,-0.062382587100224644,0.19106505108323465,0,1.6451321231902543,1
M16C_P_B,intercept,-0.22723418166060147,0.08912695661144289,-0.321146696766662,-0.06609124488339602,0,0.3922251307444737,1
M16C_LN_B,wP,0,0,0,0,1,NaN,1
M16C_LN_B,wLN,0.12019798780874784,0.024636417057367806,0.07971654490454455,0.1564953487417368,0,0.20496530355040438,1
M16C_LN_B,wB,0.29159759794097817,0.11807543693735813,0.16301284247887118,0.4929132306205932,0,0.40492595882513954,1
M16C_LN_B,intercept,-0.23205092822321274,0.08738190311564911,-0.3199635558017168,-0.07456676413627121,0,0.3765634715823905,1
M16C_P_LN_B,wP,0.5448800534728823,0.05114508767374471,0.48244113258413734,0.6128401276937752,0,0.09386485584811395,0.6
M16C_P_LN_B,wLN,-0.013714592886953453,0.025409251900427553,-0.046527112826716635,0.019235365914225814,0,1.8527164539166967,0.6
M16C_P_LN_B,wB,0.06335818831017533,0.09582314994341076,-0.053158213891498454,0.20702843948682062,0,1.5124035661231425,0.6
M16C_P_LN_B,intercept,-0.22571832749504311,0.09153788206921004,-0.320022508602464,-0.05974960929948343,0,0.405540316929826,0.6
