side,focalId,credit,actualV,meanRep,identityResidual,support
off,1630595,0.06175740849014688,1.4760563915177385,1.4142989830275916,0,WEAK_SUPPORT
off,1631105,0.08706638319890381,1.4760563915177385,1.3889900083188347,0,WEAK_SUPPORT
off,202699,0.13483913058071129,1.4760563915177385,1.3412172609370272,0,WEAK_SUPPORT
off,203501,-0.018365484014262412,1.4760563915177385,1.494421875532001,0,WEAK_SUPPORT
def,1626167,-0.07439651653346546,1.4760563915177385,1.401659874984273,0,WEAK_SUPPORT
def,1627783,0.0923617598069908,1.4760563915177385,1.5684181513247293,0,WEAK_SUPPORT
def,1630169,-0.1480666278818441,1.4760563915177385,1.3279897636358944,0,WEAK_SUPPORT
off,1626167,0.021676901038493623,1.2255347388059372,1.2038578377674436,0,WEAK_SUPPORT
off,1627783,0.037270941218915166,1.2255347388059372,1.188263797587022,0,WEAK_SUPPORT
off,1630169,0.006768709416330454,1.2255347388059372,1.2187660293896068,0,WEAK_SUPPORT
def,1630595,0.056573045856193716,1.2255347388059372,1.282107784662131,0,WEAK_SUPPORT
def,1631105,-0.03428585480999935,1.2255347388059372,1.1912488839959379,0,WEAK_SUPPORT
def,202699,0.09966962357077436,1.2255347388059372,1.3252043623767116,0,WEAK_SUPPORT
def,203501,-0.030285983754279933,1.2255347388059372,1.1952487550516573,0,WEAK_SUPPORT
off,1630595,0.017695601615492995,1.4102150858131557,1.3925194841976627,0,WEAK_SUPPORT
off,1631105,0.07782886987586646,1.4102150858131557,1.3323862159372892,0,WEAK_SUPPORT
off,202699,0.09759865160600723,1.4102150858131557,1.3126164342071485,0,WEAK_SUPPORT
off,203501,-0.060591496822397284,1.4102150858131557,1.470806582635553,0,WEAK_SUPPORT
def,1626167,-0.06998038072693635,1.4102150858131557,1.3402347050862193,0,WEAK_SUPPORT
def,1627783,0.0945468565391796,1.4102150858131557,1.5047619423523353,0,WEAK_SUPPORT
def,1630169,-0.140421219384816,1.4102150858131557,1.2697938664283397,0,WEAK_SUPPORT
off,1630595,0.03706382679639786,1.373232768649888,1.33616894185349,0,WEAK_SUPPORT
off,1631105,0.0738209269170631,1.373232768649888,1.2994118417328249,0,WEAK_SUPPORT
off,202699,0.10318618116969991,1.373232768649888,1.270046587480188,0,WEAK_SUPPORT
off,203501,-0.055465540731258534,1.373232768649888,1.4286983093811465,0,WEAK_SUPPORT
def,1626167,-0.05718878565947372,1.373232768649888,1.3160439829904143,0,WEAK_SUPPORT
def,1627783,0.10532885647679313,1.373232768649888,1.478561625126681,0,WEAK_SUPPORT
def,1630169,-0.14898810686317066,1.373232768649888,1.2242446617867173,0,WEAK_SUPPORT
off,1630595,0.04661072419090995,1.3322059240060815,1.2855951998151716,0,WEAK_SUPPORT
