decile,meanPredictedEPV,meanActualPoints,N,residual
1,0.7959628063557476,0.9867715409367179,2797,0.19080873458097036
2,0.9546112356754917,1.0679056468906363,2798,0.11329441121514461
3,1.0195347192193132,1.0700500357398142,2798,0.05051531652050101
4,1.067238874403466,1.1040028591851323,2798,0.036763984781666315
5,1.1076417140027095,1.1325947105075054,2798,0.024952996504795877
6,1.1487632189034258,1.1347872720772256,2797,-0.01397594682620018
7,1.1932049483210423,1.1976411722659042,2798,0.004436223944861872
8,1.2469480413186844,1.2080057183702644,2798,-0.03894232294842004
9,1.3242411505484144,1.2412437455325231,2798,-0.08299740501589126
10,1.4782055158842649,1.3238027162258756,2798,-0.1544027996583892
