group,n,meanPossessions,meanTarget,coefShare,meanDist
common,106,2380.9811320754716,0.5740608092708439,1,0.20534616999244037
A_excluded,313,1192.3099041533546,-0.28619184421025157,0.10543130990415335,NaN
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
team,,,,,
