k,quartile,n,RMSE,MAE,Pearson,bias,calibrationIntercept,calibrationSlope,rawRMSE
0,1,497,4.779293794049987,3.2758901312578463,0.002409014816106406,-0.03846689210566284,-0.5758596305702663,0.003401586585243617,4.779293794049987
0,2,495,2.771147726428733,2.011900774175222,0.2508723916277845,0.19434831617472584,-0.21678772039331773,0.4620046842646756,2.771147726428733
0,3,495,2.037781869491961,1.5870732550678193,0.27694699453727384,0.014218250202382581,0.010055051282588545,0.4079945094792149,2.037781869491961
0,4,495,1.7353297384179311,1.3306882540023868,0.40668226265491436,0.049966207885670834,0.04260285265328938,0.6399325077693342,1.7353297384179311
25,1,497,4.524636090143928,3.110388526385111,-0.00018478692134061897,0.04499579069251195,-0.5781247345578313,-0.0003157580601238199,4.779293794049987
25,2,495,2.760113534652541,2.0007252456010467,0.2508393226303128,0.19556766994430974,-0.21684018438214436,0.4746222177828609,2.771147726428733
25,3,495,2.0309683720407974,1.5821756433203975,0.2770365580167299,0.014079068301846765,0.009883353076224045,0.413586015030379,2.037781869491961
25,4,495,1.7332419356071394,1.3292493497571443,0.4067354515103582,0.04848359967630636,0.04237207681772153,0.644547217356862,1.7353297384179311
50,1,497,4.385563140457114,3.0114319498101456,-0.0009391914580496761,0.10347384767071684,-0.578830588532204,-0.0018423027464857522,4.779293794049987
50,2,495,2.750186277284131,1.9908042698394002,0.2507991800336902,0.19672113341039174,-0.21689382521847492,0.4871759238118146,2.771147726428733
50,3,495,2.024470977199414,1.5775454784366107,0.2771209250216979,0.013932753375506238,0.009716670620451043,0.4191659951350937,2.037781869491961
50,4,495,1.7312242802217837,1.3278339673313773,0.4067869599525579,0.04701850897207476,0.04214518543723032,0.6491557392625452,1.7353297384179311
100,1,497,4.235032552144256,2.894508170172761,-0.00032935654533890635,0.18316824622825803,-0.5782682012456444,-0.0007896723096554331,4.779293794049987
100,2,495,2.7331615009699735,1.9745036020999722,0.2507025823352272,0.1988499822165455,-0.2170031166935299,0.5121125426277565,2.771147726428733
100,3,495,2.0123567626667738,1.5689609371316853,0.2772753243077222,0.01362155867743861,0.0093975144451218,0.43029325664434587,2.037781869491961
100,4,495,1.7273901561687606,1.3252379133923105,0.40688515210768506,0.04413962624908157,0.041702679447595065,0.6583547181731658,1.7353297384179311
200,1,497,4.103962683385509,2.7821468614622584,0.0027616895163760933,0.27609311369560974,-0.5753397465778965,0.008668496832444727,4.779293794049987
200,2,495,2.707821683909645,1.951615598620953,0.25046856724768823,0.2025084084505825,-0.2172224570986076,0.5614188010015055,2.771147726428733
200,3,495,1.9912347847515584,1.5540224184982503,0.2775343860628128,0.012941555030985416,0.008810779653803901,0.4524287645608245,2.037781869491961
200,4,495,1.7204666730121105,1.3204818861699064,0.4070636407833187,0.03857869178719179,0.040860301993810154,0.6766837150948658,1.7353297384179311
400,1,497,4.012849684890294,2.687813356746951,0.007904813245770392,0.36812398304235366,-0.5706051054963185,0.03503434247906098,4.779293794049987
400,2,495,2.678820042273517,1.9290505557068607,0.24994601880236267,0.20807688859736043,-0.21763492040116433,0.6584065159605349,2.771147726428733
400,3,495,1.958778762629655,1.5308710098370464,0.2779006868769676,0.011448333554435983,0.007809022925087363,0.4963013685714167,2.037781869491961
400,4,495,1.7091815925260807,1.3127652572302995,0.4073588002853183,0.028182877652709087,0.03932847251867935,0.71308972723083,1.7353297384179311
800,1,497,3.9640265786602,2.635070833719709,0.01325958519861249,0.44545650426828315,-0.5659923439676549,0.09029516266856166,4.779293794049987
800,2,495,2.6592683419039957,1.9103538854177526,0.24898307227924263,0.21513643437231253,-0.21830279657007098,0.84865275309039,2.771147726428733
800,3,495,1.919181434165025,1.4993225952790066,0.2782632956939259,0.008360593989023687,0.006298376178041192,0.5828903195864812,2.037781869491961
800,4,495,1.6942982670392972,1.3044066749984717,0.4077619017929391,0.009881149874499874,0.03676328145998464,0.7850516977446035,1.7353297384179311
