k,group,min,p10,p25,median,p75,p90,max
0,all,1,1,1,1,1,1,1
0,Q1,1,1,1,1,1,1,1
0,Q2,1,1,1,1,1,1,1
0,Q3,1,1,1,1,1,1,1
0,Q4,1,1,1,1,1,1,1
25,all,0.6710526315789473,0.9007936507936508,0.9618320610687023,0.9816849816849816,0.9903362968689602,0.993528345845198,0.9963164874023869
25,Q1,0.6710526315789473,0.7663551401869159,0.8538011695906432,0.9233128834355828,0.951171875,0.9587458745874587,0.9618320610687023
25,Q2,0.9619482496194824,0.9654696132596685,0.9695493300852619,0.975,0.978595890410959,0.980453479280688,0.9816849816849816
25,Q3,0.9817117776152158,0.9830508474576272,0.9850209706411025,0.9874686716791979,0.9890061565523307,0.9897708674304418,0.9903362968689602
25,Q4,0.990340030911901,0.9910394265232975,0.9919432806961005,0.9930536260072242,0.9942236598890942,0.995069033530572,0.9963164874023869
50,all,0.504950495049505,0.8194945848375451,0.9264705882352942,0.9640287769784173,0.9808575803981623,0.9871399176954733,0.9926600117439812
50,Q1,0.504950495049505,0.6212121212121212,0.7448979591836735,0.8575498575498576,0.9068901303538175,0.9207606973058637,0.9264705882352942
50,Q2,0.9266862170087976,0.9332443257676902,0.9408983451536643,0.9512195121951219,0.9580888516345348,0.9616564417177914,0.9640287769784173
50,Q3,0.9640804597701149,0.9666666666666667,0.9704840613931524,0.9752475247524752,0.9782514136581122,0.9797488861887403,0.9808575803981623
50,Q4,0.9808649062380406,0.9822380106571936,0.9840153452685422,0.9862030905077263,0.9885136687342063,0.9901864573110893,0.9926600117439812
100,all,0.33774834437086093,0.6941896024464832,0.863013698630137,0.9305555555555556,0.9624342599549212,0.9746063991874048,0.985426989215972
100,Q1,0.33774834437086093,0.45054945054945056,0.5934959349593496,0.7506234413965087,0.8296422487223168,0.8531571218795888,0.863013698630137
100,Q2,0.8633879781420765,0.8748435544430538,0.8883928571428571,0.9069767441860465,0.919549477071601,0.9261447562776958,0.9305555555555556
100,Q3,0.9306518723994452,0.9354838709677419,0.9426605504587156,0.9516908212560387,0.957428693060877,0.9603017070265979,0.9624342599549212
100,Q4,0.9624483665039429,0.9650959860383944,0.9685336689741976,0.9727817093086554,0.9772882125823302,0.9805636540330418,0.985426989215972
200,all,0.20318725099601595,0.531615925058548,0.7590361445783133,0.8701298701298701,0.9275887038377987,0.9504705299653293,0.9712726228095375
200,Q1,0.20318725099601595,0.2907801418439716,0.42196531791907516,0.6007984031936128,0.7088791848617176,0.7439180537772087,0.7590361445783133
200,Q2,0.7596153846153846,0.7775305895439377,0.7991967871485943,0.8297872340425532,0.8510796723752793,0.8624484181568088,0.8701298701298701
200,Q3,0.8702983138780804,0.8787878787878788,0.8915401301518439,0.9078341013824884,0.9183340138832177,0.923634975181367,0.9275887038377987
200,Q4,0.9276149113282663,0.9325463743676222,0.938987187309335,0.9470058293587705,0.9555851654452587,0.9618684461391802,0.9712726228095375
400,all,0.1130820399113082,0.3620414673046252,0.6116504854368932,0.7701149425287356,0.8649561107359892,0.9056158565361019,0.9441496788606535
400,Q1,0.1130820399113082,0.17012448132780084,0.2673992673992674,0.42938659058487877,0.5490417136414881,0.5922528032619776,0.6116504854368932
400,Q2,0.6124031007751938,0.6360327570518653,0.6655518394648829,0.7090909090909091,0.7407647440051847,0.7581620314389359,0.7701149425287356
400,Q3,0.7703788748564868,0.7837837837837838,0.8043052837573386,0.8312236286919831,0.8489996224990563,0.8581057112451224,0.8649561107359892
400,Q4,0.8650016874789065,0.8736176935229067,0.8849913743530765,0.8993457473578259,0.9149479055921752,0.9265381083562901,0.9441496788606535
800,all,0.05992949471210341,0.22103213242453748,0.4405594405594406,0.6261682242990654,0.7620464009518144,0.827511858559724,0.8942078815128273
800,Q1,0.05992949471210341,0.09297052154195011,0.1543340380549683,0.27338782924613986,0.37839937839937837,0.4207096307023896,0.4405594405594406
800,Q2,0.441340782122905,0.46631087391594395,0.49874686716791977,0.5492957746478874,0.5882655687081833,0.6105160662122687,0.6261682242990654
800,Q3,0.6265172735760971,0.6444444444444445,0.6726677577741408,0.7111913357400722,0.7376188914398163,0.751475613544579,0.7620464009518144
800,Q4,0.7621171573000297,0.7755960729312763,0.7937080969571945,0.8171010516689529,0.8432294728591024,0.863130881094953,0.8942078815128273
