k,bin,n,meanRaw,meanPosterior,meanTarget,futureResidualBias
0,strong_negative,397,-2.5634125944584407,-2.5634125944584407,-0.8265652826767128,-1.7368473117817274
0,moderate_negative,396,-0.8321638888888881,-0.8321638888888881,-0.4645988538184987,-0.36756503507039046
0,near_zero,396,-0.0060441919191919135,-0.0060441919191919135,-0.26593915780891875,0.25989496588972666
0,moderate_positive,396,0.7713010101010094,0.7713010101010094,0.38007459719089437,0.3912264129101158
0,strong_positive,397,2.1781259445843837,2.1781259445843837,0.44992506663969006,1.728200877944693
25,strong_negative,397,-2.5634125944584407,-2.3318095264270147,-0.8265652826767128,-1.505244243750302
25,moderate_negative,396,-0.8321638888888881,-0.8044385343820272,-0.4645988538184987,-0.3398396805635294
25,near_zero,396,-0.0060441919191919135,-0.005706355034418964,-0.26593915780891875,0.2602328027744996
25,moderate_positive,396,0.7713010101010094,0.7496474994295882,0.38007459719089437,0.3695729022386942
25,strong_positive,397,2.1781259445843837,2.044113591406945,0.44992506663969006,1.594188524767255
50,strong_negative,397,-2.5634125944584407,-2.168416804073409,-0.8265652826767128,-1.3418515213966942
50,moderate_negative,396,-0.8321638888888881,-0.7810813236512238,-0.4645988538184987,-0.3164824698327257
50,near_zero,396,-0.0060441919191919135,-0.005411252854759165,-0.26593915780891875,0.2605279049541596
50,moderate_positive,396,0.7713010101010094,0.7316913741384723,0.38007459719089437,0.35161677694757876
50,strong_positive,397,2.1781259445843837,1.947676089832893,0.44992506663969006,1.4977510231932012
100,strong_negative,397,-2.5634125944584407,-1.9399812145559163,-0.8265652826767128,-1.1134159318792012
100,moderate_negative,396,-0.8321638888888881,-0.7421227811341161,-0.4645988538184987,-0.277523927315617
100,near_zero,396,-0.0060441919191919135,-0.004934697873324736,-0.26593915780891875,0.26100445993559396
100,moderate_positive,396,0.7713010101010094,0.7017545153748272,0.38007459719089437,0.32167991818393277
100,strong_positive,397,2.1781259445843837,1.808211546611874,0.44992506663969006,1.3582864799721828
200,strong_negative,397,-2.5634125944584407,-1.6562782649240388,-0.8265652826767128,-0.8297129822473245
200,moderate_negative,396,-0.8321638888888881,-0.6817871757538765,-0.4645988538184987,-0.21718832193537793
200,near_zero,396,-0.0060441919191919135,-0.0042715307106432655,-0.26593915780891875,0.2616676270982755
200,moderate_positive,396,0.7713010101010094,0.6546971106466976,0.38007459719089437,0.2746225134558027
200,strong_positive,397,2.1781259445843837,1.6237139725438132,0.44992506663969006,1.1737889059041215
400,strong_negative,397,-2.5634125944584407,-1.338438589080221,-0.8265652826767128,-0.511873306403506
400,moderate_negative,396,-0.8321638888888881,-0.5963351315837683,-0.4645988538184987,-0.13173627776526972
400,near_zero,396,-0.0060441919191919135,-0.0034704762108669833,-0.26593915780891875,0.26246868159805187
400,moderate_positive,396,0.7713010101010094,0.585810037376406,0.38007459719089437,0.20573544018551154
400,strong_positive,397,2.1781259445843837,1.3958836696276706,0.44992506663969006,0.9459586029879797
800,strong_negative,397,-2.5634125944584407,-1.0133539925494501,-0.8265652826767128,-0.18678870987273663
800,moderate_negative,396,-0.8321638888888881,-0.4879008466420703,-0.4645988538184987,-0.023301992823572013
800,near_zero,396,-0.0060441919191919135,-0.0025860419975577515,-0.26593915780891875,0.2633531158113611
800,moderate_positive,396,0.7713010101010094,0.4939748257326875,0.38007459719089437,0.11390022854179252
800,strong_positive,397,2.1781259445843837,1.1323040678030099,0.44992506663969006,0.6823790011633198
