k,foldId,n,RMSE,deltaRMSE_vs_k0,Pearson,Spearman
0,0,358,2.86080728685472,0,0.21558140384571858,0.2578299709731545
0,1,389,3.0259420345019508,0,0.10574238730897022,0.2269894338561023
0,2,406,3.130606745824913,0,0.1389062088404448,0.22531577703991498
0,3,412,3.5927049467077006,0,0.05236680732485645,0.22065985648549558
0,4,417,2.642091283619223,0,0.27604945071338,0.25627808390019674
25,0,358,2.674489628664751,-0.18631765818996904,0.22592249215439775,0.26258892470948636
25,1,389,2.9253814664748075,-0.1005605680271433,0.12056904402227946,0.22831901885515432
25,2,406,3.0424217697918223,-0.08818497603309083,0.15379037840205223,0.2285534078637527
25,3,412,3.4976868847551184,-0.09501806195258222,0.07162601189242608,0.22327334487219372
25,4,417,2.5849882661240264,-0.05710301749519653,0.2755746941884731,0.25904675597026977
25,summary,,,,,
50,0,358,2.578780848746807,-0.2820264381079127,0.2308483661621805,0.2651125092666344
50,1,389,2.8612671887953374,-0.1646748457066134,0.13193315364228697,0.23170984793967328
50,2,406,2.9956321483085016,-0.1349745975164116,0.16376097789198454,0.2323919082539772
50,3,412,3.4423938493089272,-0.15031109739877335,0.0865688229666961,0.22543692409009647
50,4,417,2.5559148719342577,-0.08617641168496526,0.274343617736151,0.2615203567731019
50,summary,,,,,
100,0,358,2.478022830867549,-0.3827844559871707,0.23495528697539939,0.26922101686413036
100,1,389,2.7819816711006826,-0.24396036340126814,0.1481102322227239,0.2368736608844737
100,2,406,2.9440995571336397,-0.18650718869127347,0.17682637812639962,0.2379022999712655
100,3,412,3.3773535770983334,-0.21535136960936718,0.1079978715000272,0.22845519345665283
100,4,417,2.5283479678644882,-0.11374331575473473,0.2712932837453155,0.26398502103727395
100,summary,,,,,
200,0,358,2.3874668067512173,-0.4733404801035026,0.23692737261065883,0.2723767398682291
200,1,389,2.7007831714331054,-0.32515886306884534,0.16698029025067695,0.24513861565778985
200,2,406,2.8946123949494487,-0.2359943508754645,0.19147689779682417,0.24537452813314883
200,3,412,3.3133120234057927,-0.2793929233019079,0.1329060594132456,0.23422885619945494
200,4,417,2.5091248106222928,-0.1329664729969302,0.2656680420325148,0.2636358340637023
200,summary,,,,,
400,0,358,2.316720602619699,-0.5440866842350207,0.23712503596173684,0.2706354168314904
400,1,389,2.6318193045943805,-0.39412272990757025,0.18443893459476682,0.25551414901055797
400,2,406,2.852276667672145,-0.2783300781527682,0.2054653527785101,0.25321846701157047
400,3,412,3.2604679347818766,-0.332237011925824,0.15535230411785522,0.24116126669850235
400,4,417,2.4979177285666125,-0.14417355505261042,0.25824100295459557,0.2626979939787588
400,summary,,,,,
800,0,358,2.2751334548767614,-0.5856738319779584,0.2367171061511376,0.2662614477016589
800,1,389,2.584330023378112,-0.44161201112383885,0.19724175789871654,0.2627934332118998
800,2,406,2.8223026092472043,-0.30830413657770883,0.21662982407281317,0.26227705538050367
800,3,412,3.2241004190461373,-0.36860452766156326,0.17082248750441018,0.2472022667734872
800,4,417,2.4905312075563804,-0.1515600760628426,0.2511748709005126,0.258735135557362
800,summary,,,,,
