anonId,N,rawAbilityRate,EB200_raw,stored_drblP,resid_drblP,stored_fusedRateRaw,EB200_fused,stored_posteriorAbilityRate,resid_posterior,stored_drbl100,resid_drbl100_vs_ebFused2dp,note
d43883e7a941,854,5.7892,4.690680075901328,4.69,0,1.9061,1.5444111954459203,1.5444,0,1.54,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
069ee7eb24e7,1311,3.5857,3.1110871608206487,3.11,0,1.2642,1.096867107875579,1.0969,0,1.1,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
c72ee7f48557,1082,4.0424,3.4117603744149765,3.41,0,1.3864,1.170112948517941,1.1701,0,1.17,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
e10ed1bf6eff,1263,2.7409,2.366204169514696,2.37,0,0.9615,0.8300577580314423,0.8301,0,0.83,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
8eab3173f8cc,1255,2.7333,2.3575886597938145,2.36,0,0.958,0.8263161512027491,0.8263,0,0.83,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
a4e3f755f47b,866,3.6702,2.98160712945591,2.98,0,1.2116,0.9842829268292683,0.9843,0,0.98,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
30a03abf861b,704,4.393,3.4210973451327433,3.42,0,1.3902,1.0826336283185842,1.0826,0,1.08,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
11fbe0a9f043,988,2.9819,2.479896632996633,2.48,0,1.0077,0.8380535353535353,0.8381,0,0.84,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
80640e5c9a67,1322,1.7157,1.4902466491458608,1.49,0,0.6056,0.5260204993429698,0.526,0,0.53,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
a364b423906d,379,5.2549,3.4397359240069085,3.44,0,1.4315,0.9370267702936096,0.937,0,0.94,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
dba583ef1df5,616,2.7666,2.088511764705882,2.09,0,0.8487,0.6406852941176471,0.6407,0,0.64,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
6a4d868dad32,164,5.7062,2.570925274725275,2.57,0,1.1236,0.5062373626373626,0.5062,0,0.51,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
ef9d623d4b46,107,5.3287,1.8572342019543975,1.86,0,0.8219,0.2864602605863192,0.2865,0,0.29,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
f636d8c2b4d6,65,5.1133,1.2542056603773584,1.25,0,0.5602,0.13740754716981132,0.1374,0,0.14,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
a8ec6632e4aa,942,0.2851,0.23517005253940457,0.24,0,0.0956,0.07885744308231174,0.0788,0.00010000000000000286,0.08,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
22dd603cc2bf,53,4.6957,0.9836841897233203,0.98,0,0.4405,0.09227865612648221,0.0923,0,0.09,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
523a61803fa3,51,1.9193,0.3899772908366534,0.39,0,0.1747,0.035496812749003986,0.0355,0,0.04,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
41782dbe71d4,379,0.018,0.011782383419689117,0.01,0,0.0049,0.003207426597582038,0.0032,0,0,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
88aceacd31c9,51,-2.9265,-0.5946274900398406,-0.59,0,-0.2664,-0.054129083665338654,-0.0541,0,-0.05,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
2770c2ccd0c2,52,-3.3294,-0.6870190476190476,-0.69,0,-0.3077,-0.06349365079365078,-0.0635,0,-0.06,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
c1a77e4c9316,51,-7.9562,-1.616598406374502,-1.62,0,-0.7242,-0.14714820717131474,-0.1472,0.00009999999999998899,-0.15,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
b079eee4b0d4,56,-9.6026,-2.1005687500000003,-2.1,0,-0.94,-0.205625,-0.2056,0,-0.21,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
fce85a6eb625,80,-7.5562,-2.1589142857142853,-2.16,0,-0.9611,-0.27459999999999996,-0.2746,0,-0.27,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
56e77bd8b5a3,82,-8.1924,-2.382187234042553,-2.38,0,-1.06,-0.3082269503546099,-0.3082,0,-0.31,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
941c41a56fff,56,-12.3739,-2.706790625,-2.71,0,-1.2113,-0.264971875,-0.265,0,-0.26,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
28336bbb0ef8,1315,-0.798,-0.6926534653465346,-0.69,0,-0.2815,-0.2443382838283828,-0.2443,0,-0.24,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
9ad6a19d6b54,337,-3.6559,-2.2942985102420854,-2.29,0,-0.9641,-0.6050310986964618,-0.6051,0.00009999999999998899,-0.61,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
e19ab597c8d3,1316,-1.0499,-0.9113907651715041,-0.91,0,-0.3703,-0.3214477572559367,-0.3215,0.00009999999999998899,-0.32,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
ac698c3d2bfc,1421,-1.1159,-0.9782195558297346,-0.98,0,-0.3975,-0.34845619987661935,-0.3484,0.00009999999999998899,-0.35,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
c14c7ff34137,1408,-1.8228,-1.5960835820895523,-1.6,0,-0.6486,-0.5679283582089552,-0.5679,0,-0.57,0,drbl100==EB(fused) at 2dp; posteriorAbilityRate==EB(fused) at 4dp
