k,n,RMSE,MAE,Pearson,Spearman,R2,calibrationIntercept,calibrationSlope,predSD,targetSD
0,1982,3.071603914379542,2.0526237262571314,0.14905769066592411,0.2374284599614364,-0.24465776688404395,-0.12517765532239236,0.2240549947874075,1.8316394723669587,2.75321568850393
25,1982,2.969284941666447,2.0067494781832993,0.16081254474551773,0.24062795189212974,-0.16311667073511127,-0.12661142046733856,0.27042942272393466,1.6372168998547914,2.75321568850393
50,1982,2.912719523618654,1.9779478396979353,0.16893161972786327,0.24342419828818257,-0.11922360860343706,-0.12857960574130525,0.30607577933050617,1.5195752722952496,2.75321568850393
100,1982,2.849508238809194,1.9417650225150025,0.17976874356146277,0.24750299719448535,-0.0711723721869515,-0.13269392109597447,0.3602763577741918,1.3737846361438748,2.75321568850393
200,1982,2.7900013048913115,1.9029547640135467,0.19179838063193938,0.2519300779175433,-0.02690044386623569,-0.13988323150028406,0.43638374493636656,1.2100870316847099,2.75321568850393
400,1982,2.7418899616170767,1.8659552046299028,0.20256604304274406,0.25629277331968103,0.008210349792578175,-0.15017070776358535,0.5403708015449955,1.0320839062156588,2.75321568850393
800,1982,2.709840313887856,1.8380935249383612,0.21002130485264658,0.26016701416617544,0.03126067994002091,-0.16234588607458506,0.6884122893289094,0.8399529764409924,2.75321568850393
1200,1982,2.6995798016754837,1.828801576248251,0.21250680379575895,0.26133930325023086,0.03858284107721177,-0.1695682279818298,0.8087957142133397,0.7233928862906647,2.75321568850393
1600,1982,2.6960956582451727,1.8257717020795972,0.21347092922363067,0.26156569452263423,0.04106289642798722,-0.17445446257676828,0.9172685794965231,0.6407409176716906,2.75321568850393
2400,1982,2.6960353786289537,1.8265323214364189,0.21387114019724712,0.26171057266869824,0.041105776000309846,-0.1807404268179423,1.1167034912792733,0.5272960845091726,2.75321568850393
3200,1982,2.698869428603864,1.8305269479709294,0.21361861805618562,0.2616199138213692,0.039088753146540256,-0.18465356258956395,1.3039999695234805,0.4510261843056187,2.75321568850393
4800,1982,2.705734126586987,1.838835746448043,0.21275629310037086,0.26116675367264564,0.034194292890631695,-0.18929945722277908,1.6615041771290544,0.35255040104926877,2.75321568850393
6400,1982,2.711812309725297,1.8454895792871604,0.21193766225330382,0.261103992819188,0.029850231513507075,-0.19197447796163442,2.007726380059666,0.2906322806214777,2.75321568850393
9600,1982,2.7208627805452616,1.8555736383760586,0.21069610499587882,0.2604886263577193,0.02336382096302647,-0.19493666362921921,2.685306454368976,0.2160244395337155,2.75321568850393
12800,1982,2.7270190500769984,1.862544541440439,0.2098478817592824,0.2602967172585044,0.018939314505631244,-0.19653856379232656,3.353717835409696,0.1722734316402006,2.75321568850393
