k_prev,k_next,RMSE_prev,RMSE_next,absImprovement,relImprovement
0,25,3.071603914379542,2.969284941666447,0.10231897271309487,0.03331125222040977
25,50,2.969284941666447,2.912719523618654,0.05656541804779325,0.01905018183133584
50,100,2.912719523618654,2.849508238809194,0.06321128480945992,0.021701809699455232
100,200,2.849508238809194,2.7900013048913115,0.05950693391788242,0.020883229291082977
200,400,2.7900013048913115,2.7418899616170767,0.04811134327423483,0.017244200993701355
400,800,2.7418899616170767,2.709840313887856,0.0320496477292207,0.01168888911585601
800,1200,2.709840313887856,2.6995798016754837,0.01026051221237223,0.003786389980172408
1200,1600,2.6995798016754837,2.6960956582451727,0.003484143430311004,0.0012906243512966662
1600,2400,2.6960956582451727,2.6960353786289537,0.000060279616219016674,0.000022358114792652165
2400,3200,2.6960353786289537,2.698869428603864,-0.0028340499749104353,-0.0010511916859012689
3200,4800,2.698869428603864,2.705734126586987,-0.006864697983123058,-0.002543545793793438
4800,6400,2.705734126586987,2.711812309725297,-0.006078183138309878,-0.0022464081295293036
6400,9600,2.711812309725297,2.7208627805452616,-0.009050470819964573,-0.0033374252294331437
9600,12800,2.7208627805452616,2.7270190500769984,-0.006156269531736758,-0.0022626166875284463
