k,deltaRMSE,ciLow,ciHigh,pBeatsBest,pBestBeats
0,0.37556853575058824,0.2699715449328761,0.4833366641708272,0,1
25,0.27324956303749337,0.19451975942455446,0.35524030052876787,0,1
50,0.21668414498970012,0.14925157100230724,0.28520463318779443,0,1
100,0.1534728601802402,0.10114998330923841,0.2082580080140688,0,1
200,0.09396592626235778,0.05694974405919817,0.13271768612957224,0,1
400,0.04585458298812295,0.02106530345758717,0.07086039350947848,0,1
800,0.013804935258902251,0.00015549751225352182,0.02743123741757625,0.024,0.976
1200,0.003544423046530021,-0.004516614505933436,0.011553855072840236,0.181,0.819
1600,0.000060279616219016674,-0.0044874630161269025,0.0045023984506431525,0.472,0.528
2400,0,0,0,0.5,0.5
3200,0.0028340499749104353,0.00010866775781348537,0.005738175853811089,0.02,0.98
4800,0.009698747958033493,0.00364825967082405,0.01642451916575549,0.001,0.999
6400,0.015776931096343372,0.007492328539913551,0.02480610805717376,0,1
