k,quartile,n,RMSE,Pearson,Spearman,meanAbsShrink,medianReliability
800,1,497,3.9640265786602,0.01325958519861249,0.03979141072630888,1.6050009056111267,0.27338782924613986
800,2,495,2.6592683419039957,0.24898307227924263,0.27275556927509387,0.5412385388747795,0.5492957746478874
800,3,495,1.919181434165025,0.2782632956939259,0.280089915743566,0.312297009013144,0.7111913357400722
800,4,495,1.6942982670392972,0.4077619017929391,0.38484630819096016,0.17255577956810175,0.8171010516689529
1200,1,497,3.950610362536921,0.01586432661697044,0.03902798837330239,1.7245865941131366,0.2005329780146569
1200,2,495,2.6574807395237396,0.2482259086956894,0.273683517953467,0.6586033962870511,0.4482758620689655
1200,3,495,1.8984676051317997,0.2783736167575076,0.279764109687709,0.40722343539824485,0.6214511041009464
1200,4,495,1.6862990682492407,0.40799466896744235,0.384097142246548,0.23673260380209576,0.7486384583158777
1600,1,497,3.945596292168794,0.01738981151071968,0.038550678341326625,1.794347200304205,0.15833771699105734
1600,2,495,2.6608779572084815,0.24764023820097725,0.27401318262948143,0.739099536682255,0.3786407766990291
1600,3,495,1.887588109193767,0.2783683180389097,0.2794380068149168,0.4803935875727686,0.5518207282913166
1600,4,495,1.6826188580717523,0.408118085824398,0.38386453670833975,0.2909098262546605,0.690761499806726
2400,1,497,3.9425279231665527,0.019095225690663076,0.03776301415175859,1.8727121204791033,0.1114402073306183
2400,2,495,2.6707431083113926,0.2468108308709105,0.27428180195582574,0.842560437545084,0.28888888888888886
2400,3,495,1.8797933417195338,0.27822422868211427,0.279034236844084,0.5859653264762015,0.45080091533180777
2400,4,495,1.6825501030653243,0.4081738124307046,0.3833912126356948,0.37748775063679463,0.5982591228657516
3200,1,497,3.9420314109629713,0.020024491987363065,0.03763388727233201,1.9157580609064886,0.08597543558983148
3200,2,495,2.6798832057874673,0.24625817243647272,0.2745298419746637,0.9062988845883326,0.23353293413173654
3200,3,495,1.8798747452633315,0.27803313352861114,0.2778816966847527,0.6585645056607572,0.38104448742746616
3200,4,495,1.6872799545364991,0.408096641953855,0.38318818985202685,0.4437213044458654,0.5276055506347801
4800,1,497,3.942459608752691,0.021010461017751485,0.03667574823210542,1.9618127656758042,0.0590080376396785
4800,2,495,2.6935096971840817,0.24557295437198232,0.27336938669706073,0.9808118494662013,0.16883116883116883
4800,3,495,1.886494013875132,0.2776787657457301,0.2775718198044174,0.7520560880947943,0.29098966026587886
4800,4,495,1.7011544818739839,0.40780085036209984,0.38298190208207183,0.5385922089475468,0.4267972295199427
6400,1,497,3.943092328559197,0.021526208372472187,0.037048466469239066,1.986091654158056,0.044918668855394715
6400,2,495,2.7026295629193955,0.24516641157754437,0.2733040869713196,1.0230299751625556,0.13220338983050847
6400,3,495,1.894204665018872,0.2774004431855382,0.27740144688362006,0.8097314725364749,0.23536439665471923
6400,4,495,1.7153430434223766,0.4074704741101734,0.38303997926239014,0.603407539182324,0.3583316623220373
9600,1,497,3.9440506624215117,0.022058001205329348,0.03688121734683265,2.0112803532654233,0.0304009695990304
9600,2,495,2.7137535050313315,0.2447070393796914,0.27308929044922253,1.0691926519815667,0.09219858156028368
9600,3,495,1.9066930167696634,0.27701805486945236,0.2775042444821732,0.8772111339254263,0.17026793431287812
9600,4,495,1.7389554195584418,0.40689129492280396,0.3819533324626703,0.6864313909053796,0.2712919386670715
12800,1,497,3.9446646033247235,0.022330132317970177,0.03692149007531391,2.0242355666550136,0.022975345393481415
12800,2,495,2.720209489067798,0.2444545161974326,0.27304585623770683,1.0939366818934402,0.07078039927404718
12800,3,495,1.915410574311515,0.27677452158809634,0.2771921909443132,0.9154627363903775,0.13337846987136087
12800,4,495,1.7564145913529907,0.4064467787180125,0.3812754025827031,0.7374319499141739,0.21827287162574813
0,1,497,4.779293794049987,0.002409014816106406,0.03719831620895212,0,1
0,2,495,2.771147726428733,0.2508723916277845,0.2710350204407929,0,1
0,3,495,2.037781869491961,0.27694699453727384,0.2796359837106866,0,1
0,4,495,1.7353297384179311,0.40668226265491436,0.3855291850198472,0,1
200,1,497,4.103962683385509,0.0027616895163760933,0.04146028522475702,1.0444251709439036,0.6007984031936128
200,2,495,2.707821683909645,0.25046856724768823,0.27270095495901947,0.20895089931788377,0.8297872340425532
200,3,495,1.9912347847515584,0.2775343860628128,0.2799504117840281,0.10101881498988738,0.9078341013824884
200,4,495,1.7204666730121105,0.4070636407833187,0.38571736695675574,0.050223231526454026,0.9470058293587705
