k,foldId,RMSE,deltaVs800,deltaVs0,Pearson,Spearman
0,0,2.86080728685472,0.5856738319779584,0,0.21558140384571858,0.2578299709731545
0,1,3.0259420345019508,0.44161201112383885,0,0.10574238730897022,0.2269894338561023
0,2,3.130606745824913,0.30830413657770883,0,0.1389062088404448,0.22531577703991498
0,3,3.5927049467077006,0.36860452766156326,0,0.05236680732485645,0.22065985648549558
0,4,2.642091283619223,0.1515600760628426,0,0.27604945071338,0.25627808390019674
0,summary,,,,,
25,0,2.674489628664751,0.3993561737879894,-0.18631765818996904,0.22592249215439775,0.26258892470948636
25,1,2.9253814664748075,0.34105144309669555,-0.1005605680271433,0.12056904402227946,0.22831901885515432
25,2,3.0424217697918223,0.220119160544618,-0.08818497603309083,0.15379037840205223,0.2285534078637527
25,3,3.4976868847551184,0.27358646570898104,-0.09501806195258222,0.07162601189242608,0.22327334487219372
25,4,2.5849882661240264,0.09445705856764608,-0.05710301749519653,0.2755746941884731,0.25904675597026977
25,summary,,,,,
50,0,2.578780848746807,0.3036473938700457,-0.2820264381079127,0.2308483661621805,0.2651125092666344
50,1,2.8612671887953374,0.27693716541722546,-0.1646748457066134,0.13193315364228697,0.23170984793967328
50,2,2.9956321483085016,0.17332953906129722,-0.1349745975164116,0.16376097789198454,0.2323919082539772
50,3,3.4423938493089272,0.2182934302627899,-0.15031109739877335,0.0865688229666961,0.22543692409009647
50,4,2.5559148719342577,0.06538366437787735,-0.08617641168496526,0.274343617736151,0.2615203567731019
50,summary,,,,,
100,0,2.478022830867549,0.2028893759907877,-0.3827844559871707,0.23495528697539939,0.26922101686413036
100,1,2.7819816711006826,0.1976516477225707,-0.24396036340126814,0.1481102322227239,0.2368736608844737
100,2,2.9440995571336397,0.12179694788643536,-0.18650718869127347,0.17682637812639962,0.2379022999712655
100,3,3.3773535770983334,0.15325315805219608,-0.21535136960936718,0.1079978715000272,0.22845519345665283
100,4,2.5283479678644882,0.03781676030810788,-0.11374331575473473,0.2712932837453155,0.26398502103727395
100,summary,,,,,
200,0,2.3874668067512173,0.11233335187445581,-0.4733404801035026,0.23692737261065883,0.2723767398682291
200,1,2.7007831714331054,0.11645314805499352,-0.32515886306884534,0.16698029025067695,0.24513861565778985
200,2,2.8946123949494487,0.07230978570224433,-0.2359943508754645,0.19147689779682417,0.24537452813314883
200,3,3.3133120234057927,0.08921160435965536,-0.2793929233019079,0.1329060594132456,0.23422885619945494
200,4,2.5091248106222928,0.0185936030659124,-0.1329664729969302,0.2656680420325148,0.2636358340637023
200,summary,,,,,
400,0,2.316720602619699,0.0415871477429377,-0.5440866842350207,0.23712503596173684,0.2706354168314904
400,1,2.6318193045943805,0.04748928121626861,-0.39412272990757025,0.18443893459476682,0.25551414901055797
400,2,2.852276667672145,0.02997405842494061,-0.2783300781527682,0.2054653527785101,0.25321846701157047
400,3,3.2604679347818766,0.036367515735739264,-0.332237011925824,0.15535230411785522,0.24116126669850235
400,4,2.4979177285666125,0.007386521010232183,-0.14417355505261042,0.25824100295459557,0.2626979939787588
400,summary,,,,,
800,0,2.2751334548767614,0,-0.5856738319779584,0.2367171061511376,0.2662614477016589
800,1,2.584330023378112,0,-0.44161201112383885,0.19724175789871654,0.2627934332118998
800,2,2.8223026092472043,0,-0.30830413657770883,0.21662982407281317,0.26227705538050367
800,3,3.2241004190461373,0,-0.36860452766156326,0.17082248750441018,0.2472022667734872
800,4,2.4905312075563804,0,-0.1515600760628426,0.2511748709005126,0.258735135557362
800,summary,,,,,
1200,0,2.266307530690819,-0.008825924185942302,-0.5944997561639007,0.23647136831278764,0.2652982015700415
1200,1,2.568296821037901,-0.016033202340210995,-0.45764521346404985,0.20228550265329687,0.2684795394359967
1200,2,2.812555118954533,-0.009747490292671301,-0.31805162687038013,0.2213402739232281,0.2662954042264387
1200,3,3.210980521142226,-0.013119897903911326,-0.3817244255654746,0.17632803106065273,0.25126346059768595
1200,4,2.4874298822892964,-0.003101325267083954,-0.15466140132992656,0.2479675301513311,0.25418081066983
1200,summary,,,,,
1600,0,2.2660846602764346,-0.009048794600326815,-0.5947226265782852,0.2363164268108023,0.26486195542626256
1600,1,2.5621940483718206,-0.022135975006291275,-0.46374798613013013,0.20492300372899735,0.2705432298600083
1600,2,2.8095092421608765,-0.012793367086327834,-0.32109750366403667,0.22385607889073889,0.26807918532056463
1600,3,3.2052541351469066,-0.01884628389923071,-0.387450811560794,0.17889290365490798,0.2548364806670324
1600,4,2.486162326516944,-0.004368881039436445,-0.15592895710227905,0.24621961884481755,0.2516848685203475
1600,summary,,,,,
2400,0,2.271812769785084,-0.0033206850916776,-0.588994517069636,0.23612350763028142,0.26325924777094045
2400,1,2.560219147534185,-0.024110875843927015,-0.46572288696776587,0.20758565299435144,0.27292637132565045
2400,2,2.8104444331495877,-0.011858176097616635,-0.32016231267532547,0.2263757312664055,0.27155350603626466
2400,3,3.2019510842902568,-0.022149334755880545,-0.3907538624174438,0.18103108553189817,0.2571182854445461
2400,4,2.4864375845575055,-0.004093622998874835,-0.15565369906171744,0.2444673546984037,0.249466455543699
2400,summary,,,,,
3200,0,2.278387339102294,0.003253884225532744,-0.5824199477524257,0.23600281082157457,0.26419555544164103
3200,1,2.5625846540253097,-0.021745369352802246,-0.4633573804766411,0.2088967328310606,0.27458193093578565
3200,2,2.8142883097360682,-0.00801429951113608,-0.3163184360888449,0.22756682739400866,0.27274430722706583
3200,3,3.2026469124405814,-0.021453506605555894,-0.39005803426711916,0.18176420527665668,0.257073500435753
3200,4,2.4884938591618755,-0.0020373483945048676,-0.15359742445734748,0.24365190411802598,0.24883858095709668
3200,summary,,,,,
4800,0,2.2887746590815716,0.013641204204810187,-0.5720326277731482,0.23585518789414592,0.26317686315745703
4800,1,2.5693398508363963,-0.01499017254171564,-0.4566021836655545,0.21016138656472866,0.2762407523306471
4800,2,2.8228564490241954,0.000553839776991083,-0.30775029680071775,0.22862904189577038,0.2734122389294803
4800,3,3.2070386962839,-0.017061722762237164,-0.3856662504238004,0.1820632758152507,0.2564576636673294
4800,4,2.4942005929443627,0.003669385387982338,-0.14789069067486027,0.24294451351013946,0.24533165149882302
4800,summary,,,,,
6400,0,2.2958795081093166,0.020746053232555184,-0.5649277787454032,0.23576689218053326,0.26349855545772566
6400,1,2.5753561390197754,-0.00897388435833646,-0.4505858954821753,0.21076157471860849,0.2773564865685821
6400,2,2.8301792862230966,0.007876676975892227,-0.3004274596018166,0.22907401376716346,0.27415709484675
6400,3,3.211845227127276,-0.012255191918861374,-0.38085971958042464,0.18194730153802868,0.25673340891304036
6400,4,2.499984428071124,0.00945322051474351,-0.1421068555480991,0.24265651760676749,0.24357562165210783
6400,summary,,,,,
9600,0,2.3046098019573895,0.029476347080628074,-0.5561974848973303,0.23566544820250918,0.26347318622754184
