k,group,median,p10,p90
0,all,1,1,1
0,Q1,1,1,1
0,Q2,1,1,1
0,Q3,1,1,1
0,Q4,1,1,1
25,all,0.9816849816849816,0.9007936507936508,0.993528345845198
25,Q1,0.9233128834355828,0.7663551401869159,0.9587458745874587
25,Q2,0.975,0.9654696132596685,0.980453479280688
25,Q3,0.9874686716791979,0.9830508474576272,0.9897708674304418
25,Q4,0.9930536260072242,0.9910394265232975,0.995069033530572
50,all,0.9640287769784173,0.8194945848375451,0.9871399176954733
50,Q1,0.8575498575498576,0.6212121212121212,0.9207606973058637
50,Q2,0.9512195121951219,0.9332443257676902,0.9616564417177914
50,Q3,0.9752475247524752,0.9666666666666667,0.9797488861887403
50,Q4,0.9862030905077263,0.9822380106571936,0.9901864573110893
100,all,0.9305555555555556,0.6941896024464832,0.9746063991874048
100,Q1,0.7506234413965087,0.45054945054945056,0.8531571218795888
100,Q2,0.9069767441860465,0.8748435544430538,0.9261447562776958
100,Q3,0.9516908212560387,0.9354838709677419,0.9603017070265979
100,Q4,0.9727817093086554,0.9650959860383944,0.9805636540330418
200,all,0.8701298701298701,0.531615925058548,0.9504705299653293
200,Q1,0.6007984031936128,0.2907801418439716,0.7439180537772087
200,Q2,0.8297872340425532,0.7775305895439377,0.8624484181568088
200,Q3,0.9078341013824884,0.8787878787878788,0.923634975181367
200,Q4,0.9470058293587705,0.9325463743676222,0.9618684461391802
400,all,0.7701149425287356,0.3620414673046252,0.9056158565361019
400,Q1,0.42938659058487877,0.17012448132780084,0.5922528032619776
400,Q2,0.7090909090909091,0.6360327570518653,0.7581620314389359
400,Q3,0.8312236286919831,0.7837837837837838,0.8581057112451224
400,Q4,0.8993457473578259,0.8736176935229067,0.9265381083562901
800,all,0.6261682242990654,0.22103213242453748,0.827511858559724
800,Q1,0.27338782924613986,0.09297052154195011,0.4207096307023896
800,Q2,0.5492957746478874,0.46631087391594395,0.6105160662122687
800,Q3,0.7111913357400722,0.6444444444444445,0.751475613544579
800,Q4,0.8171010516689529,0.7755960729312763,0.863130881094953
1200,all,0.5275590551181102,0.1590749824807288,0.7618102421595871
1200,Q1,0.2005329780146569,0.06396255850234009,0.326221224031443
1200,Q2,0.4482758620689655,0.36808846761453395,0.511002444987775
1200,Q3,0.6214511041009464,0.5471698113207547,0.6684166896932855
1200,Q4,0.7486384583158777,0.6973518284993695,0.8078462770216173
1600,all,0.4557823129251701,0.12424740010946908,0.7057741816844428
1600,Q1,0.15833771699105734,0.04875148632580262,0.26639156350298027
1600,Q2,0.3786407766990291,0.30404523705959113,0.4393833216538192
1600,Q3,0.5518207282913166,0.47540983606557374,0.6018910176660861
1600,Q4,0.690761499806726,0.6334478808705613,0.7592174567343868
2400,all,0.3582887700534759,0.08641035401598782,0.6152613016992626
2400,Q1,0.1114402073306183,0.033037872683319904,0.1949010399194901
2400,Q2,0.28888888888888886,0.22555663117134558,0.34318555008210183
2400,Q3,0.45080091533180777,0.37662337662337664,0.5019713633533929
2400,Q4,0.5982591228657516,0.5353339787028074,0.6776359973136333
3200,all,0.29515418502202645,0.06623869273416982,0.5453253765274225
3200,Q1,0.08597543558983148,0.024984765386959172,0.15366305210261835
3200,Q2,0.23353293413173654,0.17927673762503207,0.2815446789402784
3200,Q3,0.38104448742746616,0.3118279569892473,0.43050364833600285
3200,Q4,0.5276055506347801,0.46353730092204526,0.6118859915100061
4800,all,0.2182410423452769,0.045156156753530935,0.44431581384579766
4800,Q1,0.0590080376396785,0.016796394920114706,0.10797249581862108
4800,Q2,0.16883116883116883,0.127114020731042,0.20713577799801783
4800,Q3,0.29098966026587886,0.232,0.3350879623216512
4800,Q4,0.4267972295199427,0.3654990085922009,0.5124428643981717
6400,all,0.1731266149870801,0.03425381017051456,0.37487790584098457
6400,Q1,0.044918668855394715,0.012650416538105523,0.08322589886835696
6400,Q2,0.13220338983050847,0.09846457247499647,0.1638359027959237
6400,Q3,0.23536439665471923,0.18471337579617833,0.27429413765733074
6400,Q4,0.3583316623220373,0.3016912165848336,0.44080384447356924
9600,all,0.12248628884826325,0.02309962348631322,0.285607977377586
9600,Q1,0.0304009695990304,0.00846932451972733,0.05706708574796189
9600,Q2,0.09219858156028368,0.06787066705505389,0.11553344389165285
9600,Q3,0.17026793431287812,0.13122171945701358,0.2012646642815542
9600,Q4,0.2712919386670715,0.22361504245855238,0.34448617275520654
12800,all,0.09476661951909476,0.01742534735549244,0.23067676403413873
12800,Q1,0.022975345393481415,0.006365471200124205,0.043419774306853
12800,Q2,0.07078039927404718,0.05178161345284836,0.08922726625871638
12800,Q3,0.13337846987136087,0.10175438596491228,0.15894605427426242
12800,Q4,0.21827287162574813,0.1776421458400257,0.2827122443261418
