metric,legacy_drbl100,researchDRBL100
field,legacy,research
n,555,555
mean,-0.11326486486486496,0.018166815981233344
sd,0.6156566856644698,0.6389782580504155
median,-0.0874,0.014975577557755774
p1,-1.6359,-1.5621781161872534
p5,-1.1892,-1.0793188484379035
p25,-0.4671,-0.38089245283018874
p75,0.2617,0.4236931735278791
p95,0.8664,1.0533385695480475
p99,1.3178,1.451015284924719
min,-2.369,-2.252735595390525
max,2.1365,2.409989743589744
Pearson,0.7974863801342703,0.7974863801342703
Spearman,0.8050015056741805,0.8050015056741805
mean_abs_diff,0.31357496081542585,0.31357496081542585
median_abs_diff,0.22985053763440855,0.22985053763440855
p95_abs_diff,0.8672590868397495,0.8672590868397495
