candidate,uncertainty_quartile,n,mean_predicted_sigma,mean_abs_error,RMSE,P80_abs_error,P95_abs_error
U0,UQ1,406,2.2727303742537828,1.7916811576489264,2.549027563892939,2.5801943485620296,5.50633514075503
U0,UQ2,406,2.430747899023272,1.8734378271838918,2.8104009571506223,2.7723128613591457,5.8525220591783045
U0,UQ3,406,2.5717950419599678,1.9785968481013714,3.2042599540146686,2.887158633760095,5.9534526883108025
U0,UQ4,406,2.7493298080817095,1.7912420662445636,2.508798796572569,2.6395410844827127,4.964631905407935
U1,UQ1,406,1.0948842991833625,1.2452882586875742,1.5561222789644393,1.9124062520618947,2.996406934744795
U1,UQ2,406,1.3210607178368277,1.4400826161473368,1.9069869914597883,2.188375522629012,3.8700838613261928
U1,UQ3,406,1.7789682334272419,1.7734583769665957,2.483627404815842,2.861602231154542,4.736458080635904
U1,UQ4,406,3.874678965008038,2.976128647377243,4.32790102675495,4.546617252548211,8.936835822935702
U2,UQ1,406,1.6597745632709568,1.2810523905515385,1.5900576448641452,1.9715974583367937,3.015598339142306
U2,UQ2,406,1.7481943181920214,1.4207479292004055,1.9093165214611882,2.1536104301208687,3.8951096488374293
U2,UQ3,406,1.9171854544417304,1.779758724777002,2.500822386972436,2.8006940274566667,4.736458080635904
U2,UQ4,406,3.049756885730599,2.953398854649802,4.304574637722881,4.570953413586547,8.56713860708311
