N,model,w50,w80,w95
250,Q0,1.3338055880011264,2.6913137769555346,5.50633514075503
250,Q1,2.687172533436115,5.525685470432117,10.277587161191905
250,Q2,1.7025187659159566,3.918470716003023,6.998898903647404
500,Q0,1.3338055880011264,2.6913137769555346,5.50633514075503
500,Q1,1.9001179206109116,3.9072496668465275,7.267351575914594
500,Q2,1.3962948570679738,3.1167848650945973,5.478259001600749
1000,Q0,1.3338055880011264,2.6913137769555346,5.50633514075503
1000,Q1,1.3435862667180576,2.7628427352160587,5.138793580595952
1000,Q2,1.2145673788076616,2.6257028519688776,4.5304182589680435
1600,Q0,1.3338055880011264,2.6913137769555346,5.50633514075503
1600,Q1,1.0621982089378867,2.1842189650330606,4.062573035033814
1600,Q2,1.1389685635849125,2.415947703525581,4.1191264326802735
3000,Q0,1.3338055880011264,2.6913137769555346,5.50633514075503
3000,Q1,0.7757198927691549,1.5951279969055931,2.9668838570669935
3000,Q2,1.0765052922256697,2.2392618980088055,3.768324323830418
6000,Q0,1.3338055880011264,2.6913137769555346,5.50633514075503
6000,Q1,0.5485167964783709,1.1279258234724592,2.097903694324971
6000,Q2,1.0391275551256518,2.13173367077905,3.552346106683189
10000,Q0,1.3338055880011264,2.6913137769555346,5.50633514075503
10000,Q1,0.4248792835751547,0.8736875860132243,1.6250292140135256
10000,Q2,1.0237944366297516,2.0871718379751996,3.462184385977342
