candidate,UQ,n,mean_PI80_half,MAE,RMSE,P80_abs,P95_abs,spearman_PI80_half_absErr,spearman_PI95_half_absErr
Q0,UQ1,406,2.58970109652466,1.8683909300880805,2.8095092421608765,2.7327826017198396,5.854599588857334,0.016490386278900523,0.016298452264798112
Q0,UQ2,406,2.5984798999968874,1.7967280547447384,2.550010368538082,2.5801943485620296,5.3496674112066795,0.016490386278900523,0.016298452264798112
Q0,UQ3,406,2.639132593275655,1.9785968481013714,3.2042599540146686,2.887158633760095,5.9534526883108025,0.016490386278900523,0.016298452264798112
Q0,UQ4,406,2.691313776955541,1.7912420662445636,2.508798796572569,2.6395410844827127,4.964631905407935,0.016490386278900523,0.016298452264798112
Q1,UQ1,406,1.2735606271834865,1.2312652123846377,1.5392081166422789,1.894125658404871,2.8640592389871085,0.25394354692410653,0.25136800404006726
Q1,UQ2,406,1.5371877298775074,1.4364211545072698,1.905803078668003,2.2017808547214166,3.8045569848047855,0.25394354692410653,0.25136800404006726
Q1,UQ3,406,2.0661414730931904,1.8038524735263322,2.4867953184087894,2.8752355195967225,4.722946651184412,0.25394354692410653,0.25136800404006726
Q1,UQ4,406,4.493308945790277,2.963419058760511,4.332649346458513,4.570953413586547,8.936835822935702,0.25394354692410653,0.25136800404006726
Q2,UQ1,406,2.090727405674215,1.3122201572406704,1.6739561613301999,2.002042586475402,3.1047129624777594,0.24709452062374493,0.23211079085997818
Q2,UQ2,406,2.165959028775323,1.4023160294110428,1.891553511981774,2.1026920668548166,3.3907260325792152,0.24709452062374493,0.23211079085997818
Q2,UQ3,406,2.307712439934169,1.768119736291838,2.460710646035471,2.7811902500103893,4.634553817879281,0.24709452062374493,0.23211079085997818
Q2,UQ4,406,3.3103423987671805,2.9523019762351974,4.303724841781468,4.570953413586547,8.56713860708311,0.24709452062374493,0.23211079085997818
