decile,nRows,meanN,medianN,MAE,RMSE,medianAbsError,P80_absError,P95_absError
1,163,155.77914110429447,153,3.645565153607059,5.09524914596851,2.6320842505568205,5.867043806641481,10.449741379097876
2,163,471.7239263803681,476,2.3354881957678835,3.7375152916718792,1.5293298177151604,3.306521795418135,6.331957337889366
3,163,817.0122699386503,813,2.4867374423752184,3.4717328764264805,1.7909941523055468,3.4421119413496255,7.817927391403564
4,163,1194.8588957055215,1192,1.7669104610086008,2.4345230054306666,1.2757177457991264,2.711925467871144,4.575942449603414
5,163,1582.153374233129,1572,1.5863349158935447,2.003239284721893,1.3338055880011264,2.551011909527412,3.413617185702523
6,163,2001.3496932515338,2003,1.4442320641789133,1.875841619207842,1.1832186623952203,2.2863504858691726,3.5533307802238703
7,163,2381.6625766871166,2373,1.391900311791262,1.7977949223364222,1.1482797244932068,2.2021529815235827,3.015598339142306
8,163,2950.969325153374,2959,1.2762564728975392,1.6593664748930548,1.0821286143763729,1.875661194078842,3.255200520584738
9,163,3638.9018404907974,3627,1.394271410305413,1.8319578278755213,1.0895051257750608,1.9908726821471516,3.303763429448495
10,157,4829.783439490446,4714,1.2368050275861597,1.5534708904974959,1.0844705377396142,1.92219816157911,2.8511457651300574
