fold,quartile,n,medianAbsError,P80_absError,P95_absError
F2,Q1,98,1.8043880148027043,4.335621311444448,7.3589733919890294
F2,Q2,97,1.1328698346084702,2.6503251790959084,6.8617214673181035
F2,Q3,97,1.0930356414847053,2.1207559540615866,3.2017356431943202
F2,Q4,97,1.2281200653555289,1.9124062520618947,2.671622024944161
F3,Q1,102,1.9333851134426319,4.326111182653187,8.56713860708311
F3,Q2,101,1.2757177457991264,2.9882831090013524,5.8983282785896165
F3,Q3,101,1.0920819108639888,2.184238822576974,3.5533307802238703
F3,Q4,102,0.9432207405406877,1.9025091529720872,3.0154709321869775
F4,Q1,103,2.1104987994835285,5.0046179745121995,8.936835822935702
F4,Q2,103,1.3753207499626863,2.990909286459261,4.3506017927515055
F4,Q3,103,1.1543152421255223,2.011865989989414,3.273157634071089
F4,Q4,103,1.0476098532271605,1.8044590370012368,3.0930366253725623
F5,Q1,105,1.8782848380482635,4.470241036847399,7.888370184092853
F5,Q2,104,1.3567186276459695,2.557558959505067,3.321585778641209
F5,Q3,104,0.9937407849884983,2.127850038637234,3.8045569848047855
F5,Q4,104,1.1377014272829575,1.8414040932459566,2.7680218873829707
