candidate,quartile,nRows,meanN,MAE,RMSE,medianAbsError,P80_absError,P95_absError,PI50_cov,PI80_cov,PI95_cov,PI50_width,PI80_width,PI95_width,WIS
U2,Q1,406,395.0295566502463,2.9172129891773007,4.307517361001477,1.8479852035723165,4.546617252548211,8.962322339405738,0.4433497536945813,0.6921182266009852,0.8719211822660099,3.5854922953968535,6.944924465444964,11.588208458129808,7.072773837243211
U2,Q2,406,1286.5714285714287,1.815182817821142,2.5058541970505197,1.3447711322643134,2.846879272853285,4.736458080635904,0.43842364532019706,0.7216748768472906,0.9039408866995073,2.322572262460364,4.475456929813351,7.410317506440679,4.231282728902725
U2,Q3,406,2298.256157635468,1.3836033188418142,1.7865856073040511,1.144133311874857,2.1916528345573525,3.269533851773102,0.4630541871921182,0.7832512315270936,0.9507389162561576,2.105154509960352,4.075575349340736,6.789709409206086,3.044322201747868
U2,Q4,406,3988.036945812808,1.3189587733384913,1.7121183112140166,1.0836096846260823,1.9908726821471516,3.273157634071089,0.4605911330049261,0.7733990147783252,0.9532019704433498,1.9111623323355156,3.7719977672914444,6.486927913684462,2.907856606474293
Q2,Q1,406,395.0295566502463,2.9172129891773007,4.307517361001477,1.8479852035723165,4.546617252548211,8.962322339405738,0.3768472906403941,0.6724137931034483,0.8669950738916257,2.9890090816715613,6.5541149015345,11.209352479943675,7.122514856730681
Q2,Q2,406,1286.5714285714287,1.815182817821142,2.5058541970505197,1.3447711322643134,2.846879272853285,4.736458080635904,0.4433497536945813,0.729064039408867,0.8940886699507389,2.3764073402885404,4.587288734206268,7.271591010914979,4.230549050786413
Q2,Q3,406,2298.256157635468,1.3836033188418142,1.7865856073040511,1.144133311874857,2.1916528345573525,3.269533851773102,0.4827586206896552,0.7980295566502463,0.9482758620689655,2.246338834373702,4.326343809872732,6.758075746690178,3.0394841608250434
Q2,Q4,406,3988.036945812808,1.3189587733384913,1.7121183112140166,1.0836096846260823,1.9908726821471516,3.273157634071089,0.4827586206896552,0.8349753694581281,0.9532019704433498,2.0966062826811007,4.281735100688279,6.925078928279875,2.9058315097795093
M1,Q1,406,395.0295566502463,2.9172129891773007,4.307517361001477,1.8479852035723165,4.546617252548211,8.962322339405738,0.39901477832512317,0.6724137931034483,0.9014778325123153,2.9696843606596937,6.540104155053044,12.373439172328643,7.154353179942989
M1,Q2,406,1286.5714285714287,1.815182817821142,2.5058541970505197,1.3447711322643134,2.846879272853285,4.736458080635904,0.46798029556650245,0.7364532019704434,0.9137931034482759,2.5053569540437755,4.629927704486206,7.739808623977252,4.209050508799057
M1,Q3,406,2298.256157635468,1.3836033188418142,1.7865856073040511,1.144133311874857,2.1916528345573525,3.269533851773102,0.5221674876847291,0.7881773399014779,0.9482758620689655,2.3871008012973136,4.209609870360316,6.672161002210666,3.0589752468358427
M1,Q4,406,3988.036945812808,1.3189587733384913,1.7121183112140166,1.0836096846260823,1.9908726821471516,3.273157634071089,0.5197044334975369,0.812807881773399,0.9458128078817734,2.2706503136708203,4.087145416467958,6.5613252808415226,2.9066353792631086
M2,Q1,406,395.0295566502463,2.9172129891773007,4.307517361001477,1.8479852035723165,4.546617252548211,8.962322339405738,0.39655172413793105,0.6822660098522167,0.8891625615763546,3.050303908244632,6.691260044957636,11.666197855716007,7.078117192257907
M2,Q2,406,1286.5714285714287,1.815182817821142,2.5058541970505197,1.3447711322643134,2.846879272853285,4.736458080635904,0.4630541871921182,0.7339901477832512,0.916256157635468,2.5049833248215543,4.683706355684848,8.384607501945665,4.199624486580182
M2,Q3,406,2298.256157635468,1.3836033188418142,1.7865856073040511,1.144133311874857,2.1916528345573525,3.269533851773102,0.5197044334975369,0.7783251231527094,0.9211822660098522,2.3772702076009793,4.116469327484451,6.600437334223902,3.0758562957191864
M2,Q4,406,3988.036945812808,1.3189587733384913,1.7121183112140166,1.0836096846260823,1.9908726821471516,3.273157634071089,0.47044334975369456,0.770935960591133,0.9211822660098522,2.085645585042759,3.7497677856722262,5.837813541995342,2.9164620313732157
