rowId,foldId,maxFeatureDate,asOfDate,futureDateMin,leakageOk
F1_1627741,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628369,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1626181,0,2024-11-06,2024-11-07,2024-11-08,true
F1_201942,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628401,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628991,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631106,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629652,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203076,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1629675,0,2024-11-07,2024-11-07,2024-11-08,true
F1_202696,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1630202,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1627747,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628983,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203999,0,2024-11-06,2024-11-07,2024-11-08,true
F1_201939,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628378,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203081,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629660,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1626157,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631260,0,2024-11-07,2024-11-07,2024-11-08,true
F1_202681,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628386,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631128,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1627783,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630598,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629599,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630643,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630162,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1627734,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631218,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629636,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630541,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203078,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629673,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1641717,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630224,0,2024-11-06,2024-11-07,2024-11-08,true
F1_201142,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1626164,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631114,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1626220,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203501,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629655,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631172,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203471,0,2024-11-04,2024-11-07,2024-11-08,true
F1_200768,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629639,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1627739,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628449,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630596,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203507,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1630241,0,2024-11-06,2024-11-07,2024-11-08,true
F1_201143,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630198,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641726,0,2024-11-03,2024-11-07,2024-11-08,true
F1_1630188,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1630533,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1630625,0,2024-11-07,2024-11-07,2024-11-08,true
F1_202691,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628415,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203924,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1630591,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630700,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630532,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203937,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203944,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629674,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629731,0,2024-11-02,2024-11-07,2024-11-08,true
F1_1629638,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1630534,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641716,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1627780,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628989,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630215,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1631095,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629750,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628998,0,2024-11-06,2024-11-07,2024-11-08,true
F1_202710,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631165,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628384,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1627832,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203952,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1626172,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628973,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631096,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630322,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629008,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1627752,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1627742,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641744,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641767,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203497,0,2024-11-07,2024-11-07,2024-11-08,true
F1_203897,0,2024-11-01,2024-11-07,2024-11-08,true
F1_1629312,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629634,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630577,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1630578,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628368,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630230,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630217,0,2024-10-30,2024-11-07,2024-11-08,true
F1_1631103,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629631,0,2024-10-25,2024-11-07,2024-11-08,true
F1_1630231,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630540,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629651,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1631124,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1642367,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1642419,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630194,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629060,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1629001,0,2024-10-27,2024-11-07,2024-11-08,true
F1_1641712,0,2024-11-07,2024-11-07,2024-11-08,true
F1_203991,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630171,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1627759,0,2024-11-01,2024-11-07,2024-11-08,true
F1_203110,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628436,0,2024-11-06,2024-11-07,2024-11-08,true
F1_201950,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628370,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628418,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1629029,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629723,0,2024-10-30,2024-11-07,2024-11-08,true
F1_1630573,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641711,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629640,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1642278,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641796,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630572,0,2024-11-07,2024-11-07,2024-11-08,true
F1_101108,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1631157,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629629,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630537,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629656,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631105,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628380,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1642346,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629111,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629661,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1626204,0,2024-11-03,2024-11-07,2024-11-08,true
F1_1627826,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629646,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1631097,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631093,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628975,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629023,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1642349,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641748,0,2024-11-07,2024-11-07,2024-11-08,true
F1_201959,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631321,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1631116,0,2024-10-30,2024-11-07,2024-11-08,true
F1_1641816,0,2024-11-06,2024-11-07,2024-11-08,true
F1_202692,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628420,0,2024-11-02,2024-11-07,2024-11-08,true
F1_202709,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1630548,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1627884,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203084,0,2024-11-07,2024-11-07,2024-11-08,true
F1_203939,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628960,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630560,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1630168,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631204,0,2024-11-03,2024-11-07,2024-11-08,true
F1_1627936,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631099,0,2024-11-06,2024-11-07,2024-11-08,true
F1_201587,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628379,0,2024-11-06,2024-11-07,2024-11-08,true
F1_202331,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630811,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641737,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629659,0,2024-11-07,2024-11-07,2024-11-08,true
F1_2544,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631216,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1630553,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1641842,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630631,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629726,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641708,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629028,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629637,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631217,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641733,0,2024-11-04,2024-11-07,2024-11-08,true
F1_203926,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630193,0,2024-10-23,2024-11-07,2024-11-08,true
F1_1642276,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628969,0,2024-11-06,2024-11-07,2024-11-08,true
