feature,scope,total,available,missing,availabilityPct,minN,medianN
R1,overall,1982,1982,0,1,51,1340
R1,F1,358,358,0,1,,
R1,F2,389,389,0,1,,
R1,F3,406,406,0,1,,
R1,F4,412,412,0,1,,
R1,F5,417,417,0,1,,
R1,Q1,497,497,0,1,,
R1,Q2,495,495,0,1,,
R1,Q3,495,495,0,1,,
R1,Q4,495,495,0,1,,
R2,overall,1982,1982,0,1,51,1340
R2,F1,358,358,0,1,,
R2,F2,389,389,0,1,,
R2,F3,406,406,0,1,,
R2,F4,412,412,0,1,,
R2,F5,417,417,0,1,,
R2,Q1,497,497,0,1,,
R2,Q2,495,495,0,1,,
R2,Q3,495,495,0,1,,
R2,Q4,495,495,0,1,,
R3,overall,1982,1982,0,1,51,1340
R3,F1,358,358,0,1,,
R3,F2,389,389,0,1,,
R3,F3,406,406,0,1,,
R3,F4,412,412,0,1,,
R3,F5,417,417,0,1,,
R3,Q1,497,497,0,1,,
R3,Q2,495,495,0,1,,
R3,Q3,495,495,0,1,,
R3,Q4,495,495,0,1,,
