feature,scope,n,mean,sd,min,P1,P5,P25,median,P75,P95,P99,max,zeroShare
R1,overall,1982,2.13501650001622,1.8511391692230115,0.06028837979894485,0.29887321702431247,0.556612641342485,1.0648738172110774,1.5894203256833654,2.560361603224542,5.5681282004283155,10.05352860993783,17.132850715848132,0
R1,F1,358,3.0483834351765946,2.1073747378039234,0.44422293378685374,0.5241217148542315,0.9128476501888217,1.7014500720069121,2.51442902928481,3.59530475653521,6.9223109292673985,11.320410118139186,15.373513525725354,0
R1,F2,389,2.330423747044911,1.980982092242493,0.2780318656637234,0.3558086173064413,0.7147568222030876,1.1902659868909342,1.7835600194064238,2.66920152539343,6.078975102677726,9.35191579266035,16.37318986850825,0
R1,F3,406,1.9402376395732361,1.5786277512933191,0.1516728350333947,0.3890778288748794,0.5230519945764425,1.0169491209603005,1.5163531439773632,2.3034683157121063,4.480028484882004,6.563909300426581,17.132850715848132,0
R1,F4,412,1.7705144533413526,1.5854628789580991,0.1756532179258051,0.2750245079460938,0.47007049822471125,0.9307945663711946,1.3330343710063255,1.939722379332807,4.537304844917618,8.412770262470898,13.73140122659044,0
R1,F5,417,1.7183648901560635,1.6763631583159078,0.06028837979894485,0.18796933395858884,0.46246296996533515,0.8477318910547258,1.1758230445885667,1.840112689762609,4.835215101416331,8.861353023741554,15.801213841064433,0
R2,overall,1982,2.098781523165088,2.3552437092099856,0.00007348473207879902,0.024342910533806328,0.13975763334819913,0.6468208747094986,1.4120357511543422,2.5866813008156,6.217168800417055,11.347640421262378,22.91396940900658,0
R2,F1,358,2.9651930016765906,2.766470880552631,0.005342674957070415,0.08564663671813108,0.26531739311447045,1.1789280346769169,2.236160214604718,3.96104384915441,8.064128782223241,13.408856100682264,21.361870894505486,0
R2,F2,389,2.3609481971778874,2.5596908086702994,0.00503793097838745,0.04845812780279557,0.19446100994291582,0.8285917101563371,1.601356748774082,2.9753309945302986,6.80889358854546,12.739035203070621,22.91396940900658,0
R2,F3,406,1.8933857312702214,2.029774775848568,0.00007348473207879902,0.02139825298369258,0.10686753897184587,0.6562447704092051,1.3334489560033698,2.3557109298458054,5.098491214501131,9.893553041377421,15.39475610178021,0
R2,F4,412,1.659834672268639,1.827548883280813,0.0094961863335193,0.03252659788167911,0.11486101137584581,0.5032098423593943,1.1571598788225002,2.073330566270455,5.3105158166383175,7.149176940105662,17.288365770682464,0
R2,F5,417,1.7440540617275757,2.303492207323116,0.0036576536688857075,0.015905889767697134,0.10600085504276635,0.5263189406720827,1.0872122092538714,2.078756082105305,5.77426955140472,8.868256339723217,22.890756139865523,0
R3,overall,1982,39.67817802660936,5.778251807379435,21.09721412289639,26.53364315670356,30.415894143149323,35.84617635570684,39.51095471156387,43.52810624696463,49.19004741751615,52.94639329538538,61.071245818453626,0
R3,F1,358,39.5341371086035,6.121977415607663,21.09721412289639,24.354080732741508,29.17274193020368,35.74706418198165,39.3782839697293,43.33021258824045,49.60980647121502,53.70827615935178,56.395783466408346,0
R3,F2,389,39.576972583418275,5.894962212850573,22.361643449863163,25.706028398429158,30.28458784395418,35.46896182103026,39.398176877183936,43.585314676395356,49.70401363630682,52.500139939159176,56.732690375776926,0
R3,F3,406,39.744107071656465,5.74451670556224,24.77975755995408,26.71904201167551,30.572441406338697,35.814690333556825,39.513158301853494,43.428634897192396,48.91192900351036,52.04668897185625,61.071245818453626,0
R3,F4,412,39.61564587949107,5.707810750288336,22.89372047613007,26.449006898001727,30.152152518504742,35.95413452684095,39.45609046448217,43.41433211352966,48.832461233918906,51.99808694108315,56.29993734837715,0
R3,F5,417,39.89384138001698,5.449908005216987,23.170311823988573,27.915781861035406,31.050159364377013,36.36138676534988,39.67727563356618,43.718526566584245,48.65462035355617,52.03500799496712,55.65615538969967,0
