feature,adjacent,nPlayers,pearson,spearman,medianAbsChange,P90AbsChange
R1,F1->F2,333,0.6653470560934543,0.5074097977928871,0.9857967547969055,2.724309753067104
R1,F2->F3,365,0.6897573792865399,0.5804105393820193,0.5521250630201595,1.5675786736613886
R1,F3->F4,376,0.546107667572131,0.5742863592753541,0.4803000368818424,1.4104066677636915
R1,F4->F5,387,0.7639957752042087,0.6052033346459579,0.3730550574951679,1.208889638672697
R2,F1->F2,333,0.16846651449356667,0.042252518733292124,1.5563401579079352,4.63607277219375
R2,F2->F3,365,0.3864955916230127,0.2812535320058338,0.9424705780131543,2.9736161358302358
R2,F3->F4,376,0.40322461994208675,0.3684727129070489,0.7579694765887227,2.612971271072807
R2,F4->F5,387,0.5959924249685786,0.44442360256214364,0.628537524302094,2.065108202027024
R3,F1->F2,333,0.9254518322200027,0.916975557189106,1.249335435915718,3.797036390039409
R3,F2->F3,365,0.9506162994616245,0.9532558615873236,0.7179025810105202,2.4112845001760803
R3,F3->F4,376,0.9711812462189006,0.9722415486201252,0.6893507958132226,1.6610955755803474
R3,F4->F5,387,0.970175973907354,0.9701709186176946,0.4423144692156882,1.8024970625630843
