fold,feature,median_log1p,IQR_log1p,nTrain
EVAL_F2,R1,1.2568770737422936,0.5312463845703642,358
EVAL_F2,R2,1.1743875080462856,0.8227831434020625,358
EVAL_F2,R3,3.698292114946731,0.18760810806631056,358
EVAL_F3,R1,1.1390878101275965,0.5333915404869896,747
EVAL_F3,R2,1.0611799653158638,0.8072190914330469,747
EVAL_F3,R3,3.6986646965477075,0.19597747760085138,747
EVAL_F4,R1,1.0506732583912555,0.5584460836263091,1153
EVAL_F4,R2,0.9848024021060191,0.811340765286301,1153
EVAL_F4,R3,3.6989774245046747,0.1930798135632914,1153
EVAL_F5,R1,0.9943779141671283,0.5386668618294813,1565
EVAL_F5,R2,0.9174391498349277,0.7969913137886898,1565
EVAL_F5,R3,3.699130874213218,0.19035301730140164,1565
