featureSet,fold,evalFoldId,nTrain,sigmaFloor,c,gamma_R1,gamma_R2,gamma_R3,startNll,finalNll,iterations,converged,q50,q80,q95
F0,EVAL_F2,1,358,1.5259561719612067,30.025293828967044,,,,448.66851752453096,448.66851752453096,0,true,0.6550547019645668,1.2249251785249902,1.9333920089889556
F1,EVAL_F2,1,358,1.7494138751333999,21.906731154260907,0.1574535369873047,,,448.66851752453096,445.8242214168979,346,true,0.6421997384056238,1.2297557761990783,1.8364782859885334
F2,EVAL_F2,1,358,1.5327028809037921,29.846431755778525,,0.004650878906250001,,448.66851752453096,448.664739091921,238,true,0.6535909652982416,1.2221813492546494,1.938142879211026
F3,EVAL_F2,1,358,1.4429454228613667,32.0694988989282,,,0.08294372558593752,448.66851752453096,447.50755467085764,292,true,0.645487978907332,1.2317018418782073,1.9351845059818875
F_ALL,EVAL_F2,1,358,1.6908378697861812,24.027899033684342,0.14202976226806643,0,0.05327987670898438,448.66851752453096,445.3485105123495,780,true,0.6378924596178472,1.2321993724062164,1.8228497815862073
F0,EVAL_F3,2,747,1.5961739317298163,37.08585272115063,,,,982.4491259576014,982.4491259576014,0,true,0.596190564031881,1.1458568055159168,1.8859403849222007
F1,EVAL_F3,2,747,1.5961739317298163,37.08585272115063,0,,,982.4491259576014,982.4491259576014,136,true,0.596190564031881,1.1458568055159168,1.8859403849222007
F2,EVAL_F3,2,747,1.5961739317298163,37.08585272115063,,0,,982.4491259576014,982.4491259576014,136,true,0.596190564031881,1.1458568055159168,1.8859403849222007
F3,EVAL_F3,2,747,1.5802156031634713,37.591901633220516,,,0.019225978851318364,982.4491259576014,982.3412974683796,286,true,0.5952567892733345,1.1630447490416826,1.8748210901212234
F_ALL,EVAL_F3,2,747,1.5802156031634713,37.591901633220516,0,0,0.019225978851318364,982.4491259576014,982.3412974683796,490,true,0.5952567892733345,1.1630447490416826,1.8748210901212234
F0,EVAL_F4,3,1153,1.484882710447866,48.16630032460766,,,,1563.3381752755304,1563.3381752755304,0,true,0.5730457761430553,1.1455336574329096,1.9661474547078552
F1,EVAL_F4,3,1153,1.5353815141189702,46.44684649790333,0.023789882659912113,,,1563.3381752755304,1563.1757560197002,382,true,0.5735861077548526,1.1463665199517894,1.9570162665136241
F2,EVAL_F4,3,1153,1.484882710447866,48.16630032460766,,0,,1563.3381752755304,1563.3381752755304,142,true,0.5730457761430553,1.1455336574329096,1.9661474547078552
F3,EVAL_F4,3,1153,1.4247035271804167,49.842169248216756,,,0.05028941631317139,1563.3381752755304,1562.1599162726318,286,true,0.5701768264300594,1.1393228209192998,1.952284912440955
F_ALL,EVAL_F4,3,1153,1.4247035271804167,49.842169248216756,0,0,0.05028941631317139,1563.3381752755304,1562.1599162726318,490,true,0.5701768264300594,1.1393228209192998,1.952284912440955
F0,EVAL_F5,4,1565,1.3902080449946768,59.31996423993783,,,,2195.3581536979977,2195.3581536979977,0,true,0.5556492389702836,1.0969704060496428,1.9212475644223566
F1,EVAL_F5,4,1565,1.4477591614886094,57.42191211949077,0.022609710693359375,,,2195.3581536979977,2195.1390705346907,538,true,0.5560303798627725,1.097642813657769,1.9023125424057314
F2,EVAL_F5,4,1565,1.3902080449946768,59.31996423993783,,0,,2195.3581536979977,2195.3581536979977,142,true,0.5556492389702836,1.0969704060496428,1.9212475644223566
F3,EVAL_F5,4,1565,1.2973043776687039,61.694561805472155,,,0.07782094478607178,2195.3581536979977,2191.2422379347695,358,true,0.5528625296300782,1.0912616416522558,1.927195591547702
F_ALL,EVAL_F5,4,1565,1.2973043776687039,61.694561805472155,0,0,0.07782094478607178,2195.3581536979977,2191.2422379347695,610,true,0.5528625296300782,1.0912616416522558,1.927195591547702
