candidate,UQ,n,meanSigma,MAE,RMSE,P80_abs,P95_abs,spearman_sigma_absErr
F0,UQ1,406,1.6597745632709568,1.2810523905515385,1.5900576448641452,1.9715974583367937,3.015598339142306,0.2501169308096455
F0,UQ2,406,1.7481943181920214,1.4207479292004055,1.9093165214611882,2.1536104301208687,3.8951096488374293,0.2501169308096455
F0,UQ3,406,1.9171854544417304,1.779758724777002,2.500822386972436,2.8006940274566667,4.736458080635904,0.2501169308096455
F0,UQ4,406,3.049756885730599,2.953398854649802,4.304574637722881,4.570953413586547,8.56713860708311,0.2501169308096455
F1,UQ1,406,1.626549136799795,1.3497446669628284,1.791050203295627,2.002042586475402,3.0930366253725623,0.24275552760070576
F1,UQ2,406,1.7490497067984994,1.3829297525927122,1.8480952652343803,2.0607627355276392,3.5189691188323136,0.24275552760070576
F1,UQ3,406,1.91670117778545,1.7402883764913448,2.367876242656766,2.768867074346326,4.597875859026771,0.24275552760070576
F1,UQ4,406,3.0580774154901045,2.9619951031318634,4.327481192955064,4.570953413586547,8.936835822935702,0.24275552760070576
F2,UQ1,406,1.6601708331494256,1.2737549481152874,1.5837064724478636,1.9652992673838177,3.015598339142306,0.25019353239023073
F2,UQ2,406,1.7485109060177395,1.4330177716371655,1.9180631607132748,2.188375522629012,3.8951096488374293,0.25019353239023073
F2,UQ3,406,1.9169177873109957,1.774786324776493,2.4981579263408116,2.8006940274566667,4.736458080635904,0.25019353239023073
F2,UQ4,406,3.049592883832238,2.953398854649802,4.304574637722881,4.570953413586547,8.56713860708311,0.25019353239023073
F3,UQ1,406,1.6200121733415118,1.2820185817507652,1.6722930368249944,1.9704161606557746,2.9856460492651293,0.2528302422289292
F3,UQ2,406,1.736125518126948,1.4223237031604172,1.8754178290322019,2.2017808547214166,3.5533307802238703,0.2528302422289292
F3,UQ3,406,1.8918642300675383,1.7676971750883879,2.442552197340415,2.711925467871144,5.174118845743095,0.2528302422289292
F3,UQ4,406,3.0623644956748417,2.9629184391791816,4.321739354105872,4.546617252548211,8.936835822935702,0.2528302422289292
F_ALL,UQ1,406,1.5969275067066357,1.331805394695369,1.8107904302928015,2.002042586475402,3.1047129624777594,0.2452438083937861
F_ALL,UQ2,406,1.733978379155429,1.3940068065098197,1.8059306151399632,2.1536104301208687,3.5189691188323136,0.2452438083937861
F_ALL,UQ3,406,1.8947198680175772,1.7417671453896746,2.387377186170807,2.692560478997469,4.736458080635904,0.2452438083937861
F_ALL,UQ4,406,3.0675076743156287,2.9673785525838876,4.326353096759037,4.546617252548211,8.936835822935702,0.2452438083937861
