quartile,model,n,medianHistoricalN,RMSE,MAE,bias
Q1,RESEARCH_FINAL,114,591,2.9880856856768427,2.1809298477212637,0.2563357487771861
Q1,B0_RAW_P,114,591,3.4386927818876454,2.6119955778240413,-0.2485815217709408
Q1,B1_P_EB200,114,591,3.060703304180695,2.302873732935419,-0.04858941467946178
Q2,RESEARCH_FINAL,114,2521,2.4706988269973804,1.359302429281544,0.35605589748075533
Q2,B0_RAW_P,114,2521,2.5186633867163044,1.4059608096366103,0.24294400881509529
Q2,B1_P_EB200,114,2521,2.501762065483367,1.3835288044821057,0.266185262606124
Q3,RESEARCH_FINAL,114,4422,1.6620682332010681,1.1184775483190856,0.0702106993227831
Q3,B0_RAW_P,114,4422,1.6117403412142077,1.0795178677770887,0.09611378561285455
Q3,B1_P_EB200,114,4422,1.6167164652076869,1.0829560319943623,0.0919275618089171
Q4,RESEARCH_FINAL,116,6456,1.1705322385842696,0.8951129251058823,-0.16301556606558457
Q4,B0_RAW_P,116,6456,1.2183524235916716,0.9384102803736135,-0.09412234686544187
Q4,B1_P_EB200,116,6456,1.2086467617368493,0.9293812709808194,-0.10446512817982938
