season,playerId,playerName,teamId,teamStintCombinedAppearances,observedRawStintAttributedValue,gamesWithTeam,firstGameDate,lastGameDate
2024-25,101108,Chris Paul,1610612759,9301,-60.335435348399386,80,2024-10-24,2025-04-13
2024-25,1626143,Jahlil Okafor,1610612754,15,1.0999980959655136,1,2025-02-11,2025-02-11
2024-25,1626145,Tyus Jones,1610612756,8820,3.6417449717673662,81,2024-10-23,2025-04-13
2024-25,1626153,Delon Wright,1610612749,1665,-10.338845002670313,26,2024-10-23,2025-02-03
2024-25,1626153,Delon Wright,1610612752,906,-4.09679344803219,14,2025-02-08,2025-04-13
2024-25,1626156,D'Angelo Russell,1610612747,3198,-31.739193872077205,29,2024-10-22,2024-12-28
2024-25,1626156,D'Angelo Russell,1610612751,2948,-51.86681216915986,29,2025-01-01,2025-04-03
2024-25,1626157,Karl-Anthony Towns,1610612752,10077,84.15835586316994,72,2024-10-22,2025-04-10
2024-25,1626158,Richaun Holmes,1610612764,2259,30.06385788240536,30,2024-11-08,2025-04-02
2024-25,1626162,Kelly Oubre Jr.,1610612755,8388,16.378740058764357,60,2024-10-23,2025-03-12
2024-25,1626164,Devin Booker,1610612756,11430,-19.744569957290302,75,2024-10-23,2025-04-11
2024-25,1626166,Cameron Payne,1610612752,4428,13.504860938950669,72,2024-10-22,2025-04-13
2024-25,1626167,Myles Turner,1610612754,8645,37.972229244720616,70,2024-10-23,2025-04-13
2024-25,1626168,Trey Lyles,1610612758,5483,-31.22144093533523,69,2024-10-24,2025-04-13
2024-25,1626171,Bobby Portis,1610612749,5132,-40.52263969793164,48,2024-10-23,2025-04-11
2024-25,1626172,Kevon Looney,1610612744,4598,30.297246747954443,76,2024-10-23,2025-04-13
2024-25,1626179,Terry Rozier,1610612748,6584,-112.46672214196349,63,2024-10-23,2025-04-13
2024-25,1626181,Norman Powell,1610612746,8057,170.71641432023654,60,2024-10-23,2025-04-13
2024-25,1626192,Pat Connaughton,1610612749,2454,-17.644308055784716,41,2024-10-23,2025-04-13
2024-25,1626196,Josh Richardson,1610612748,578,-14.8242826266261,7,2024-11-04,2024-11-18
2024-25,1626204,Larry Nance Jr.,1610612737,1998,16.913999344028074,24,2024-10-28,2025-02-10
2024-25,1626220,Royce O'Neale,1610612756,7432,14.489402509149112,75,2024-10-23,2025-04-13
2024-25,1627732,Ben Simmons,1610612746,1180,-24.914158935063373,18,2025-02-13,2025-04-13
2024-25,1627732,Ben Simmons,1610612751,3300,-84.76254060475769,33,2024-10-23,2025-02-05
2024-25,1627734,Domantas Sabonis,1610612758,10119,60.020192688572244,70,2024-10-24,2025-04-13
2024-25,1627736,Malik Beasley,1610612765,9795,120.02385779853634,82,2024-10-23,2025-04-13
2024-25,1627739,Kris Dunn,1610612746,7311,18.17225416483897,74,2024-10-23,2025-04-13
2024-25,1627741,Buddy Hield,1610612744,7528,33.74036475267799,82,2024-10-23,2025-04-13
2024-25,1627742,Brandon Ingram,1610612740,2446,-15.421593794507212,18,2024-10-23,2024-12-07
2024-25,1627746,Skal Labissiere,1610612758,42,-0.563035562499829,3,2025-03-03,2025-03-10
2024-25,1627747,Caris LeVert,1610612737,2951,17.645972554588553,26,2025-02-08,2025-04-11
2024-25,1627747,Caris LeVert,1610612739,3828,-0.42216343232947046,38,2024-10-23,2025-02-05
2024-25,1627749,Dejounte Murray,1610612740,4195,-77.66011377180529,31,2024-10-23,2025-01-31
2024-25,1627750,Jamal Murray,1610612743,10017,47.31080796653753,67,2024-10-24,2025-04-13
2024-25,1627751,Jakob Poeltl,1610612761,7060,73.8620317670233,57,2024-10-23,2025-04-04
2024-25,1627752,Taurean Prince,1610612749,8916,-10.092798776785676,79,2024-10-23,2025-04-11
2024-25,1627759,Jaylen Brown,1610612738,8799,-17.85707749733454,63,2024-10-22,2025-04-08
2024-25,1627763,Malcolm Brogdon,1610612764,2359,2.3524998901151277,24,2024-11-17,2025-02-12
2024-25,1627777,Georges Niang,1610612737,2745,-15.405692397470224,28,2025-02-08,2025-04-11
2024-25,1627777,Georges Niang,1610612739,4422,-5.316142072446009,51,2024-10-23,2025-02-05
2024-25,1627780,Gary Payton II,1610612744,3791,53.32392011243242,62,2024-10-23,2025-04-13
2024-25,1627783,Pascal Siakam,1610612754,10334,128.26846584916083,76,2024-10-23,2025-04-10
2024-25,1627814,Damion Lee,1610612756,604,2.449731534122542,25,2024-10-26,2025-04-13
2024-25,1627824,Guerschon Yabusele,1610612755,7585,-22.508386006592936,70,2024-10-23,2025-04-05
2024-25,1627826,Ivica Zubac,1610612746,10739,138.89645075974073,80,2024-10-23,2025-04-13
2024-25,1627827,Dorian Finney-Smith,1610612747,4942,5.188027687682278,43,2024-12-31,2025-04-11
2024-25,1627827,Dorian Finney-Smith,1610612751,2317,15.935144791385957,20,2024-10-23,2024-12-27
2024-25,1627832,Fred VanVleet,1610612745,8397,36.68088708410638,59,2024-10-23,2025-04-13
2024-25,1627884,Derrick Jones Jr.,1610612746,7733,68.21650750590577,77,2024-10-23,2025-04-13
2024-25,1627936,Alex Caruso,1610612760,4268,63.942892211011944,53,2024-10-24,2025-04-09
2024-25,1628365,Markelle Fultz,1610612758,766,-12.292440915807244,21,2025-02-21,2025-04-13
2024-25,1628366,Lonzo Ball,1610612741,3363,12.775169088073913,35,2024-10-23,2025-02-28
2024-25,1628368,De'Aaron Fox,1610612758,6905,47.962261220342846,45,2024-10-24,2025-02-01
2024-25,1628368,De'Aaron Fox,1610612759,2430,-44.786215131105976,17,2025-02-05,2025-03-12
2024-25,1628369,Jayson Tatum,1610612738,10587,54.763244620990676,72,2024-10-22,2025-04-11
2024-25,1628370,Malik Monk,1610612758,8545,-63.185599354255444,65,2024-10-24,2025-04-07
2024-25,1628371,Jonathan Isaac,1610612753,4369,11.300282074489465,71,2024-10-23,2025-04-13
2024-25,1628374,Lauri Markkanen,1610612762,6152,34.23759932054056,47,2024-10-23,2025-03-17
2024-25,1628378,Donovan Mitchell,1610612739,9308,93.31412516785728,71,2024-10-23,2025-04-06
2024-25,1628379,Luke Kennard,1610612763,6333,18.437046978507286,65,2024-11-06,2025-04-11
2024-25,1628380,Zach Collins,1610612741,2303,3.7886249240887815,28,2025-02-11,2025-04-13
2024-25,1628380,Zach Collins,1610612759,1736,-2.3290538445769906,34,2024-10-24,2025-02-01
2024-25,1628381,John Collins,1610612762,5113,67.94100762031005,40,2024-10-23,2025-03-12
2024-25,1628384,OG Anunoby,1610612752,10928,117.63242796433023,74,2024-10-22,2025-04-11
2024-25,1628386,Jarrett Allen,1610612739,9655,135.30294743988773,82,2024-10-23,2025-04-13
2024-25,1628389,Bam Adebayo,1610612748,10589,-49.30905994213981,77,2024-10-23,2025-04-11
2024-25,1628392,Isaiah Hartenstein,1610612760,6484,-22.785721187090996,56,2024-11-20,2025-04-08
2024-25,1628396,Tony Bradley,1610612754,486,11.911577608811548,13,2025-03-02,2025-04-13
2024-25,1628398,Kyle Kuzma,1610612749,4447,-70.4382320956911,33,2025-02-07,2025-04-13
2024-25,1628398,Kyle Kuzma,1610612764,3811,-64.54657801621913,32,2024-10-24,2025-02-03
2024-25,1628401,Derrick White,1610612738,10451,52.13176480553217,76,2024-10-22,2025-04-11
2024-25,1628404,Josh Hart,1610612752,11694,6.840491919875354,77,2024-10-22,2025-04-11
2024-25,1628408,PJ Dozier,1610612750,149,0.5327079499218266,9,2024-11-02,2024-12-23
2024-25,1628415,Dillon Brooks,1610612745,9518,77.00329844697019,74,2024-10-23,2025-04-13
2024-25,1628418,Thomas Bryant,1610612748,406,4.110616256420537,9,2024-10-23,2024-12-08
2024-25,1628418,Thomas Bryant,1610612754,3489,-1.170231336837651,54,2024-12-15,2025-04-13
2024-25,1628420,Monté Morris,1610612756,2343,17.805995909104617,45,2024-10-23,2025-04-13
2024-25,1628427,Vlatko Čančar,1610612743,560,-7.2357428504481724,13,2024-10-24,2025-04-04
2024-25,1628436,Luke Kornet,1610612738,5296,73.09437518998138,73,2024-10-22,2025-04-13
2024-25,1628449,Chris Boucher,1610612761,3459,70.5311890194672,49,2024-10-23,2025-02-26
2024-25,1628464,Daniel Theis,1610612740,2604,-36.6605067646013,38,2024-10-23,2025-01-29
2024-25,1628467,Maxi Kleber,1610612742,2673,-47.425074152019185,34,2024-10-24,2025-01-25
2024-25,1628470,Torrey Craig,1610612738,788,-12.629819353430179,17,2025-02-12,2025-04-13
2024-25,1628470,Torrey Craig,1610612741,477,12.933492237933839,9,2024-10-30,2024-12-30
2024-25,1628960,Grayson Allen,1610612756,6277,10.600893264351598,64,2024-10-23,2025-04-13
2024-25,1628963,Marvin Bagley III,1610612763,414,-2.6509554671303364,12,2025-02-20,2025-04-13
2024-25,1628963,Marvin Bagley III,1610612764,756,8.195690440964036,18,2024-10-24,2024-12-23
2024-25,1628964,Mo Bamba,1610612740,231,-4.280861600976108,4,2025-03-11,2025-03-17
2024-25,1628964,Mo Bamba,1610612746,1414,-13.855681320873359,28,2024-11-17,2025-01-27
2024-25,1628969,Mikal Bridges,1610612752,12218,-6.742645304717812,82,2024-10-22,2025-04-13
2024-25,1628970,Miles Bridges,1610612766,8345,57.0691068140477,64,2024-10-23,2025-04-08
2024-25,1628971,Bruce Brown,1610612740,2356,-22.104888120599256,23,2025-02-12,2025-04-08
2024-25,1628971,Bruce Brown,1610612761,1443,-0.4664299798338923,18,2024-12-29,2025-02-05
2024-25,1628973,Jalen Brunson,1610612752,9338,49.644175823945886,65,2024-10-22,2025-04-11
2024-25,1628975,Jevon Carter,1610612741,1366,1.2614885818936847,35,2024-10-26,2025-04-13
2024-25,1628976,Wendell Carter Jr.,1610612753,7120,-21.663763804849754,68,2024-10-23,2025-04-13
2024-25,1628978,Donte DiVincenzo,1610612750,6658,27.601265943527704,62,2024-10-22,2025-04-13
2024-25,1628981,Bruno Fernando,1610612761,640,-1.8716600563839871,16,2024-10-23,2024-12-31
2024-25,1628983,Shai Gilgeous-Alexander,1610612760,10880,300.769723363203,75,2024-10-24,2025-04-08
2024-25,1628988,Aaron Holiday,1610612745,3271,21.73116375314573,61,2024-10-25,2025-04-13
2024-25,1628989,Kevin Huerter,1610612741,3331,24.55962182893472,26,2025-02-08,2025-04-13
2024-25,1628989,Kevin Huerter,1610612758,3795,-14.244673383365772,43,2024-10-24,2025-02-01
2024-25,1628991,Jaren Jackson Jr.,1610612763,9713,135.44099933095353,74,2024-10-26,2025-04-11
2024-25,1628995,Kevin Knox II,1610612744,349,-8.399751898883322,14,2025-02-21,2025-04-11
2024-25,1628997,Caleb Martin,1610612742,1133,-9.627267589794833,14,2025-03-07,2025-04-13
2024-25,1628997,Caleb Martin,1610612755,3774,-38.03603851099948,31,2024-10-23,2025-01-10
2024-25,1628998,Cody Martin,1610612756,849,-12.569602481602272,14,2025-03-16,2025-04-13
2024-25,1628998,Cody Martin,1610612766,3968,7.393194767295197,39,2024-10-23,2025-01-24
2024-25,1629001,De'Anthony Melton,1610612744,527,7.78686155357407,6,2024-10-23,2024-11-12
2024-25,1629003,Shake Milton,1610612747,1381,-20.94073668265266,30,2024-12-31,2025-04-13
2024-25,1629003,Shake Milton,1610612751,2026,12.089313939904839,27,2024-10-23,2024-12-27
2024-25,1629004,Svi Mykhailiuk,1610612762,3140,-31.622157893032437,38,2024-11-02,2025-04-13
2024-25,1629006,Josh Okogie,1610612756,1417,21.655524145874075,25,2024-11-08,2025-01-11
2024-25,1629006,Josh Okogie,1610612766,1107,30.870046489406125,15,2025-01-20,2025-04-13
2024-25,1629008,Michael Porter Jr.,1610612743,10812,46.574937205213445,77,2024-10-24,2025-04-13
2024-25,1629011,Mitchell Robinson,1610612752,1139,11.461018213072522,17,2025-02-28,2025-04-11
2024-25,1629012,Collin Sexton,1610612762,7276,38.864155149718364,63,2024-10-23,2025-04-09
2024-25,1629013,Landry Shamet,1610612752,3088,23.78082788133359,50,2024-12-23,2025-04-13
2024-25,1629014,Anfernee Simons,1610612757,9310,23.314824896325508,70,2024-10-23,2025-03-30
2024-25,1629018,Gary Trent Jr.,1610612749,7728,63.21192650009308,73,2024-10-23,2025-04-11
2024-25,1629020,Jarred Vanderbilt,1610612747,2355,-15.542310024627104,36,2025-01-25,2025-04-11
2024-25,1629021,Moritz Wagner,1610612753,2282,34.97488353439634,30,2024-10-23,2024-12-21
2024-25,1629022,Lonnie Walker IV,1610612755,1994,-0.35941667245753484,20,2025-02-22,2025-04-13
2024-25,1629023,P.J. Washington,1610612742,7641,6.743323177825152,57,2024-10-24,2025-04-11
2024-25,1629026,Kenrich Williams,1610612760,4632,27.620699498761336,68,2024-11-11,2025-04-13
2024-25,1629027,Trae Young,1610612737,11689,-162.28819197084323,75,2024-10-23,2025-04-11
2024-25,1629028,Deandre Ayton,1610612757,4954,-20.030703927724073,40,2024-10-23,2025-02-10
