season,playerId,playerName,teamCount,teams,N_by_team,fraction_N_by_team,seasonN
2024-25,1626153,Delon Wright,2,1610612749|1610612752,1610612749:1665|1610612752:906,1610612749:0.647608|1610612752:0.352392,2571
2024-25,1626156,D'Angelo Russell,2,1610612747|1610612751,1610612747:3198|1610612751:2948,1610612747:0.520338|1610612751:0.479662,6146
2024-25,1627732,Ben Simmons,2,1610612746|1610612751,1610612746:1180|1610612751:3300,1610612746:0.263393|1610612751:0.736607,4480
2024-25,1627747,Caris LeVert,2,1610612737|1610612739,1610612737:2951|1610612739:3828,1610612737:0.435315|1610612739:0.564685,6779
2024-25,1627777,Georges Niang,2,1610612737|1610612739,1610612737:2745|1610612739:4422,1610612737:0.383005|1610612739:0.616995,7167
2024-25,1627827,Dorian Finney-Smith,2,1610612747|1610612751,1610612747:4942|1610612751:2317,1610612747:0.680810|1610612751:0.319190,7259
2024-25,1628368,De'Aaron Fox,2,1610612758|1610612759,1610612758:6905|1610612759:2430,1610612758:0.739689|1610612759:0.260311,9335
2024-25,1628380,Zach Collins,2,1610612741|1610612759,1610612741:2303|1610612759:1736,1610612741:0.570191|1610612759:0.429809,4039
2024-25,1628398,Kyle Kuzma,2,1610612749|1610612764,1610612749:4447|1610612764:3811,1610612749:0.538508|1610612764:0.461492,8258
2024-25,1628418,Thomas Bryant,2,1610612748|1610612754,1610612748:406|1610612754:3489,1610612748:0.104236|1610612754:0.895764,3895
2024-25,1628470,Torrey Craig,2,1610612738|1610612741,1610612738:788|1610612741:477,1610612738:0.622925|1610612741:0.377075,1265
2024-25,1628963,Marvin Bagley III,2,1610612763|1610612764,1610612763:414|1610612764:756,1610612763:0.353846|1610612764:0.646154,1170
2024-25,1628964,Mo Bamba,2,1610612740|1610612746,1610612740:231|1610612746:1414,1610612740:0.140426|1610612746:0.859574,1645
2024-25,1628971,Bruce Brown,2,1610612740|1610612761,1610612740:2356|1610612761:1443,1610612740:0.620163|1610612761:0.379837,3799
2024-25,1628989,Kevin Huerter,2,1610612741|1610612758,1610612741:3331|1610612758:3795,1610612741:0.467443|1610612758:0.532557,7126
2024-25,1628997,Caleb Martin,2,1610612742|1610612755,1610612742:1133|1610612755:3774,1610612742:0.230895|1610612755:0.769105,4907
2024-25,1628998,Cody Martin,2,1610612756|1610612766,1610612756:849|1610612766:3968,1610612756:0.176251|1610612766:0.823749,4817
2024-25,1629003,Shake Milton,2,1610612747|1610612751,1610612747:1381|1610612751:2026,1610612747:0.405342|1610612751:0.594658,3407
2024-25,1629006,Josh Okogie,2,1610612756|1610612766,1610612756:1417|1610612766:1107,1610612756:0.561410|1610612766:0.438590,2524
2024-25,1629029,Luka Dončić,2,1610612742|1610612747,1610612742:3348|1610612747:4020,1610612742:0.454397|1610612747:0.545603,7368
2024-25,1629162,Jordan McLaughlin,2,1610612758|1610612759,1610612758:748|1610612759:508,1610612758:0.595541|1610612759:0.404459,1256
2024-25,1629234,Drew Eubanks,2,1610612746|1610612762,1610612746:698|1610612762:2374,1610612746:0.227214|1610612762:0.772786,3072
2024-25,1629611,Terance Mann,2,1610612737|1610612746,1610612737:2876|1610612746:2935,1610612737:0.494923|1610612746:0.505077,5811
2024-25,1629631,De'Andre Hunter,2,1610612737|1610612739,1610612737:4517|1610612739:2813,1610612737:0.616235|1610612739:0.383765,7330
2024-25,1629643,Chuma Okeke,2,1610612739|1610612755,1610612739:90|1610612755:736,1610612739:0.108959|1610612755:0.891041,826
2024-25,1629645,Kevin Porter Jr.,2,1610612746|1610612749,1610612746:3612|1610612749:2461,1610612746:0.594764|1610612749:0.405236,6073
