season,teamId,sumW0SeasonPoints,sumW1SeasonPoints,playerCount,teamTotalPlayerAppearanceExposure,note
2024-25,1610612737,127.12450687572144,88.22270861388557,21,83894,structural_only
2024-25,1610612738,363.9375740658586,340.1676642516193,18,79533,structural_only
2024-25,1610612739,475.48518274516573,445.9500975752602,21,82354,structural_only
2024-25,1610612740,-190.12675707309123,-127.57979329247779,25,81672,structural_only
2024-25,1610612741,71.44273757383884,51.96409845769516,22,84695,structural_only
2024-25,1610612742,23.168570331784156,15.814785929769862,24,81893,structural_only
2024-25,1610612743,221.63047276537583,243.71322380631028,17,82708,structural_only
2024-25,1610612744,274.3117333662173,223.02160727008766,23,81334,structural_only
2024-25,1610612745,266.6435660801442,227.76215754708738,18,80468,structural_only
2024-25,1610612746,373.34920952939854,325.28476322089693,23,80655,structural_only
2024-25,1610612747,32.167213643373685,67.50861392468833,24,80493,structural_only
2024-25,1610612748,43.313367966048666,35.1788485080771,21,79189,structural_only
2024-25,1610612749,92.42684262105334,117.23227360493087,23,80873,structural_only
2024-25,1610612750,370.1165136830263,331.9480683250768,20,80751,structural_only
2024-25,1610612751,-224.33231762671213,-158.60493821652304,24,79644,structural_only
2024-25,1610612752,172.15017340655757,196.22773965051778,21,80347,structural_only
2024-25,1610612753,120.48547461408154,95.7694820930067,17,79135,structural_only
2024-25,1610612754,280.78888897658123,215.47058797166173,22,80921,structural_only
2024-25,1610612755,-126.22085688122081,-66.8440895128427,30,80387,structural_only
2024-25,1610612756,18.70255939199834,13.17594684150976,20,80735,structural_only
2024-25,1610612757,10.712735711812037,8.121664294673497,19,81746,structural_only
2024-25,1610612758,206.66323974875718,181.65735645177026,25,81618,structural_only
2024-25,1610612759,75.84897449662589,47.75019727417106,21,80042,structural_only
2024-25,1610612760,544.6650831829546,490.67353231861364,19,81537,structural_only
2024-25,1610612761,-29.920188756642247,-25.277831969306618,23,82656,structural_only
2024-25,1610612762,-234.01559132472616,-188.8605136112449,20,82929,structural_only
2024-25,1610612763,303.3697581575259,271.20070265849,21,85159,structural_only
2024-25,1610612764,-317.57948603508004,-293.50839547413625,24,82278,structural_only
2024-25,1610612765,154.08347190185006,122.52971611484281,21,82667,structural_only
2024-25,1610612766,-131.65951836086109,-74.5544956653351,27,80572,structural_only
2025-26,1610612737,133.94566104953054,117.32377762302632,25,84152,structural_only_no_outcome_metrics
2025-26,1610612738,341.4734632747889,293.90694110462186,21,78496,structural_only_no_outcome_metrics
2025-26,1610612739,232.90030302341216,210.2097056883194,24,83007,structural_only_no_outcome_metrics
2025-26,1610612740,-22.322047096904136,9.759078130855105,19,83457,structural_only_no_outcome_metrics
2025-26,1610612741,-91.17655789633609,-62.15790312403641,28,84687,structural_only_no_outcome_metrics
2025-26,1610612742,2.8007134152609563,24.03612959957907,23,83640,structural_only_no_outcome_metrics
2025-26,1610612743,270.8005048435687,246.75760805588783,19,82504,structural_only_no_outcome_metrics
2025-26,1610612744,116.85117254625118,88.79913444405223,22,82291,structural_only_no_outcome_metrics
2025-26,1610612745,186.2505946254173,196.45323094333662,16,80497,structural_only_no_outcome_metrics
2025-26,1610612746,88.67990292587602,125.77762237351108,26,80033,structural_only_no_outcome_metrics
2025-26,1610612747,149.6285095056186,163.31397893110685,20,81544,structural_only_no_outcome_metrics
2025-26,1610612748,115.4237694834812,88.47161723021131,17,85488,structural_only_no_outcome_metrics
2025-26,1610612749,-74.61433292825653,-64.34346920140024,21,80776,structural_only_no_outcome_metrics
2025-26,1610612750,294.20528111990427,258.9229431253324,21,83619,structural_only_no_outcome_metrics
2025-26,1610612751,-233.52785063541228,-170.86608497408656,22,80190,structural_only_no_outcome_metrics
2025-26,1610612752,357.5094223279756,317.7418853278444,20,79163,structural_only_no_outcome_metrics
2025-26,1610612753,141.40092892852581,134.62013075132617,19,80177,structural_only_no_outcome_metrics
2025-26,1610612754,-116.58002221047892,-89.17602777351075,27,83632,structural_only_no_outcome_metrics
2025-26,1610612755,80.86949448567772,101.90088820541139,22,82844,structural_only_no_outcome_metrics
2025-26,1610612756,125.07630467143106,109.01748879830478,20,80728,structural_only_no_outcome_metrics
2025-26,1610612757,123.10954339188788,124.6323428459856,20,83680,structural_only_no_outcome_metrics
2025-26,1610612758,-270.1661070160653,-208.71477513529922,23,82242,structural_only_no_outcome_metrics
2025-26,1610612759,289.5550086402484,285.72808251427045,20,81549,structural_only_no_outcome_metrics
2025-26,1610612760,526.5030245420767,462.0718046219181,20,81711,structural_only_no_outcome_metrics
2025-26,1610612761,216.35806312891253,185.73569908099086,20,81477,structural_only_no_outcome_metrics
2025-26,1610612762,-125.37658622628815,-103.82658272364378,25,85258,structural_only_no_outcome_metrics
2025-26,1610612763,-178.25049525150217,-77.27909929248912,33,81653,structural_only_no_outcome_metrics
2025-26,1610612764,-268.28954638467684,-234.19051456431757,26,84128,structural_only_no_outcome_metrics
2025-26,1610612765,416.97517672681005,360.54886738549664,20,81501,structural_only_no_outcome_metrics
2025-26,1610612766,252.1611061021625,233.9523628386736,21,80286,structural_only_no_outcome_metrics
