season,teamId,games,wins,losses,pointsFor,pointsAgainst,netPoints
2024-25,1610612737,81,40,41,9589,9674,-85
2024-25,1610612738,82,61,21,9534,8787,747
2024-25,1610612739,82,64,18,9999,9217,782
2024-25,1610612740,82,21,61,9006,9779,-773
2024-25,1610612741,82,39,43,9660,9788,-128
2024-25,1610612742,82,39,43,9364,9462,-98
2024-25,1610612743,82,50,32,9902,9583,319
2024-25,1610612744,82,48,34,9330,9060,270
2024-25,1610612745,81,52,29,9276,8891,385
2024-25,1610612746,82,50,32,9256,8874,382
2024-25,1610612747,82,50,32,9298,9198,100
2024-25,1610612748,81,36,45,8951,8925,26
2024-25,1610612749,81,47,34,9362,9167,195
2024-25,1610612750,82,49,33,9372,8962,410
2024-25,1610612751,82,26,56,8619,9202,-583
2024-25,1610612752,82,51,31,9494,9158,336
2024-25,1610612753,82,41,41,8645,8655,-10
2024-25,1610612754,80,49,31,9378,9203,175
2024-25,1610612755,82,24,58,8988,9499,-511
2024-25,1610612756,82,36,46,9317,9563,-246
2024-25,1610612757,82,36,46,9093,9336,-243
2024-25,1610612758,82,40,42,9490,9451,39
2024-25,1610612759,80,33,47,9104,9322,-218
2024-25,1610612760,81,67,14,9770,8730,1040
2024-25,1610612761,82,30,52,9091,9443,-352
2024-25,1610612762,82,17,65,9175,9941,-766
2024-25,1610612763,82,48,34,9980,9582,398
2024-25,1610612764,81,18,63,8758,9758,-1000
2024-25,1610612765,82,44,38,9471,9315,156
2024-25,1610612766,82,19,63,8618,9365,-747
