fold,heldOutTeamId,actualNetPoints,W0TeamPoints,W1TeamPoints,a_W0,a_W1,predW0,predW1,errW0,errW1
0,1610612737,-85,127.12450687572156,88.22270861388566,-108.84857337592058,-105.09976104651349,18.275933499800985,-16.877052432627835,-103.27593349980098,-68.12294756737217
1,1610612738,747,363.9375740658586,340.1676642516193,-129.37226071419173,-125.10165912797096,234.56531335166687,215.06600512364838,512.4346866483331,531.9339948763516
2,1610612739,782,475.48518274516584,445.95009757526026,-126.73268800111218,-122.66088556508682,348.75249474405365,323.28921201017346,433.24750525594635,458.71078798982654
3,1610612740,-773,-190.12675707309114,-127.57979329247776,-96.06413420174171,-88.81708869845706,-286.19089127483284,-216.39688199093482,-486.80910872516716,-556.6031180090652
4,1610612741,-128,71.4427375738389,51.964098457695194,-109.28587576564068,-104.86729932776144,-37.843138191801785,-52.90320087006625,-90.15686180819822,-75.09679912993374
5,1610612742,-98,23.168570331784213,15.814785929769904,-111.98498498088395,-107.14831010458646,-88.81641464909974,-91.33352417481655,-9.183585350900259,-6.666475825183454
6,1610612743,319,221.63047276537583,243.71322380631028,-119.52078144869114,-113.66905362608506,102.10969131668469,130.04417018022522,216.8903086833153,188.95582981977478
7,1610612744,270,274.3117333662177,223.0216072700879,-116.01453108314487,-112.6929024721617,158.29720228307283,110.3287047979262,111.70279771692717,159.6712952020738
8,1610612745,385,266.6435660801442,227.76215754708738,-120.24446788611291,-116.49495246260999,146.39909819403127,111.2672050844774,238.60090180596873,273.7327949155226
9,1610612746,382,373.34920952939854,325.28476322089693,-116.46151466372484,-113.02865571523726,256.88769486567367,212.25610750565966,125.11230513432633,169.74389249434034
10,1610612747,100,32.16721364337397,67.50861392468856,-118.50227314255325,-112.19335051855478,-86.33505949917928,-44.68473659386622,186.3350594991793,144.6847365938662
11,1610612748,26,43.31336796604888,35.17884850807725,-115.5661988555645,-110.75644587774828,-72.25283088951562,-75.57759736967103,98.25283088951562,101.57759736967103
12,1610612749,195,92.42684262105354,117.23227360493104,-119.70021697090914,-113.75460363302919,-27.2733743498556,3.4776699719018467,222.2733743498556,191.52233002809817
13,1610612750,410,370.1165136830263,331.9480683250768,-117.53850417566869,-113.76440381509312,252.57800950735762,218.18366450998369,157.42199049264238,191.81633549001631
14,1610612751,-583,-224.33231762671215,-158.6049382165231,-103.79536042772864,-96.43864541997587,-328.1276780544408,-255.04358363649897,-254.87232194555918,-327.95641636350103
15,1610612752,336,172.15017340655757,196.22773965051775,-121.81320556451246,-115.89269101076756,50.33696784204511,80.33504863975018,285.6630321579549,255.6649513602498
16,1610612753,-10,120.48547461408154,95.7694820930067,-111.66371241942542,-107.42573437481967,8.821762194656117,-11.656252281812968,-18.821762194656117,1.656252281812968
17,1610612754,175,280.7888889765813,215.47058797166176,-112.51531882071853,-109.67742037900399,168.27357015586276,105.79316759265777,6.726429844137243,69.20683240734223
18,1610612755,-511,-126.22085688122087,-66.84408951284273,-102.89496522960826,-95.7572368439869,-229.11582211082913,-162.60132635682965,-281.88417788917087,-348.39867364317035
19,1610612756,-246,18.70255939199838,13.1759468415098,-107.03553708225587,-102.13585628004371,-88.3329776902575,-88.95990943853391,-157.6670223097425,-157.0400905614661
20,1610612757,-243,10.712735711812037,8.121664294673497,-107.41449651950367,-102.4135901609691,-96.70176080769164,-94.2919258662956,-146.29823919230836,-148.7080741337044
21,1610612758,39,206.66323974875706,181.65735645177023,-110.3817205182297,-106.1537387072761,96.28151923052737,75.50361774449412,-57.281519230527365,-36.50361774449412
22,1610612759,-218,75.84897449662589,47.75019727417106,-106.03048828554456,-101.90915798926228,-30.18151378891868,-54.158960715091226,-187.81848621108134,-163.8410392849088
23,1610612760,1040,544.6650831829546,490.67353231861364,-133.24372591705048,-130.0152498842815,411.42135726590413,360.65828243433214,628.5786427340959,679.3417175656679
24,1610612761,-352,-29.920188756642368,-25.27783196930671,-105.05701115634692,-99.80667623903737,-134.97719991298928,-125.08450820834409,-217.02280008701072,-226.9154917916559
25,1610612762,-766,-234.01559132472616,-188.8605136112449,-97.81892158972913,-91.17159629565595,-331.8345129144553,-280.0321099069008,-434.1654870855447,-485.9678900930992
26,1610612763,398,303.36975815752595,271.20070265849006,-119.42632333172044,-115.44534745876854,183.94343482580553,155.75535519972152,214.05656517419447,242.24464480027848
27,1610612764,-1000,-317.57948603508,-293.5083954741362,-92.63146968318961,-86.71117842885909,-410.2109557182696,-380.2195739029953,-589.7890442817304,-619.7804260970047
28,1610612765,156,154.08347190185006,122.52971611484281,-116.22929871984721,-112.22710561544602,37.85417318200285,10.302610499396792,118.14582681799715,145.6973895006032
29,1610612766,-747,-131.65951836086106,-74.5544956653351,-94.94457424614758,-87.88518188372802,-226.60409260700862,-162.4396775490631,-520.3959073929914,-584.5603224509368
