fold,heldOutTeamId,actualWins,netPoints,alpha_fold,c_fold,P1_fold,alpha_P0,predWins_P0,predWins_P1,errP0,errP1
0,1610612737,40,-85,40.78383521119422,0.026691516180792574,37.46508790383395,40.764367816091955,37.93103448275862,38.515056335826856,2.068965517241381,1.4849436641731444
1,1610612738,61,747,40.82424157696891,0.026643916642701937,37.53201953789745,40.99655172413794,65.89655172413794,60.72724730906725,-4.896551724137936,0.272752690932748
2,1610612739,64,782,40.74574961930353,0.026376904040668107,37.911955036807676,40.93333333333334,67,61.37248857910599,-3,2.6275114208940096
3,1610612740,21,-773,40.803609278412026,0.026772743759445144,37.35142012283334,40.62873563218391,14.862068965517246,20.10827835236093,6.1379310344827545,0.8917216476390699
4,1610612741,39,-128,40.77868765252037,0.026703578725853293,37.44816416804245,40.749425287356324,36.48275862068966,37.36062957561115,2.5172413793103416,1.6393704243888507
5,1610612742,39,-98,40.80637570199918,0.02668474124514037,37.47459984016569,40.783908045977014,37.51724137931035,38.19127105997542,1.4827586206896513,0.8087289400245794
6,1610612743,50,319,40.810297959005915,0.02664150724505212,37.53541384884373,40.883908045977016,51.51724137931035,49.30893877017754,-1.5172413793103487,0.6910612298224592
7,1610612744,48,270,40.83455791563903,0.026674739087155275,37.48865159402933,40.89655172413793,49.89655172413793,48.03673746917096,-1.8965517241379288,-0.03673746917095855
8,1610612745,52,385,40.801687018199345,0.02662058059163907,37.56492074083755,40.89080459770115,53.724137931034484,51.05061054598039,-1.724137931034484,0.9493894540196095
9,1610612746,50,382,40.869378152792684,0.026732896416199026,37.407095154644054,40.95632183908046,53.689655172413794,51.08134458378071,-3.6896551724137936,-1.0813445837807123
10,1610612747,50,100,40.60888335739926,0.026576173645785045,37.627689122154685,40.632183908045974,43.96551724137931,43.26650072197776,6.03448275862069,6.7334992780222365
11,1610612748,36,26,41.02393322807377,0.0266947543899741,37.4605431985385,41.02988505747127,41.896551724137936,41.7179968422131,-5.896551724137936,-5.717996842213097
12,1610612749,47,195,40.79985468494425,0.026645055709657722,37.53041505698717,40.8448275862069,47.3448275862069,45.99564054832751,-0.3448275862068968,1.0043594516724923
13,1610612750,49,410,40.93128674646055,0.026847111335014894,37.247955190462775,41.02298850574713,54.689655172413794,51.93860239381666,-5.689655172413794,-2.9386023938166588
14,1610612751,26,-583,40.80728068124345,0.0267390398695369,37.3985006521971,40.674712643678156,21.241379310344822,25.218420437303436,4.758620689655178,0.7815795626965638
15,1610612752,51,336,40.79108938435215,0.026611881387536188,37.57720040298824,40.86896551724138,52.06896551724138,49.73268153056431,-1.0689655172413808,1.2673184694356934
16,1610612753,41,-10,40.818388291389525,0.026673954970384762,37.489753623347866,40.81609195402298,40.482758620689644,40.551648741685675,0.5172413793103559,0.4483512583143252
17,1610612754,49,175,40.71212983587679,0.02658151565958215,37.62012718938088,40.75287356321839,46.58620689655172,45.36389507630366,2.4137931034482776,3.6361049236963368
18,1610612755,24,-511,40.9482697556046,0.026419133243574793,37.851355333286826,40.826436781609196,23.79310344827586,27.448092668137882,0.2068965517241388,-3.448092668137882
19,1610612756,36,-246,40.773193655319574,0.026737333315985365,37.4008876720003,40.717241379310344,32.51724137931035,34.19580965958718,3.4827586206896513,1.8041903404128234
20,1610612757,36,-243,40.77599077677593,0.02673361100204951,37.40609526798814,40.72068965517241,32.620689655172406,34.2797233032779,3.3793103448275943,1.7202766967221024
21,1610612758,40,39,40.89795463386626,0.026684214926196416,37.47533898845495,40.90689655172414,42.206896551724135,41.938639015987924,-2.2068965517241352,-1.938639015987924
22,1610612759,33,-218,40.90343574657271,0.026607171327483258,37.583852401742284,40.85287356321839,33.58620689655172,35.103072397181364,-0.5862068965517224,-2.1030723971813643
23,1610612760,67,1040,40.89803835648785,0.026964531094372794,37.08575522786262,41.12643678160919,75.79310344827586,68.94115069463555,-8.793103448275858,-1.941150694635553
24,1610612761,30,-352,40.88407601853574,0.026596009836544258,37.599625137224514,40.802298850574715,29.06896551724138,31.522280556072158,0.9310344827586192,-1.5222805560721575
25,1610612762,17,-766,40.96188539468817,0.026247158686740418,38.09936198942484,40.774712643678164,15.24137931034483,20.856561840645007,1.7586206896551708,-3.856561840645007
26,1610612763,48,398,40.95515474886507,0.026883134967555292,37.198042609497726,41.04367816091954,54.310344827586206,51.65464246595208,-6.310344827586206,-3.6546424659520795
27,1610612764,18,-1000,40.677694407776826,0.02734686217447193,36.567266607043926,40.4712643678161,7.137931034482762,13.330832233304896,10.862068965517238,4.669167766695104
28,1610612765,44,156,40.86774691223043,0.026696541376170113,37.458035702430756,40.90344827586207,46.10344827586207,45.03240736691297,-2.103448275862071,-1.0324073669129703
29,1610612766,19,-747,40.905116798711155,0.02644124877828176,37.819696353425535,40.72758620689655,15.827586206896548,21.153503961334682,3.172413793103452,-2.153503961334682
