season,teamId,scoreboardGames,attributionOffPoss,attributionDefPoss,scoreboardPointsFor,attributedY_off,pointsForCoverage,scoreboardPointsAgainst,attributedY_def_opp,pointsAgainstCoverage
2024-25,1610612737,81,8398,8399,9589,9589,1,9674,9674,1
2024-25,1610612738,82,7971,7938,9534,9534,1,8787,8787,1
2024-25,1610612739,82,8227,8249,9999,9999,1,9217,9217,1
2024-25,1610612740,82,8186,8183,9006,9006,1,9779,9779,1
2024-25,1610612741,82,8475,8502,9660,9660,1,9788,9788,1
2024-25,1610612742,82,8204,8195,9364,9364,1,9462,9462,1
2024-25,1610612743,82,8290,8283,9902,9902,1,9583,9583,1
2024-25,1610612744,82,8151,8158,9330,9330,1,9060,9060,1
2024-25,1610612745,81,8048,8062,9276,9276,1,8891,8891,1
2024-25,1610612746,82,8075,8070,9256,9256,1,8874,8874,1
2024-25,1610612747,82,8057,8064,9298,9298,1,9198,9198,1
2024-25,1610612748,81,7934,7915,8951,8951,1,8925,8925,1
2024-25,1610612749,81,8090,8092,9362,9362,1,9167,9167,1
2024-25,1610612750,82,8082,8086,9372,9372,1,8962,8962,1
2024-25,1610612751,82,7960,7983,8619,8619,1,9202,9202,1
2024-25,1610612752,82,8045,8043,9494,9494,1,9158,9158,1
2024-25,1610612753,82,7935,7918,8645,8645,1,8655,8655,1
2024-25,1610612754,80,8092,8107,9378,9378,1,9203,9203,1
2024-25,1610612755,82,8082,8066,8988,8988,1,9499,9499,1
2024-25,1610612756,82,8077,8095,9317,9317,1,9563,9563,1
2024-25,1610612757,82,8200,8174,9093,9093,1,9336,9336,1
2024-25,1610612758,82,8161,8177,9490,9490,1,9451,9451,1
2024-25,1610612759,80,8034,7995,9104,9104,1,9322,9322,1
2024-25,1610612760,81,8172,8147,9770,9770,1,8730,8730,1
2024-25,1610612761,82,8276,8276,9091,9091,1,9443,9443,1
2024-25,1610612762,82,8296,8301,9175,9175,1,9941,9941,1
2024-25,1610612763,82,8515,8520,9980,9980,1,9582,9582,1
2024-25,1610612764,81,8224,8252,8758,8758,1,9758,9758,1
2024-25,1610612765,82,8269,8272,9471,9471,1,9315,9315,1
2024-25,1610612766,82,8061,8065,8618,8618,1,9365,9365,1
