teamId,games,wins,losses,pointsFor,pointsAgainst,actualNetPoints
1610612737,82,46,36,9714,9516,198
1610612738,82,56,26,9418,8787,631
1610612739,82,52,30,9801,9463,338
1610612740,82,26,56,9473,9842,-369
1610612741,82,31,51,9537,9964,-427
1610612742,81,26,55,9248,9688,-440
1610612743,82,54,28,10010,9588,422
1610612744,82,37,45,9398,9444,-46
1610612745,82,52,30,9449,9021,428
1610612746,82,42,40,9329,9236,93
1610612747,82,53,29,9540,9396,144
1610612748,82,43,39,9911,9720,191
1610612749,82,32,50,9072,9581,-509
1610612750,82,49,33,9676,9401,275
1610612751,82,20,62,8686,9505,-819
1610612752,81,52,29,9417,8910,507
1610612753,79,44,35,9144,9070,74
1610612754,82,19,63,9219,9874,-655
1610612755,82,45,37,9502,9517,-15
1610612756,82,45,37,9232,9112,120
1610612757,82,42,40,9469,9493,-24
1610612758,82,22,60,9102,9922,-820
1610612759,81,61,20,9715,9036,679
1610612760,81,64,17,9651,8735,916
1610612761,82,46,36,9400,9168,232
1610612762,82,22,60,9642,10333,-691
1610612763,80,24,56,9166,9669,-503
1610612764,82,17,65,9257,10240,-983
1610612765,81,59,22,9535,8878,657
1610612766,82,44,38,9513,9117,396
