season,teamId,games,wins,losses,actualNetPoints,TeamR1Points,R1BaselineNetPoints,UnassignedResidual,TeamR1WinEq,R1BaselineWinEq,UnassignedWinEq,PredWins_P1
2025-26,1610612737,82,46,36,198,179.02043222325773,132.8007209115749,-113.8211531348109,4.775067162470128,3.542234557820697,-3.035986697042,46.11464835658158
2025-26,1610612738,82,56,26,631,346.40727011489054,352.95436593129307,-68.36163604620717,9.23982787787972,9.414460582393923,-1.8234309871952663,57.66419080641234
2025-26,1610612739,82,52,30,338,220.2010232801698,183.98999373877268,-66.19101701890798,5.873489759516149,4.907621808383489,-1.765533396899187,49.84891150433287
2025-26,1610612740,82,26,56,-369,-17.485652916215766,-223.78508034993138,-127.72926673382982,-0.46640020928138803,-5.969088418337921,-3.4069620975245343,30.990882608188876
2025-26,1610612741,82,31,51,-427,-26.046817370250448,-292.5952375998222,-108.35794502992385,-0.6947547872995306,-7.80448294983248,-2.8902648635093153,29.443830732691914
2025-26,1610612742,81,26,55,-440,-17.71527962765829,-307.96891042279276,-114.31580994962381,-0.472525113326239,-8.214549663178225,-3.0491808307158563,29.09707772611501
2025-26,1610612743,82,54,28,422,263.8529482379754,237.84774774077778,-79.70069597869693,7.0378310073614205,6.344186279743075,-2.125881227452693,52.08946939298364
2025-26,1610612744,82,37,45,-46,97.47651762308024,-62.58674906160195,-80.88976856143647,2.60002119664998,-1.669395646844982,-2.157597726922162,39.60636115621506
2025-26,1610612745,82,52,30,428,186.25059462541634,329.00918688143975,-87.2597815068595,4.967919512546112,8.775763441735542,-2.3275070454421036,52.24950924217298
2025-26,1610612746,82,42,40,93,106.15077920980232,77.32279304409167,-90.47357225386794,2.831392449344629,2.0624546896125064,-2.413229476521659,43.31395099576812
2025-26,1610612747,82,53,29,144,128.9120614675863,98.36517300157539,-83.2772344691781,3.438511145993257,2.62372457544259,-2.2212793408921057,44.67428971387751
2025-26,1610612748,82,43,39,191,115.42376948348046,189.23715216040728,-113.66092164389246,3.0787337768335745,5.047580882128653,-3.0317127931016716,45.92793519919402
2025-26,1610612749,82,32,50,-509,-94.64405062272704,-299.97228022958916,-114.38366914770991,-2.5244699313882615,-8.001253081487686,-3.050990860020491,27.25661946043759
2025-26,1610612750,82,49,33,275,232.67883985625286,128.00329583470375,-85.68213569100622,6.206314406690914,3.414271360187427,-2.2854260123682115,48.16849308784479
2025-26,1610612751,82,20,62,-819,-193.13787973357094,-490.32889318161506,-135.53322708482457,-5.151626190884955,-13.07869368632701,-3.615119537133334,18.98789391898832
2025-26,1610612752,81,52,29,507,356.5253933945512,236.05832922346417,-85.58372261805746,9.509711698505729,6.29645656813516,-2.282801010142715,54.356700589832634
2025-26,1610612753,79,44,35,74,144.91458698288295,48.705367837364975,-119.6199548202628,3.8653514410126992,1.2991332872338766,-3.1906599215784364,42.807158140001874
2025-26,1610612754,82,19,63,-655,-103.04560851576763,-428.7929204530665,-123.16147103113452,-2.74856727441455,-11.43732572046096,-3.2851238749600222,23.362316463496967
2025-26,1610612755,82,45,37,-15,65.854464672117,46.49563282426425,-127.35009749639303,1.756556432428396,1.2401923441930356,-3.3968483995950978,40.433233710359985
2025-26,1610612756,82,45,37,120,115.16989732204124,102.35733422660451,-97.5272315486327,3.0719621664285572,2.730208722174789,-2.6013739048161826,44.03413031712015
2025-26,1610612757,82,42,40,-24,109.4327472875643,-0.9847275625070324,-132.44801972509606,2.918933395379505,-0.026265941766035437,-3.5328268503718676,40.193173936575974
2025-26,1610612758,82,22,60,-820,-277.03192310506313,-444.0758262183663,-98.8922506765616,-7.389357865727892,-11.844971376103208,-2.6377834807119007,18.961220610790097
2025-26,1610612759,81,61,20,679,277.7608018786539,504.2005158899392,-102.9613177685775,7.408799473895023,13.448695754035615,-2.7463189613364896,58.944509599927066
2025-26,1610612760,81,64,17,916,539.3239628509527,468.3891931539929,-91.713156004878,14.385554279810684,12.493489305713672,-2.44629327594986,65.26608364290603
2025-26,1610612761,82,46,36,232,204.94180299485967,128.8127193664659,-101.75452236137482,5.466475873981489,3.435861363513013,-2.714129735507972,47.021540835321176
2025-26,1610612762,82,22,60,-691,-94.8712606151947,-466.2748558170606,-129.8538835677379,-2.5305303735430678,-12.437092934290666,-3.4636326571384988,22.40207736836092
2025-26,1610612763,80,24,56,-503,-197.3605456056506,-206.88191865457702,-98.75753573983229,-5.264258659109056,-5.5182251769133295,-2.6341901876856153,27.416659309626933
2025-26,1610612764,82,17,65,-983,-244.6769365269349,-635.1532073824492,-103.16985609063114,-6.526343336980094,-16.94163725360221,-2.7518813682717664,14.61347137447967
2025-26,1610612765,81,59,22,657,414.98309272103745,353.33857327462283,-111.32166599567427,11.068971929200176,9.42470866327458,-2.9693171062423125,58.35769681956615
2025-26,1610612766,82,44,38,396,242.90937152533166,241.51251189195136,-88.42188341727974,6.479196530931938,6.441937663421128,-2.358504147856487,51.39596337982983
