file,line,function,pattern,category,current_semantics,publicly_reachable,migration_action
drbl/models/__tests__/ability-lineage.test.ts,39,,drblWar,TEST,"drblWar: 3.0,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/ability-lineage.test.ts,40,,seasonalImpact,TEST,"seasonalImpact: 50,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/ability-lineage.test.ts,59,,seasonalImpact,TEST,"seasonalImpact: 94,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/ability-lineage.test.ts,61,,drblWar,TEST,"drblWar: 5.0,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/board-provenance.test.ts,72,,pointsPerWin,TEST,"pointsPerWin: 30,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/board-provenance.test.ts,82,,drblWar,TEST,"{ playerId: ""1"", drbl100: 1.5, drblWar: 10 },",NO,LEAVE_HISTORICAL
drbl/models/__tests__/board-provenance.test.ts,83,,drblWar,TEST,"{ playerId: ""2"", drbl100: 0.5, drblWar: 2 },",NO,LEAVE_HISTORICAL
drbl/models/__tests__/board-provenance.test.ts,90,,drblWar,TEST,"{ playerId: ""1"", drbl100: 1.5, drblWar: 10 },",NO,LEAVE_HISTORICAL
drbl/models/__tests__/board-provenance.test.ts,91,,drblWar,TEST,"{ playerId: ""3"", drbl100: 0, drblWar: 0 },",NO,LEAVE_HISTORICAL
drbl/models/__tests__/board-provenance.test.ts,102,,drblWar,TEST,"players: [{ pointsPerWin: 30, drblWar: 1 }],",NO,LEAVE_HISTORICAL
drbl/models/__tests__/board-provenance.test.ts,102,,pointsPerWin,TEST,"players: [{ pointsPerWin: 30, drblWar: 1 }],",NO,LEAVE_HISTORICAL
drbl/models/__tests__/board-provenance.test.ts,141,,drblWar,TEST,"drblWar: 2,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/board-provenance.test.ts,155,,drblWar,TEST,"drblWar: 2,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,11,,seasonalImpact,TEST,"seasonalImpactFromRawRate,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,42,,seasonalImpact,TEST,"seasonalImpact: 20,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,51,,pointsPerWin,TEST,"pointsPerWin: 30,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,64,,drblWar,TEST,"drblWar: 20 / 30,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,86,,seasonalImpact,TEST,"assert.equal(seasonalImpactFromRawRate(2.0, 1000), 20);",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,87,,seasonalImpact,TEST,"assert.equal(seasonalImpactFromRawRate(2.0, 0), 0);",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,93,,seasonalImpact,TEST,"const impact = seasonalImpactFromRawRate(raw, n);",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,96,,seasonalImpact,TEST,"assert.equal(impact, seasonalImpactFromRawRate(raw, n));",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,100,,seasonalImpact,TEST,"const impact = seasonalImpactFromRawRate(8, 0);",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,106,,seasonalImpact,TEST,"const season = seasonalImpactFromRawRate(2, 1000);",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,107,,seasonalImpact,TEST,"const forecastA = seasonalImpactFromRawRate(2, 2500);",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,108,,seasonalImpact,TEST,"const forecastB = seasonalImpactFromRawRate(2, 4000);",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,111,,seasonalImpact,TEST,"assert.equal(seasonalImpactFromRawRate(2, 1000), season);",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,267,,seasonalImpact,TEST,"assert.equal(seasonalImpactFromRawRate(5, -10), 0);",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,268,,seasonalImpact,TEST,"assert.equal(seasonalImpactFromRawRate(5, 0), 0);",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,335,,seasonalImpact,TEST,// seasonalImpact = raw * n / 100 = totalValue,NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,336,,seasonalImpact,TEST,assert.ok(Math.abs(rows[0]!.seasonalImpact - 160) < 0.02);,NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,346,,seasonalImpact,TEST,"assert.equal(row.seasonalImpact, 10);",NO,LEAVE_HISTORICAL
drbl/models/__tests__/leaderboard.test.ts,348,,seasonalImpact,TEST,"assert.equal(seasonalImpactFromRawRate(raw, 100), 10);",NO,LEAVE_HISTORICAL
drbl/models/__tests__/pipeline-value.test.ts,46,,pointsPerWin,TEST,"pointsPerWin: 30,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/pipeline-value.test.ts,57,,pointsPerWin,TEST,"pointsPerWin: 30,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/pipeline-value.test.ts,63,,pointsPerWin,TEST,"pointsPerWin: 30,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/pipeline-value.test.ts,75,,pointsPerWin,TEST,"pointsPerWin: 30,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/pipeline-value.test.ts,81,,pointsPerWin,TEST,"pointsPerWin: 30,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/pipeline-value.test.ts,88,,pointsPerWin,TEST,"pointsPerWin: 30,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/pipeline-value.test.ts,93,,pointsPerWin,TEST,"pointsPerWin: 30,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/pipeline-value.test.ts,103,,pointsPerWin,TEST,"pointsPerWin: 30,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/pipeline-value.test.ts,196,,pointsPerWin,TEST,"pointsPerWin: ppw,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/pipeline-value.test.ts,245,,pointsPerWin,TEST,"pointsPerWin: 30,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/ranking-forensics.test.ts,75,,seasonalImpact,TEST,"seasonalImpact: Number(cols[idx(""seasonalImpact"")]),",NO,LEAVE_HISTORICAL
drbl/models/__tests__/ranking-forensics.test.ts,76,,drblWar,TEST,"drblWar: Number(cols[idx(""drblWar"")]),",NO,LEAVE_HISTORICAL
drbl/models/__tests__/ranking-forensics.test.ts,92,,seasonalImpact,TEST,// EB identity: seasonalImpact ≈ drblP*(n+200)/100 == raw*n/100,NO,LEAVE_HISTORICAL
drbl/models/__tests__/ranking-forensics.test.ts,95,,seasonalImpact,TEST,"Math.abs(r.seasonalImpact - ebForm) < 0.5,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/ranking-forensics.test.ts,96,,seasonalImpact,TEST,`impact ${r.seasonalImpact} vs EB form ${ebForm}`,NO,LEAVE_HISTORICAL
drbl/models/__tests__/ranking-forensics.test.ts,98,,drblWar,TEST,assert.ok(Math.abs(r.drblWar - r.seasonalImpact / 30) < 0.02);,NO,LEAVE_HISTORICAL
drbl/models/__tests__/ranking-forensics.test.ts,98,,seasonalImpact,TEST,assert.ok(Math.abs(r.drblWar - r.seasonalImpact / 30) < 0.02);,NO,LEAVE_HISTORICAL
drbl/models/__tests__/ranking-forensics.test.ts,106,,drblWar,TEST,".sort((a, b) => b.drblWar - a.drblWar)",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-dimensional.test.ts,20,,38.7142857,TEST,const ppw = 38.714285714285715;,NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-dimensional.test.ts,25,,pointsPerWin,TEST,"pointsPerWin: ppw,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-math.test.ts,25,,pointsPerWin,TEST,"config: { replacementLevelRate: -2, pointsPerWin: 32 },",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-math.test.ts,37,,pointsPerWin,TEST,"config: { replacementLevelRate: -2, pointsPerWin: 32 },",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-math.test.ts,49,,pointsPerWin,TEST,"config: { replacementLevelRate: -2, pointsPerWin: 32 },",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-math.test.ts,61,,pointsPerWin,TEST,"config: { replacementLevelRate: 0, pointsPerWin: 30 },",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-math.test.ts,67,,pointsPerWin,TEST,"config: { replacementLevelRate: 0, pointsPerWin: 30 },",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-math.test.ts,77,,pointsPerWin,TEST,"config: { replacementLevelRate: 0, pointsPerWin: 30 },",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-math.test.ts,83,,pointsPerWin,TEST,"config: { replacementLevelRate: 0, pointsPerWin: 30 },",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-math.test.ts,138,,pointsPerWin,TEST,"config: { replacementLevelRate: -2, pointsPerWin: 32 },",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-math.test.ts,158,,pointsPerWin,TEST,assert.ok(est.pointsPerWin > 20 && est.pointsPerWin < 40);,NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-math.test.ts,172,,pointsPerWin,TEST,"it(""diagnoses legacy pointsPerWin unit mismatch"", () => {",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-math.test.ts,180,,seasonalImpact,TEST,"seasonalImpact: 60,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-unit-repair.test.ts,22,,38.7142857,TEST,const ppw = 38.714285714285715;,NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-unit-repair.test.ts,30,,pointsPerWin,TEST,"pointsPerWin: ppw,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-unit-repair.test.ts,37,,pointsPerWin,TEST,"pointsPerWin: ppw,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-units.test.ts,61,,pointsPerWin,TEST,"pointsPerWin: 40,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-units.test.ts,68,,pointsPerWin,TEST,"pointsPerWin: 40,",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-units.test.ts,71,,seasonalImpact,TEST,"assert.equal(paired.seasonalImpactPaired, 500);",NO,LEAVE_HISTORICAL
drbl/models/__tests__/war-units.test.ts,75,,seasonalImpact,TEST,"assert.equal(combined.seasonalImpactCombined, 500);",NO,LEAVE_HISTORICAL
drbl/models/ability-lineage.ts,64,,seasonalImpact,MODEL_CALCULATION,"""seasonalImpact"",",NO,DOCUMENT
drbl/models/ability-lineage.ts,217,,drblWar,MODEL_CALCULATION,const publishedWar = published.drblWar;,NO,DOCUMENT
drbl/models/ability-lineage.ts,241,,drblWar,MODEL_CALCULATION,"drblWar: publishedWar ?? sequential.drblWar,",NO,DOCUMENT
drbl/models/board-provenance.ts,5,,DRBL-WAR,MODEL_CALCULATION,* Answers: where did each displayed DRBL/100 and DRBL-WAR number come from?,NO,DOCUMENT
drbl/models/board-provenance.ts,80,,pointsPerWin,TYPE_DEFINITION,pointsPerWin?: number;,NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,129,,pointsPerWin,MODEL_CALCULATION,// Provisional season WAR: seasonalImpact from raw residual / pointsPerWin.,NO,DOCUMENT
drbl/models/board-provenance.ts,129,,seasonalImpact,MODEL_CALCULATION,// Provisional season WAR: seasonalImpact from raw residual / pointsPerWin.,NO,DOCUMENT
drbl/models/board-provenance.ts,131,,pointsPerWin,TYPE_DEFINITION,| { pointsPerWin?: number; warFormulaVersion?: string },NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,133,,pointsPerWin,MODEL_CALCULATION,if (!pipe && (sample?.pointsPerWin === 30 || sample?.pointsPerWin == null)) {,NO,DOCUMENT
drbl/models/board-provenance.ts,145,,drblWar,TYPE_DEFINITION,(p) => Number((p as { drblWar?: number }).drblWar) !== 0,NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,152,,pointsPerWin,TYPE_DEFINITION,pointsPerWin?: number;,NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,178,,seasonalImpact,MODEL_CALCULATION,"? ""rawAbilityRate_via_seasonalImpact""",NO,DOCUMENT
drbl/models/board-provenance.ts,278,,seasonalImpact,TYPE_DEFINITION,seasonalImpact?: number;,NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,279,,pointsPerWin,TYPE_DEFINITION,pointsPerWin?: number;,NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,285,,pointsPerWin,TYPE_DEFINITION,pointsPerWin: number;,NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,293,,pointsPerWin,MODEL_CALCULATION,const pointsPerWin = Number(player.pointsPerWin ?? 30);,NO,DOCUMENT
drbl/models/board-provenance.ts,296,,pointsPerWin,MODEL_CALCULATION,"const calculatedWAR = warFromImpact(calculatedImpact, pointsPerWin);",NO,DOCUMENT
drbl/models/board-provenance.ts,302,,pointsPerWin,MODEL_CALCULATION,"pointsPerWin,",NO,DOCUMENT
drbl/models/board-provenance.ts,348,,drblWar,TYPE_DEFINITION,drblWar?: number;,NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,358,,drblWar,TYPE_DEFINITION,drblWar?: number;,NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,382,,drblWar,MODEL_CALCULATION,const wRes = Number(b.drblWar ?? 0) - Number(art.drblWar ?? 0);,NO,DOCUMENT
drbl/models/board-provenance.ts,386,,drblWar,TYPE_DEFINITION,"board: Number(b.drblWar ?? 0),",NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,387,,drblWar,TYPE_DEFINITION,"artifact: Number(art.drblWar ?? 0),",NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,424,,drblWar,TYPE_DEFINITION,drblWar?: number;,NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,450,,drblWar,MODEL_CALCULATION,const w = Number(p.drblWar);,NO,DOCUMENT
drbl/models/board-provenance.ts,489,,pointsPerWin,TYPE_DEFINITION,pointsPerWin: number | null;,NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,514,,seasonalImpact,TYPE_DEFINITION,"seasonalImpact: Number(p.seasonalImpact ?? 0),",NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,515,,pointsPerWin,TYPE_DEFINITION,"pointsPerWin: Number(p.pointsPerWin ?? 30),",NO,DEPRECATE_ANNOTATE
drbl/models/board-provenance.ts,528,,drblWar,MODEL_CALCULATION,calculatedWAR = Number(p.drblWar ?? 0);,NO,DOCUMENT
drbl/models/board-provenance.ts,537,,drblWar,MODEL_CALCULATION,const displayedWAR = Number(p.drblWar ?? 0);,NO,DOCUMENT
