teamSeasonId_template,franchiseId,historicalDisplayName,historicalAbbreviation,note
{season}:1610612737,1610612737,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612738,1610612738,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612739,1610612739,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612740,1610612740,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612741,1610612741,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612742,1610612742,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612743,1610612743,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612744,1610612744,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612745,1610612745,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612746,1610612746,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612747,1610612747,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612748,1610612748,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612749,1610612749,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612750,1610612750,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612751,1610612751,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612752,1610612752,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612753,1610612753,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612754,1610612754,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612755,1610612755,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612756,1610612756,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612757,1610612757,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612758,1610612758,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612759,1610612759,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612760,1610612760,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612761,1610612761,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612762,1610612762,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612763,1610612763,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612764,1610612764,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612765,1610612765,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
{season}:1610612766,1610612766,from boxscore tricode/name per game,from boxscore,Modern CDN IDs; UNKNOWN_TEAM_IDS=0 for archived seasons
