season,gameId,pointsHomeEvent,pointsAwayEvent,pointsHomeOfficial,pointsAwayOfficial,residual,exact
2024-25,0022400001,116,117,116,117,0,YES
2024-25,0022400002,123,121,123,121,0,YES
2024-25,0022400003,114,89,114,89,0,YES
2024-25,0022400004,99,111,99,111,0,YES
2024-25,0022400005,99,85,99,85,0,YES
2024-25,0022400006,112,120,112,120,0,YES
2024-25,0022400007,120,117,120,117,0,YES
2024-25,0022400008,122,108,122,108,0,YES
2024-25,0022400009,111,124,111,124,0,YES
2024-25,0022400010,98,86,98,86,0,YES
2024-25,0022400011,95,99,95,99,0,YES
2024-25,0022400012,129,117,129,117,0,YES
2024-25,0022400013,144,126,144,126,0,YES
2024-25,0022400014,124,122,124,122,0,YES
2024-25,0022400015,115,120,115,120,0,YES
2024-25,0022400016,125,104,125,104,0,YES
2024-25,0022400017,101,94,101,94,0,YES
2024-25,0022400018,99,83,99,83,0,YES
2024-25,0022400019,123,118,123,118,0,YES
2024-25,0022400020,126,130,126,130,0,YES
2024-25,0022400021,120,117,120,117,0,YES
2024-25,0022400022,116,115,116,115,0,YES
2024-25,0022400023,110,122,110,122,0,YES
2024-25,0022400024,132,91,132,91,0,YES
2024-25,0022400025,110,104,110,104,0,YES
2024-25,0022400026,124,118,124,118,0,YES
2024-25,0022400027,113,98,113,98,0,YES
2024-25,0022400028,96,108,96,108,0,YES
2024-25,0022400029,129,117,129,117,0,YES
2024-25,0022400030,136,122,136,122,0,YES
2024-25,0022400031,116,88,116,88,0,YES
2024-25,0022400032,108,112,108,112,0,YES
2024-25,0022400033,120,123,120,123,0,YES
2024-25,0022400034,104,88,104,88,0,YES
2024-25,0022400035,108,127,108,127,0,YES
2024-25,0022400036,103,106,103,106,0,YES
2024-25,0022400037,111,117,111,117,0,YES
2024-25,0022400038,115,128,115,128,0,YES
2024-25,0022400039,127,100,127,100,0,YES
2024-25,0022400040,98,99,98,99,0,YES
2024-25,0022400041,117,101,117,101,0,YES
2024-25,0022400042,120,109,120,109,0,YES
2024-25,0022400043,100,123,100,123,0,YES
2024-25,0022400044,93,92,93,92,0,YES
2024-25,0022400045,106,130,106,130,0,YES
2024-25,0022400046,121,111,121,111,0,YES
2024-25,0022400047,129,138,129,138,0,YES
2024-25,0022400048,93,101,93,101,0,YES
2024-25,0022400049,115,106,115,106,0,YES
2024-25,0022400050,104,110,104,110,0,YES
2024-25,0022400051,118,87,118,87,0,YES
2024-25,0022400052,107,128,107,128,0,YES
2024-25,0022400053,121,106,121,106,0,YES
2024-25,0022400054,122,111,122,111,0,YES
2024-25,0022400055,133,106,133,106,0,YES
2024-25,0022400056,121,116,121,116,0,YES
2024-25,0022400057,104,93,104,93,0,YES
2024-25,0022400058,119,115,119,115,0,YES
2024-25,0022400059,120,111,120,111,0,YES
2024-25,0022400060,127,105,127,105,0,YES
2024-25,0022400061,132,109,132,109,0,YES
2024-25,0022400062,110,103,110,103,0,YES
2024-25,0022400063,109,115,109,115,0,YES
2024-25,0022400064,120,116,120,116,0,YES
2024-25,0022400065,97,116,97,116,0,YES
2024-25,0022400066,109,124,109,124,0,YES
2024-25,0022400067,106,136,106,136,0,YES
