season,expectedGames,pbpPresent,boxPresent,bothPresent,missingPbp,missingBox,failed,duplicate,scheduleError
1996-97,1189,84,83,83,1105,1106,2211,0,
1997-98,1189,0,0,0,1189,1189,2378,0,
1998-99,725,0,0,0,725,725,1450,0,
1999-00,1189,0,0,0,1189,1189,2378,0,
2000-01,1189,0,0,0,1189,1189,2378,0,
2001-02,1189,0,0,0,1189,1189,2378,0,
2002-03,1189,0,0,0,1189,1189,2378,0,
2003-04,1189,0,0,0,1189,1189,2378,0,
2004-05,1230,0,0,0,1230,1230,2460,0,
2005-06,1230,0,0,0,1230,1230,2460,0,
2006-07,1230,0,0,0,1230,1230,2460,0,
2007-08,1230,0,0,0,1230,1230,2460,0,
2008-09,1230,0,0,0,1230,1230,2460,0,
2009-10,1230,0,0,0,1230,1230,2460,0,
2010-11,1230,0,0,0,1230,1230,2460,0,
2011-12,990,0,0,0,990,990,1980,0,
2012-13,1230,0,0,0,1230,1230,2460,0,
2013-14,1230,0,0,0,1230,1230,2460,0,
2014-15,1230,0,0,0,1230,1230,2460,0,
2015-16,1230,0,0,0,1230,1230,2460,0,
2016-17,1230,0,0,0,1230,1230,2460,0,
2017-18,1230,0,0,0,1230,1230,2460,0,
2018-19,1230,0,0,0,1230,1230,2460,0,
2019-20,1059,0,0,0,1059,1059,2118,0,
2020-21,1080,0,0,0,1080,1080,2160,0,
2021-22,1230,0,0,0,1230,1230,2460,0,
2022-23,1230,0,0,0,1230,1230,2460,0,
2023-24,1230,0,0,0,1230,1230,2460,0,
