season,gameId,period,startAction,endAction,offenseCount,defenseCount,missingOffense,missingDefense,class,fabricatedPlayers
2024-25,0022400010,2,323,323,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400010,4,596,597,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400010,4,599,599,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400010,4,601,601,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400010,4,604,607,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400011,2,246,252,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400011,2,255,257,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400011,2,258,259,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400011,2,260,260,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400011,2,263,269,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400011,2,270,271,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400011,2,272,274,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400011,2,275,275,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400011,2,276,276,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400011,2,277,278,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400011,2,281,288,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400011,2,289,290,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400011,2,294,294,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400011,2,295,295,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400011,2,296,297,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400011,2,298,298,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400011,2,300,300,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400011,2,302,302,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400011,2,304,304,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400011,2,305,305,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400011,2,306,307,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400011,2,308,308,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400014,2,137,138,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400014,2,139,139,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400014,2,141,144,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400014,2,147,147,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400014,2,148,149,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400014,2,153,156,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400014,2,157,164,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400014,2,168,169,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400014,2,170,174,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400014,2,175,176,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400014,2,179,182,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400014,2,183,183,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400014,2,186,186,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400014,2,188,189,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400014,2,190,191,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400014,2,192,193,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400014,2,194,194,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400014,2,196,196,5,4,0,1,DEFENSE_INCOMPLETE,NO
2024-25,0022400014,2,197,198,4,5,1,0,OFFENSE_INCOMPLETE,NO
2024-25,0022400014,2,199,200,5,4,0,1,DEFENSE_INCOMPLETE,NO
